match_id,season,match_date,venue,team1,team2,innings1_runs,innings1_wickets,innings1_overs,innings2_runs,innings2_wickets,innings2_overs,result,winner,win_margin,player_of_match,top_scorer,top_scorer_runs,best_bowler,best_bowler_wickets,total_fours,total_sixes,powerplay_runs,death_overs_runs,toss_winner,toss_decision,attendance_approx
11,2025,2025-03-24,Ekana,Royal Challengers Bangalore,Rajasthan Royals,104,6,20.0,154,2,20.0,Normal,Rajasthan Royals,8 wickets,Suryakumar Yadav,Faf du Plessis,65,Shubman Gill,6,31,23,41,76,Rajasthan Royals,Bat,32409
12,2012,2012-05-09,Chepauk,Mumbai Indians,Pune Warriors India,232,2,20.0,202,9,20.0,Normal,Mumbai Indians,30 runs,MS Dhoni,Shreyas Iyer,108,Suryakumar Yadav,5,40,16,56,96,Mumbai Indians,Field,35227
13,2021,2021-03-24,Arun Jaitley,Kochi Tuskers Kerala,Delhi Capitals,117,4,20.0,64,3,20.0,Normal,Kochi Tuskers Kerala,53 runs,Virat Kohli,Andre Russell,80,Virat Kohli,5,15,17,36,56,Kochi Tuskers Kerala,Bat,49021
14,2018,2018-03-26,Chepauk,Kolkata Knight Riders,Sunrisers Hyderabad,186,6,20.0,152,3,20.0,Normal,Kolkata Knight Riders,34 runs,KL Rahul,Shubman Gill,138,David Warner,6,24,21,61,71,Kolkata Knight Riders,Bat,34178
15,2018,2018-04-19,Chinnaswamy,Deccan Chargers,Gujarat Titans,116,7,20.0,101,5,20.0,Normal,Deccan Chargers,15 runs,Jasprit Bumrah,Chris Gayle,62,Rohit Sharma,5,25,13,80,56,Gujarat Titans,Bat,54589
16,2021,2021-05-04,Rajiv Gandhi,Pune Warriors India,Sunrisers Hyderabad,110,6,20.0,143,10,20.0,Normal,Sunrisers Hyderabad,0 wickets,Hardik Pandya,Jasprit Bumrah,35,Rashid Khan,5,38,13,33,90,Pune Warriors India,Field,53045
17,2024,2024-03-09,Eden Gardens,Gujarat Titans,Kochi Tuskers Kerala,236,5,20.0,230,8,20.0,Normal,Gujarat Titans,6 runs,Jasprit Bumrah,Suryakumar Yadav,54,Shreyas Iyer,4,39,15,71,55,Kochi Tuskers Kerala,Bat,52852
18,2025,2025-04-10,Wankhede Stadium,Kolkata Knight Riders,Rising Pune Supergiant,227,4,20.0,233,8,20.0,Normal,Rising Pune Supergiant,2 wickets,Hardik Pandya,Faf du Plessis,40,Virat Kohli,3,24,20,56,67,Rising Pune Supergiant,Bat,64965
19,2022,2022-03-13,PCA,Pune Warriors India,Lucknow Super Giants,125,4,20.0,86,5,20.0,Normal,Pune Warriors India,39 runs,AB de Villiers,Virat Kohli,46,R Ashwin,6,32,21,74,51,Lucknow Super Giants,Bat,68901
20,2009,2009-03-24,Chepauk,Lucknow Super Giants,Chennai Super Kings,156,8,20.0,169,7,20.0,Normal,Chennai Super Kings,3 wickets,Rohit Sharma,Faf du Plessis,124,Hardik Pandya,4,30,8,41,54,Chennai Super Kings,Field,15965
21,2023,2023-05-19,PCA,Lucknow Super Giants,Royal Challengers Bangalore,159,2,20.0,206,9,20.0,Normal,Royal Challengers Bangalore,1 wickets,Faf du Plessis,Rinku Singh,98,Sanju Samson,6,24,16,50,96,Lucknow Super Giants,Field,61154
22,2009,2009-03-02,Arun Jaitley,Chennai Super Kings,Sunrisers Hyderabad,162,7,20.0,150,2,20.0,Normal,Chennai Super Kings,12 runs,Faf du Plessis,AB de Villiers,50,Shreyas Iyer,4,35,9,79,58,Sunrisers Hyderabad,Bat,34898
23,2018,2018-04-26,Rajiv Gandhi,Delhi Capitals,Mumbai Indians,175,5,20.0,122,8,20.0,Normal,Delhi Capitals,53 runs,Rinku Singh,Sanju Samson,54,Jos Buttler,4,20,21,76,50,Delhi Capitals,Field,54020
24,2021,2021-04-25,Wankhede Stadium,Mumbai Indians,Delhi Capitals,162,7,20.0,105,8,20.0,Normal,Mumbai Indians,57 runs,Shubman Gill,Andre Russell,131,AB de Villiers,5,20,12,45,71,Delhi Capitals,Bat,60865
25,2025,2025-04-30,Chinnaswamy,Mumbai Indians,Chennai Super Kings,176,2,20.0,201,2,20.0,Normal,Chennai Super Kings,8 wickets,Andre Russell,Chris Gayle,97,KL Rahul,2,20,17,70,71,Mumbai Indians,Field,66458
26,2012,2012-04-05,Arun Jaitley,Lucknow Super Giants,Chennai Super Kings,117,6,20.0,139,7,20.0,Normal,Chennai Super Kings,3 wickets,Rashid Khan,KL Rahul,125,R Ashwin,3,40,17,56,41,Lucknow Super Giants,Bat,51163
27,2013,2013-04-02,DY Patil,Sunrisers Hyderabad,Kochi Tuskers Kerala,252,4,20.0,253,2,20.0,Normal,Kochi Tuskers Kerala,8 wickets,Shreyas Iyer,MS Dhoni,140,Rashid Khan,2,34,9,40,61,Sunrisers Hyderabad,Bat,15312
28,2024,2024-04-16,Sawai Mansingh,Chennai Super Kings,Gujarat Titans,131,10,20.0,165,2,20.0,Normal,Gujarat Titans,8 wickets,Faf du Plessis,Sanju Samson,62,David Warner,2,33,7,50,64,Chennai Super Kings,Field,34781
29,2014,2014-04-09,Narendra Modi,Deccan Chargers,Pune Warriors India,171,6,20.0,175,10,20.0,Normal,Pune Warriors India,0 wickets,Suryakumar Yadav,Virat Kohli,33,David Warner,6,27,15,30,41,Pune Warriors India,Bat,73540
30,2019,2019-05-22,Rajiv Gandhi,Gujarat Titans,Punjab Kings,164,3,20.0,207,9,20.0,Normal,Punjab Kings,1 wickets,KL Rahul,Jos Buttler,53,Jasprit Bumrah,4,28,5,44,79,Gujarat Titans,Bat,18457
31,2011,2011-04-26,Arun Jaitley,Mumbai Indians,Gujarat Titans,258,2,20.0,281,2,20.0,Normal,Gujarat Titans,8 wickets,KL Rahul,Rinku Singh,111,David Warner,3,28,11,70,99,Mumbai Indians,Bat,47346
32,2019,2019-05-08,Chinnaswamy,Rajasthan Royals,Mumbai Indians,228,9,20.0,247,10,20.0,Normal,Mumbai Indians,0 wickets,Rinku Singh,MS Dhoni,141,David Warner,6,30,8,34,81,Mumbai Indians,Bat,54822
33,2021,2021-03-04,Wankhede Stadium,Delhi Capitals,Rajasthan Royals,204,6,20.0,210,3,20.0,Normal,Rajasthan Royals,7 wickets,KL Rahul,Rinku Singh,96,Pat Cummins,2,20,23,71,90,Rajasthan Royals,Field,56159
34,2023,2023-03-03,DY Patil,Deccan Chargers,Sunrisers Hyderabad,107,6,20.0,97,3,20.0,Normal,Deccan Chargers,10 runs,Rinku Singh,AB de Villiers,133,Faf du Plessis,4,37,9,64,76,Deccan Chargers,Field,48903
35,2009,2009-05-10,Rajiv Gandhi,Pune Warriors India,Punjab Kings,135,7,20.0,134,10,20.0,Normal,Pune Warriors India,1 runs,KL Rahul,Faf du Plessis,52,KL Rahul,6,30,18,76,76,Punjab Kings,Field,16924
36,2013,2013-03-23,DY Patil,Rising Pune Supergiant,Rajasthan Royals,171,8,20.0,219,8,20.0,Normal,Rajasthan Royals,2 wickets,Jos Buttler,Virat Kohli,69,R Ashwin,6,29,16,43,96,Rajasthan Royals,Field,37156
37,2025,2025-05-11,Narendra Modi,Deccan Chargers,Pune Warriors India,147,5,20.0,141,7,20.0,Normal,Deccan Chargers,6 runs,KL Rahul,Jasprit Bumrah,44,R Ashwin,3,23,19,41,41,Deccan Chargers,Field,26713
38,2025,2025-05-24,Wankhede Stadium,Royal Challengers Bangalore,Pune Warriors India,241,2,20.0,255,10,20.0,Normal,Pune Warriors India,0 wickets,KL Rahul,Hardik Pandya,88,AB de Villiers,4,23,10,44,96,Royal Challengers Bangalore,Field,22906
39,2023,2023-05-25,PCA,Lucknow Super Giants,Rising Pune Supergiant,214,3,20.0,268,8,20.0,Normal,Rising Pune Supergiant,2 wickets,David Warner,Pat Cummins,31,Andre Russell,5,27,12,34,65,Rising Pune Supergiant,Field,63890
40,2013,2013-05-07,Wankhede Stadium,Gujarat Titans,Punjab Kings,157,7,20.0,194,6,20.0,Normal,Punjab Kings,4 wickets,MS Dhoni,KL Rahul,127,Virat Kohli,4,17,10,36,53,Gujarat Titans,Field,74705
41,2008,2008-04-19,Chinnaswamy,Sunrisers Hyderabad,Chennai Super Kings,243,10,20.0,195,2,20.0,Normal,Sunrisers Hyderabad,48 runs,Rohit Sharma,David Warner,48,Shubman Gill,4,18,9,43,92,Chennai Super Kings,Bat,78848
42,2009,2009-03-21,Chepauk,Kochi Tuskers Kerala,Rising Pune Supergiant,127,5,20.0,177,10,20.0,Normal,Rising Pune Supergiant,0 wickets,Andre Russell,Rashid Khan,58,Virat Kohli,6,28,17,78,43,Rising Pune Supergiant,Bat,59854
43,2009,2009-03-12,Sawai Mansingh,Punjab Kings,Gujarat Titans,201,10,20.0,159,3,20.0,Normal,Punjab Kings,42 runs,Rashid Khan,AB de Villiers,126,Andre Russell,3,31,10,38,92,Gujarat Titans,Bat,15155
44,2013,2013-03-01,Rajiv Gandhi,Gujarat Titans,Pune Warriors India,190,4,20.0,226,7,20.0,Normal,Pune Warriors India,3 wickets,David Warner,Rohit Sharma,105,KL Rahul,5,33,9,66,45,Gujarat Titans,Field,52768
45,2015,2015-03-13,Sawai Mansingh,Punjab Kings,Rising Pune Supergiant,221,10,20.0,271,8,20.0,Normal,Rising Pune Supergiant,2 wickets,Suryakumar Yadav,Hardik Pandya,47,David Warner,5,39,17,32,71,Punjab Kings,Bat,40475
46,2022,2022-05-21,DY Patil,Kolkata Knight Riders,Royal Challengers Bangalore,162,5,20.0,220,10,20.0,Normal,Royal Challengers Bangalore,0 wickets,Virat Kohli,R Ashwin,79,Shubman Gill,4,15,20,60,83,Royal Challengers Bangalore,Bat,15574
47,2011,2011-05-22,Narendra Modi,Kochi Tuskers Kerala,Chennai Super Kings,214,2,20.0,164,2,20.0,Normal,Kochi Tuskers Kerala,50 runs,Sanju Samson,MS Dhoni,42,Rinku Singh,6,30,13,70,81,Chennai Super Kings,Bat,25074
48,2011,2011-03-29,Sawai Mansingh,Kolkata Knight Riders,Rising Pune Supergiant,162,4,20.0,153,10,20.0,Normal,Kolkata Knight Riders,9 runs,Hardik Pandya,Chris Gayle,99,Hardik Pandya,2,30,5,58,90,Rising Pune Supergiant,Field,39878
49,2014,2014-03-11,DY Patil,Delhi Capitals,Royal Challengers Bangalore,239,5,20.0,275,4,20.0,Normal,Royal Challengers Bangalore,6 wickets,Andre Russell,Rinku Singh,30,Shreyas Iyer,3,17,9,44,73,Royal Challengers Bangalore,Field,47297
50,2012,2012-05-07,DY Patil,Gujarat Titans,Pune Warriors India,194,9,20.0,134,2,20.0,Normal,Gujarat Titans,60 runs,Chris Gayle,Rinku Singh,145,Virat Kohli,4,27,17,33,47,Pune Warriors India,Field,38774
51,2017,2017-04-01,Rajiv Gandhi,Deccan Chargers,Mumbai Indians,172,6,20.0,149,2,20.0,Normal,Deccan Chargers,23 runs,Andre Russell,Pat Cummins,108,Suryakumar Yadav,2,38,22,77,43,Deccan Chargers,Field,61144
52,2012,2012-04-08,Arun Jaitley,Pune Warriors India,Deccan Chargers,146,5,20.0,201,7,20.0,Normal,Deccan Chargers,3 wickets,Sanju Samson,Shubman Gill,72,Hardik Pandya,2,16,7,77,51,Pune Warriors India,Bat,16123
53,2013,2013-04-03,Eden Gardens,Punjab Kings,Kolkata Knight Riders,172,8,20.0,198,10,20.0,Normal,Kolkata Knight Riders,0 wickets,Virat Kohli,Jasprit Bumrah,37,Rinku Singh,5,29,18,77,89,Kolkata Knight Riders,Bat,16244
54,2015,2015-04-20,Arun Jaitley,Mumbai Indians,Pune Warriors India,136,9,20.0,175,8,20.0,Normal,Pune Warriors India,2 wickets,Pat Cummins,Rinku Singh,38,David Warner,5,17,16,62,53,Mumbai Indians,Bat,40255
55,2020,2020-04-02,Arun Jaitley,Kochi Tuskers Kerala,Mumbai Indians,259,9,20.0,313,3,20.0,Normal,Mumbai Indians,7 wickets,Virat Kohli,Jos Buttler,114,Suryakumar Yadav,3,19,22,78,68,Mumbai Indians,Field,61821
56,2023,2023-04-19,Rajiv Gandhi,Lucknow Super Giants,Rising Pune Supergiant,101,10,20.0,138,9,20.0,Normal,Rising Pune Supergiant,1 wickets,R Ashwin,R Ashwin,146,Pat Cummins,6,31,24,79,43,Lucknow Super Giants,Field,49926
57,2022,2022-05-09,DY Patil,Deccan Chargers,Chennai Super Kings,176,5,20.0,196,3,20.0,Normal,Chennai Super Kings,7 wickets,Rinku Singh,David Warner,45,Jos Buttler,5,17,8,47,91,Chennai Super Kings,Field,26866
58,2024,2024-04-18,Narendra Modi,Punjab Kings,Deccan Chargers,127,7,20.0,74,3,20.0,Normal,Punjab Kings,53 runs,Chris Gayle,Rashid Khan,116,Andre Russell,2,19,22,72,56,Punjab Kings,Field,31571
59,2009,2009-04-22,Ekana,Gujarat Titans,Kolkata Knight Riders,134,5,20.0,193,5,20.0,Normal,Kolkata Knight Riders,5 wickets,KL Rahul,Shubman Gill,136,Andre Russell,2,32,19,60,90,Gujarat Titans,Bat,67127
60,2020,2020-04-27,Ekana,Pune Warriors India,Lucknow Super Giants,231,5,20.0,276,10,20.0,Normal,Lucknow Super Giants,0 wickets,Suryakumar Yadav,Sanju Samson,72,MS Dhoni,3,26,24,32,86,Lucknow Super Giants,Bat,51455
61,2017,2017-05-02,Ekana,Mumbai Indians,Royal Challengers Bangalore,106,10,20.0,141,3,20.0,Normal,Royal Challengers Bangalore,7 wickets,Andre Russell,R Ashwin,77,Jasprit Bumrah,6,16,20,77,88,Mumbai Indians,Field,31026
62,2010,2010-03-25,Chinnaswamy,Lucknow Super Giants,Rising Pune Supergiant,210,3,20.0,249,3,20.0,Normal,Rising Pune Supergiant,7 wickets,Suryakumar Yadav,Andre Russell,80,Hardik Pandya,6,40,21,40,43,Rising Pune Supergiant,Field,54359
63,2017,2017-04-13,PCA,Gujarat Titans,Pune Warriors India,115,3,20.0,139,6,20.0,Normal,Pune Warriors India,4 wickets,Shreyas Iyer,Shreyas Iyer,58,Rashid Khan,5,34,7,54,83,Gujarat Titans,Field,27482
64,2008,2008-05-24,Chepauk,Royal Challengers Bangalore,Pune Warriors India,206,4,20.0,264,6,20.0,Normal,Pune Warriors India,4 wickets,Chris Gayle,Rohit Sharma,93,Hardik Pandya,4,16,14,51,67,Royal Challengers Bangalore,Bat,16106
65,2011,2011-04-02,DY Patil,Rising Pune Supergiant,Pune Warriors India,201,10,20.0,173,10,20.0,Normal,Rising Pune Supergiant,28 runs,Hardik Pandya,R Ashwin,50,Faf du Plessis,3,38,17,58,74,Pune Warriors India,Bat,17561
66,2016,2016-03-30,Eden Gardens,Kochi Tuskers Kerala,Punjab Kings,238,4,20.0,285,4,20.0,Normal,Punjab Kings,6 wickets,MS Dhoni,Jos Buttler,39,R Ashwin,2,23,24,68,81,Kochi Tuskers Kerala,Bat,25596
67,2016,2016-03-18,Ekana,Pune Warriors India,Kolkata Knight Riders,256,5,20.0,236,8,20.0,Normal,Pune Warriors India,20 runs,Faf du Plessis,Rashid Khan,78,R Ashwin,2,16,13,73,60,Kolkata Knight Riders,Bat,33215
68,2013,2013-05-11,Rajiv Gandhi,Deccan Chargers,Chennai Super Kings,165,3,20.0,196,4,20.0,Normal,Chennai Super Kings,6 wickets,Suryakumar Yadav,AB de Villiers,86,Pat Cummins,6,29,22,70,91,Deccan Chargers,Field,28561
69,2009,2009-04-11,DY Patil,Rising Pune Supergiant,Gujarat Titans,234,8,20.0,179,9,20.0,Normal,Rising Pune Supergiant,55 runs,Rinku Singh,MS Dhoni,106,Sanju Samson,2,26,23,78,87,Gujarat Titans,Bat,44376
70,2013,2013-03-10,Arun Jaitley,Mumbai Indians,Rajasthan Royals,113,2,20.0,106,2,20.0,Normal,Mumbai Indians,7 runs,Rinku Singh,Rinku Singh,61,Jasprit Bumrah,4,35,18,59,45,Mumbai Indians,Field,78706
71,2023,2023-04-11,Ekana,Kochi Tuskers Kerala,Deccan Chargers,224,8,20.0,227,6,20.0,Normal,Deccan Chargers,4 wickets,Rinku Singh,KL Rahul,130,Sanju Samson,5,30,21,32,72,Deccan Chargers,Field,67446
72,2022,2022-05-24,DY Patil,Kochi Tuskers Kerala,Lucknow Super Giants,158,4,20.0,134,9,20.0,Normal,Kochi Tuskers Kerala,24 runs,Shreyas Iyer,AB de Villiers,112,MS Dhoni,2,30,23,58,47,Lucknow Super Giants,Bat,66932
73,2019,2019-05-15,Wankhede Stadium,Punjab Kings,Gujarat Titans,186,10,20.0,226,2,20.0,Normal,Gujarat Titans,8 wickets,Shubman Gill,Rinku Singh,138,Rinku Singh,3,34,15,58,65,Gujarat Titans,Field,67445
74,2016,2016-03-04,DY Patil,Royal Challengers Bangalore,Gujarat Titans,106,6,20.0,88,9,20.0,Normal,Royal Challengers Bangalore,18 runs,Virat Kohli,R Ashwin,91,Faf du Plessis,3,22,5,47,72,Gujarat Titans,Bat,57110
75,2021,2021-05-10,Sawai Mansingh,Sunrisers Hyderabad,Gujarat Titans,127,2,20.0,175,3,20.0,Normal,Gujarat Titans,7 wickets,Faf du Plessis,MS Dhoni,49,Jos Buttler,6,22,15,33,60,Gujarat Titans,Bat,78299
76,2008,2008-05-28,Eden Gardens,Rising Pune Supergiant,Chennai Super Kings,237,3,20.0,260,9,20.0,Normal,Chennai Super Kings,1 wickets,MS Dhoni,Shreyas Iyer,133,Sanju Samson,2,36,14,47,77,Chennai Super Kings,Field,62597
77,2010,2010-05-25,DY Patil,Mumbai Indians,Lucknow Super Giants,253,5,20.0,223,3,20.0,Normal,Mumbai Indians,30 runs,MS Dhoni,Shreyas Iyer,111,Pat Cummins,3,38,25,38,63,Mumbai Indians,Field,19698
78,2023,2023-04-11,Wankhede Stadium,Rising Pune Supergiant,Chennai Super Kings,253,4,20.0,300,10,20.0,Normal,Chennai Super Kings,0 wickets,Faf du Plessis,Jos Buttler,92,Pat Cummins,2,40,20,35,77,Chennai Super Kings,Bat,66183
79,2010,2010-03-21,Wankhede Stadium,Pune Warriors India,Rajasthan Royals,240,8,20.0,212,7,20.0,Normal,Pune Warriors India,28 runs,Shreyas Iyer,Rashid Khan,66,AB de Villiers,2,34,13,61,72,Pune Warriors India,Field,41473
80,2019,2019-04-09,Chepauk,Punjab Kings,Kochi Tuskers Kerala,260,8,20.0,238,10,20.0,Normal,Punjab Kings,22 runs,MS Dhoni,KL Rahul,101,R Ashwin,5,30,10,56,90,Kochi Tuskers Kerala,Bat,24576
81,2008,2008-05-01,Chepauk,Rising Pune Supergiant,Punjab Kings,245,8,20.0,272,3,20.0,Normal,Punjab Kings,7 wickets,Rashid Khan,Jos Buttler,57,R Ashwin,2,29,17,69,47,Rising Pune Supergiant,Bat,37787
82,2020,2020-05-25,Eden Gardens,Chennai Super Kings,Rajasthan Royals,150,2,20.0,104,6,20.0,Normal,Chennai Super Kings,46 runs,Shreyas Iyer,MS Dhoni,43,Rashid Khan,6,33,8,60,57,Rajasthan Royals,Field,56108
83,2021,2021-05-05,Chinnaswamy,Deccan Chargers,Rising Pune Supergiant,198,3,20.0,155,9,20.0,Normal,Deccan Chargers,43 runs,Pat Cummins,Sanju Samson,127,R Ashwin,4,21,19,67,68,Rising Pune Supergiant,Field,79440
84,2016,2016-05-14,Arun Jaitley,Mumbai Indians,Royal Challengers Bangalore,203,10,20.0,154,6,20.0,Normal,Mumbai Indians,49 runs,Faf du Plessis,Andre Russell,82,Shubman Gill,4,20,16,69,85,Mumbai Indians,Bat,19892
85,2013,2013-04-02,PCA,Kolkata Knight Riders,Chennai Super Kings,200,9,20.0,186,7,20.0,Normal,Kolkata Knight Riders,14 runs,Andre Russell,Rinku Singh,71,R Ashwin,5,39,23,45,68,Chennai Super Kings,Field,25266
86,2019,2019-05-07,Chepauk,Rising Pune Supergiant,Chennai Super Kings,204,5,20.0,211,8,20.0,Normal,Chennai Super Kings,2 wickets,Shreyas Iyer,Andre Russell,40,David Warner,2,15,24,38,43,Chennai Super Kings,Field,52973
87,2009,2009-04-14,Rajiv Gandhi,Sunrisers Hyderabad,Rising Pune Supergiant,111,10,20.0,145,2,20.0,Normal,Rising Pune Supergiant,8 wickets,Jos Buttler,Jos Buttler,92,Jos Buttler,4,39,5,57,94,Rising Pune Supergiant,Bat,32707
88,2019,2019-05-12,Sawai Mansingh,Kochi Tuskers Kerala,Sunrisers Hyderabad,170,8,20.0,132,6,20.0,Normal,Kochi Tuskers Kerala,38 runs,Pat Cummins,Rashid Khan,78,Rashid Khan,3,24,19,73,76,Sunrisers Hyderabad,Field,42653
89,2014,2014-05-04,Sawai Mansingh,Gujarat Titans,Rajasthan Royals,188,8,20.0,197,4,20.0,Normal,Rajasthan Royals,6 wickets,R Ashwin,KL Rahul,123,Rinku Singh,2,35,8,39,59,Gujarat Titans,Bat,25482
90,2025,2025-04-10,Chinnaswamy,Deccan Chargers,Lucknow Super Giants,101,6,20.0,102,3,20.0,Normal,Lucknow Super Giants,7 wickets,MS Dhoni,Shubman Gill,101,Rohit Sharma,6,37,17,61,52,Lucknow Super Giants,Bat,17782
91,2013,2013-04-05,DY Patil,Kochi Tuskers Kerala,Royal Challengers Bangalore,140,8,20.0,193,10,20.0,Normal,Royal Challengers Bangalore,0 wickets,KL Rahul,Sanju Samson,55,Rashid Khan,2,20,14,53,72,Kochi Tuskers Kerala,Field,38331
92,2020,2020-05-24,Wankhede Stadium,Pune Warriors India,Lucknow Super Giants,169,6,20.0,171,4,20.0,Normal,Lucknow Super Giants,6 wickets,Suryakumar Yadav,Virat Kohli,69,Shubman Gill,4,17,19,39,57,Lucknow Super Giants,Bat,62591
93,2023,2023-04-24,Arun Jaitley,Royal Challengers Bangalore,Chennai Super Kings,169,9,20.0,211,3,20.0,Normal,Chennai Super Kings,7 wickets,MS Dhoni,Rohit Sharma,51,Shubman Gill,6,26,10,48,96,Royal Challengers Bangalore,Bat,22634
94,2015,2015-04-04,Sawai Mansingh,Lucknow Super Giants,Royal Challengers Bangalore,158,6,20.0,161,8,20.0,Normal,Royal Challengers Bangalore,2 wickets,Chris Gayle,KL Rahul,51,Shreyas Iyer,3,39,23,48,41,Royal Challengers Bangalore,Field,60755
95,2010,2010-05-02,Wankhede Stadium,Lucknow Super Giants,Delhi Capitals,142,5,20.0,154,10,20.0,Normal,Delhi Capitals,0 wickets,Hardik Pandya,Jasprit Bumrah,32,David Warner,3,15,23,54,89,Lucknow Super Giants,Bat,15190
96,2019,2019-03-20,Chinnaswamy,Kochi Tuskers Kerala,Sunrisers Hyderabad,126,2,20.0,185,3,20.0,Normal,Sunrisers Hyderabad,7 wickets,David Warner,MS Dhoni,74,Andre Russell,2,30,25,66,68,Kochi Tuskers Kerala,Field,57322
97,2017,2017-03-17,Arun Jaitley,Royal Challengers Bangalore,Sunrisers Hyderabad,169,6,20.0,144,4,20.0,Normal,Royal Challengers Bangalore,25 runs,Rohit Sharma,AB de Villiers,33,Virat Kohli,4,23,13,62,83,Royal Challengers Bangalore,Bat,39476
98,2018,2018-04-06,Chepauk,Deccan Chargers,Gujarat Titans,167,7,20.0,197,3,20.0,Normal,Gujarat Titans,7 wickets,Pat Cummins,Suryakumar Yadav,91,Rohit Sharma,4,32,8,76,64,Deccan Chargers,Bat,75068
99,2013,2013-03-03,Eden Gardens,Gujarat Titans,Rajasthan Royals,100,7,20.0,99,10,20.0,Normal,Gujarat Titans,1 runs,Sanju Samson,Suryakumar Yadav,109,Pat Cummins,6,28,9,33,48,Gujarat Titans,Bat,39805
100,2011,2011-05-04,DY Patil,Pune Warriors India,Mumbai Indians,185,5,20.0,195,2,20.0,Normal,Mumbai Indians,8 wickets,KL Rahul,Rashid Khan,39,Rashid Khan,2,24,21,30,76,Pune Warriors India,Bat,38766
101,2017,2017-03-12,Eden Gardens,Gujarat Titans,Deccan Chargers,252,2,20.0,250,8,20.0,Normal,Gujarat Titans,2 runs,R Ashwin,Chris Gayle,30,MS Dhoni,3,38,11,61,98,Gujarat Titans,Bat,71609
102,2010,2010-03-08,PCA,Chennai Super Kings,Rajasthan Royals,237,5,20.0,229,5,20.0,Normal,Chennai Super Kings,8 runs,Sanju Samson,R Ashwin,81,Jasprit Bumrah,2,37,21,65,83,Chennai Super Kings,Bat,56560
103,2016,2016-04-28,Arun Jaitley,Pune Warriors India,Sunrisers Hyderabad,189,2,20.0,180,2,20.0,Normal,Pune Warriors India,9 runs,Jos Buttler,Virat Kohli,54,MS Dhoni,4,23,21,67,64,Pune Warriors India,Field,40837
104,2011,2011-04-17,Sawai Mansingh,Kochi Tuskers Kerala,Delhi Capitals,173,6,20.0,151,3,20.0,Normal,Kochi Tuskers Kerala,22 runs,Rashid Khan,Faf du Plessis,66,Chris Gayle,3,20,25,54,46,Delhi Capitals,Bat,17423
105,2011,2011-04-21,Rajiv Gandhi,Kochi Tuskers Kerala,Gujarat Titans,180,5,20.0,149,8,20.0,Normal,Kochi Tuskers Kerala,31 runs,Chris Gayle,Sanju Samson,148,Pat Cummins,5,35,7,51,99,Kochi Tuskers Kerala,Field,62821
