trip_id,pickup_datetime,dropoff_datetime,pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,passenger_count,trip_distance_miles,fare_amount,tip_amount,tolls_amount,total_amount,payment_type,rate_code,vendor_id,surge_multiplier,trip_duration_min,speed_mph
11,2025-03-04 10:25:53,2025-03-04 10:54:53,Brooklyn,Williamsburg,Bronx,Mott Haven,1,6.13,12.08,1.25,0,13.33,Google Pay,5,VEND003,1.0,29,12.7
12,2024-03-15 09:44:49,2024-03-15 10:16:49,Staten Island,Port Richmond,Brooklyn,Bedford-Stuyvesant,3,4.52,11.09,1.84,0,12.93,Cash,5,VEND001,1.0,32,8.5
13,2024-07-23 00:33:05,2024-07-23 03:06:05,Manhattan,Midtown,Manhattan,Harlem,6,28.36,64.64,13.71,6.4,84.75,Business Card,1,VEND002,1.0,153,11.1
14,2024-02-09 00:39:43,2024-02-09 01:52:43,Brooklyn,Crown Heights,Staten Island,Great Kills,3,18.75,43.38,10.18,0,53.56,Apple Pay,3,VEND003,1.9,73,15.4
15,2024-09-07 17:06:14,2024-09-07 17:56:14,Queens,Flushing,Staten Island,St. George,5,13.4,37.21,5.84,3.66,46.71,Venmo,4,VEND001,1.3,50,16.1
16,2024-05-09 18:58:31,2024-05-09 20:17:31,Brooklyn,Brooklyn Heights,Brooklyn,Bedford-Stuyvesant,2,15.08,41.38,6.28,0,47.66,Credit Card,1,VEND002,1.0,79,11.5
17,2025-03-10 01:45:25,2025-03-10 04:04:25,Bronx,Mott Haven,Manhattan,Financial District,6,18.13,39.68,4.92,0,44.6,Credit Card,2,VEND003,1.0,139,7.8
18,2025-03-18 05:29:39,2025-03-18 05:34:39,Staten Island,Tompkinsville,Queens,Sunnyside,3,0.71,3.97,0.63,0,4.6,Credit Card,3,VEND001,1.0,5,8.5
19,2025-03-14 07:27:08,2025-03-14 08:26:08,Brooklyn,Williamsburg,Bronx,Mott Haven,2,9.67,20.07,3.24,0,23.31,Business Card,1,VEND002,1.0,59,9.8
20,2024-10-06 18:18:11,2024-10-06 18:53:11,Brooklyn,Park Slope,Queens,Astoria,1,6.11,11.75,1.67,0,13.42,Credit Card,3,VEND003,2.0,35,10.5
21,2024-09-25 17:39:41,2024-09-25 20:49:41,Manhattan,Upper West Side,Bronx,Fordham,6,25.14,72.91,17.17,0,90.08,Google Pay,4,VEND001,1.0,190,7.9
22,2024-01-21 16:17:52,2024-01-21 16:51:52,Brooklyn,DUMBO,Bronx,Fordham,5,11.57,25.22,3.6,0,28.82,Venmo,4,VEND002,1.0,34,20.4
23,2024-05-25 14:58:24,2024-05-25 16:39:24,Staten Island,Port Richmond,Queens,Flushing,2,13.16,40.78,9.64,0,50.42,Cash,3,VEND003,1.0,101,7.8
24,2024-03-26 11:42:29,2024-03-26 12:38:29,Bronx,Mott Haven,Staten Island,Port Richmond,5,24.48,51.44,5.79,2.4,59.63,Business Card,4,VEND001,1.0,56,26.2
25,2024-02-02 11:40:01,2024-02-02 13:37:01,Manhattan,Lower East Side,Staten Island,Great Kills,3,29.47,47.1,2.74,0,49.84,Credit Card,5,VEND002,1.0,117,15.1
26,2024-01-09 03:48:28,2024-01-09 04:39:28,Brooklyn,Brooklyn Heights,Manhattan,SoHo,3,21.2,49.64,10.76,0,60.4,Credit Card,5,VEND003,1.0,51,24.9
27,2024-01-06 05:06:09,2024-01-06 05:25:09,Manhattan,Greenwich Village,Queens,Jamaica,4,5.41,17.73,1.75,0,19.48,Business Card,5,VEND001,2.0,19,17.1
28,2024-01-23 14:44:12,2024-01-23 14:50:12,Manhattan,Greenwich Village,Manhattan,Lower East Side,3,1.13,5.54,1.27,0,6.81,Cash,4,VEND002,1.0,6,11.3
29,2025-02-08 18:44:02,2025-02-08 19:51:02,Bronx,Mott Haven,Brooklyn,Williamsburg,2,18.73,53.29,8.01,0,61.3,Business Card,1,VEND003,2.2,67,16.8
30,2024-07-17 21:37:42,2024-07-17 22:06:42,Brooklyn,Williamsburg,Manhattan,Harlem,3,9.82,20.32,4.1,0,24.42,Venmo,4,VEND001,1.0,29,20.3
31,2025-06-06 08:31:36,2025-06-06 10:40:36,Queens,Flushing,Bronx,Riverdale,6,25.9,55.87,7.17,9.78,72.82,Google Pay,5,VEND002,2.0,129,12.0
32,2024-11-08 10:22:48,2024-11-08 11:14:48,Bronx,Fordham,Queens,Astoria,2,25.49,78.73,12.66,11.74,103.13,Business Card,2,VEND003,1.0,52,29.4
33,2025-03-28 03:42:47,2025-03-28 06:23:47,Queens,Flushing,Manhattan,Harlem,4,26.39,54.63,7.12,0,61.75,Cash,4,VEND001,1.0,161,9.8
34,2024-10-04 10:00:14,2024-10-04 10:30:14,Bronx,Riverdale,Brooklyn,Brooklyn Heights,3,5.4,13.52,2.32,0,15.84,Apple Pay,3,VEND002,1.0,30,10.8
35,2024-10-28 17:25:04,2024-10-28 18:23:04,Staten Island,St. George,Queens,Sunnyside,5,7.79,18.04,2.79,0,20.83,Apple Pay,1,VEND003,1.0,58,8.1
36,2025-05-23 07:00:49,2025-05-23 08:46:49,Brooklyn,Williamsburg,Bronx,Pelham Bay,2,13.56,29.35,3.43,4.4,37.18,Cash,3,VEND001,1.0,106,7.7
37,2025-03-20 08:36:31,2025-03-20 10:00:31,Manhattan,Lower East Side,Bronx,Mott Haven,1,23.04,69.25,4.86,0,74.11,Business Card,4,VEND002,1.0,84,16.5
38,2025-03-06 12:53:02,2025-03-06 14:12:02,Manhattan,SoHo,Manhattan,Chelsea,1,10.95,19.81,2.1,0,21.91,Venmo,1,VEND003,2.5,79,8.3
39,2024-12-19 13:09:28,2024-12-19 13:34:28,Staten Island,Tompkinsville,Manhattan,Chelsea,4,7.26,19.68,3.48,0,23.16,Venmo,2,VEND001,1.0,25,17.4
40,2024-06-13 19:23:46,2024-06-13 20:34:46,Queens,Sunnyside,Brooklyn,Williamsburg,1,17.26,48.41,9.82,0,58.23,Credit Card,5,VEND002,1.0,71,14.6
41,2024-05-21 16:42:30,2024-05-21 17:28:30,Queens,Long Island City,Manhattan,Greenwich Village,4,6.24,20.75,3.08,0,23.83,Business Card,4,VEND003,1.0,46,8.1
42,2025-01-05 06:46:36,2025-01-05 07:21:36,Bronx,Mott Haven,Brooklyn,Crown Heights,5,4.41,11.75,1.29,0,13.04,Business Card,1,VEND001,1.0,35,7.6
43,2024-04-09 14:32:50,2024-04-09 14:56:50,Brooklyn,Brooklyn Heights,Bronx,Fordham,5,8.69,15.92,0.86,0,16.78,Cash,4,VEND002,1.0,24,21.7
44,2025-04-01 18:47:48,2025-04-01 20:09:48,Manhattan,Financial District,Brooklyn,Park Slope,3,24.88,47.33,3.4,0,50.73,Venmo,2,VEND003,1.0,82,18.2
45,2025-03-10 07:47:19,2025-03-10 10:19:19,Manhattan,Financial District,Bronx,Fordham,1,20.07,55.16,8.75,0,63.91,Google Pay,5,VEND001,1.0,152,7.9
46,2024-01-16 01:08:01,2024-01-16 02:57:01,Staten Island,Tompkinsville,Queens,Flushing,2,26.13,77.68,15.94,0,93.62,Venmo,3,VEND002,1.0,109,14.4
47,2024-02-22 06:30:47,2024-02-22 08:23:47,Brooklyn,Bedford-Stuyvesant,Manhattan,Times Square,5,19.11,40.11,8.73,0,48.84,Venmo,5,VEND003,2.6,113,10.1
48,2024-04-21 21:26:26,2024-04-21 21:52:26,Brooklyn,Bushwick,Staten Island,Great Kills,6,6.79,13.68,3.32,0,17.0,Google Pay,2,VEND001,1.0,26,15.7
49,2024-03-21 13:16:33,2024-03-21 16:47:33,Bronx,Fordham,Brooklyn,Williamsburg,3,29.6,55.84,13.23,11.79,80.86,Venmo,5,VEND002,1.0,211,8.4
50,2025-05-24 01:53:31,2025-05-24 02:30:31,Queens,Woodside,Queens,Sunnyside,1,7.13,17.02,0.96,0,17.98,Venmo,5,VEND003,1.0,37,11.6
51,2024-11-20 04:13:14,2024-11-20 04:35:14,Brooklyn,Williamsburg,Bronx,Riverdale,6,7.46,16.99,3.76,0,20.75,Google Pay,4,VEND001,1.1,22,20.3
52,2025-04-19 10:44:38,2025-04-19 11:48:38,Queens,Flushing,Brooklyn,Williamsburg,2,12.22,27.23,4.15,0,31.38,Cash,4,VEND002,1.0,64,11.5
53,2024-01-09 04:35:43,2024-01-09 06:59:43,Staten Island,Great Kills,Manhattan,Chelsea,4,19.8,49.59,8.06,0,57.65,Google Pay,1,VEND003,1.0,144,8.2
54,2025-02-15 13:07:15,2025-02-15 13:34:15,Bronx,Pelham Bay,Bronx,Pelham Bay,6,5.32,12.79,2.16,0,14.95,Google Pay,2,VEND001,1.0,27,11.8
55,2025-01-06 05:08:10,2025-01-06 05:13:10,Bronx,Fordham,Queens,Jamaica,6,1.39,4.83,0.41,0,5.24,Venmo,4,VEND002,2.6,5,16.7
56,2024-03-08 23:55:46,2024-03-09 01:22:46,Manhattan,Midtown,Staten Island,St. George,1,16.38,46.8,6.78,0,53.58,Google Pay,3,VEND003,1.0,87,11.3
57,2025-04-30 23:25:53,2025-05-01 00:29:53,Manhattan,Upper West Side,Brooklyn,Bedford-Stuyvesant,5,11.67,21.3,1.98,2.4,25.68,Venmo,2,VEND001,1.0,64,10.9
58,2024-10-10 02:40:57,2024-10-10 03:21:57,Bronx,Mott Haven,Queens,Jamaica,4,15.11,43.5,8.57,0,52.07,Cash,5,VEND002,1.0,41,22.1
59,2024-08-16 18:14:56,2024-08-16 20:45:56,Bronx,Riverdale,Staten Island,St. George,1,29.76,72.24,10.32,0,82.56,Business Card,3,VEND003,1.0,151,11.8
60,2025-02-08 21:01:23,2025-02-08 21:15:23,Brooklyn,Crown Heights,Manhattan,Upper West Side,1,3.96,10.98,0.7,0,11.68,Google Pay,1,VEND001,1.0,14,17.0
61,2024-09-12 02:14:11,2024-09-12 04:42:11,Staten Island,Great Kills,Staten Island,Tompkinsville,3,24.84,55.92,7.47,0,63.39,Business Card,1,VEND002,1.0,148,10.1
62,2025-02-09 10:12:39,2025-02-09 11:42:39,Manhattan,SoHo,Staten Island,St. George,1,15.84,41.14,9.55,0,50.69,Venmo,1,VEND003,1.0,90,10.6
63,2024-11-05 03:02:56,2024-11-05 05:37:56,Queens,Sunnyside,Brooklyn,Bedford-Stuyvesant,1,23.88,65.51,11.42,0,76.93,Apple Pay,1,VEND001,1.0,155,9.2
64,2025-03-31 15:23:13,2025-03-31 16:43:13,Queens,Sunnyside,Manhattan,Upper West Side,4,20.71,37.75,3.96,0,41.71,Credit Card,5,VEND002,1.0,80,15.5
65,2025-04-13 16:37:52,2025-04-13 17:40:52,Brooklyn,Williamsburg,Queens,Sunnyside,4,13.61,29.12,3.24,0,32.36,Business Card,2,VEND003,1.0,63,13.0
66,2024-11-20 10:07:10,2024-11-20 10:57:10,Queens,Long Island City,Staten Island,St. George,6,9.94,20.52,4.55,5.53,30.6,Credit Card,2,VEND001,1.0,50,11.9
67,2025-05-28 16:18:11,2025-05-28 16:50:11,Manhattan,Financial District,Staten Island,Tompkinsville,3,5.65,12.65,2.33,2.2,17.18,Business Card,5,VEND002,1.0,32,10.6
68,2024-05-03 09:46:35,2024-05-03 10:16:35,Queens,Sunnyside,Manhattan,Harlem,6,4.45,10.43,1.72,0,12.15,Credit Card,3,VEND003,1.0,30,8.9
69,2025-04-09 13:35:45,2025-04-09 14:01:45,Manhattan,Chelsea,Bronx,Pelham Bay,3,3.44,10.39,2.45,0,12.84,Business Card,4,VEND001,1.0,26,7.9
70,2024-04-01 06:17:15,2024-04-01 07:53:15,Staten Island,Port Richmond,Manhattan,Greenwich Village,5,29.52,62.1,14.46,4.19,80.75,Cash,3,VEND002,1.0,96,18.4
71,2024-10-28 02:44:32,2024-10-28 04:26:32,Bronx,Mott Haven,Manhattan,Lower East Side,6,26.92,73.56,7.06,0,80.62,Google Pay,4,VEND003,1.0,102,15.8
72,2025-05-08 18:08:11,2025-05-08 20:58:11,Bronx,Riverdale,Staten Island,Tompkinsville,3,28.51,74.0,18.44,0,92.44,Google Pay,1,VEND001,1.0,170,10.1
73,2025-04-13 18:39:54,2025-04-13 18:49:54,Staten Island,Port Richmond,Bronx,Fordham,2,4.8,11.36,2.43,3.15,16.94,Apple Pay,4,VEND002,1.5,10,28.8
74,2024-10-25 17:19:46,2024-10-25 17:35:46,Queens,Jamaica,Staten Island,Port Richmond,4,2.9,10.28,1.13,0,11.41,Business Card,3,VEND003,1.0,16,10.9
75,2025-04-22 02:55:52,2025-04-22 05:15:52,Bronx,Fordham,Queens,Flushing,3,26.34,57.05,7.18,6.53,70.76,Google Pay,1,VEND001,1.0,140,11.3
76,2024-02-10 10:25:45,2024-02-10 11:13:45,Staten Island,Port Richmond,Staten Island,Port Richmond,4,8.44,17.36,3.59,0,20.95,Cash,1,VEND002,2.9,48,10.5
77,2024-03-27 09:23:17,2024-03-27 10:52:17,Queens,Flushing,Staten Island,St. George,6,26.68,67.61,5.18,0,72.79,Google Pay,4,VEND003,1.0,89,18.0
78,2025-04-20 18:13:32,2025-04-20 19:17:32,Manhattan,Financial District,Queens,Astoria,4,14.45,25.98,6.02,0,32.0,Google Pay,5,VEND001,1.0,64,13.5
79,2024-09-07 15:42:51,2024-09-07 17:39:51,Manhattan,Harlem,Manhattan,SoHo,6,22.09,42.62,4.77,11.29,58.68,Cash,4,VEND002,1.0,117,11.3
80,2024-03-15 04:18:13,2024-03-15 05:49:13,Brooklyn,Williamsburg,Brooklyn,Brooklyn Heights,4,17.23,45.06,3.98,0,49.04,Venmo,2,VEND003,1.0,91,11.4
81,2024-12-09 19:52:52,2024-12-09 20:19:52,Bronx,Riverdale,Bronx,Pelham Bay,4,3.98,10.23,2.49,0,12.72,Apple Pay,3,VEND001,1.0,27,8.8
82,2024-10-25 01:14:22,2024-10-25 01:57:22,Bronx,Mott Haven,Queens,Jamaica,6,9.68,24.97,1.55,0,26.52,Business Card,4,VEND002,2.1,43,13.5
83,2025-05-25 21:58:17,2025-05-25 22:22:17,Brooklyn,Park Slope,Bronx,Mott Haven,1,8.31,19.79,3.11,0,22.9,Business Card,2,VEND003,1.0,24,20.8
84,2025-04-21 23:21:34,2025-04-22 00:34:34,Staten Island,Great Kills,Queens,Sunnyside,1,17.05,46.2,7.69,0,53.89,Venmo,1,VEND001,1.0,73,14.0
85,2024-08-24 01:26:03,2024-08-24 02:03:03,Staten Island,St. George,Manhattan,Midtown,6,5.99,13.72,2.86,0,16.58,Cash,3,VEND002,1.0,37,9.7
86,2025-01-18 17:42:49,2025-01-18 19:00:49,Staten Island,Tompkinsville,Brooklyn,Williamsburg,3,14.14,44.54,6.55,5.63,56.72,Business Card,1,VEND003,1.0,78,10.9
87,2024-09-05 05:29:08,2024-09-05 06:20:08,Brooklyn,Williamsburg,Manhattan,Harlem,3,9.89,20.69,3.24,0,23.93,Credit Card,3,VEND001,2.9,51,11.6
88,2024-06-11 09:52:52,2024-06-11 10:35:52,Manhattan,Times Square,Manhattan,Times Square,1,5.98,13.98,1.85,0,15.83,Venmo,5,VEND002,1.0,43,8.3
89,2024-01-03 09:15:41,2024-01-03 10:11:41,Staten Island,Port Richmond,Queens,Flushing,3,21.86,38.88,2.8,0,41.68,Google Pay,3,VEND003,1.0,56,23.4
90,2024-02-22 05:14:52,2024-02-22 08:09:52,Brooklyn,Park Slope,Brooklyn,Bedford-Stuyvesant,4,29.85,88.74,16.86,0,105.6,Cash,4,VEND001,1.0,175,10.2
91,2024-03-27 04:22:21,2024-03-27 05:02:21,Manhattan,Financial District,Brooklyn,DUMBO,4,12.28,25.02,4.14,0,29.16,Credit Card,4,VEND002,1.0,40,18.4
92,2024-02-09 18:35:27,2024-02-09 19:55:27,Staten Island,St. George,Bronx,Pelham Bay,4,13.12,31.41,3.87,3.1,38.38,Apple Pay,5,VEND003,1.0,80,9.8
93,2024-10-19 06:14:56,2024-10-19 09:13:56,Manhattan,Upper West Side,Queens,Sunnyside,6,29.01,55.97,11.13,0,67.1,Business Card,1,VEND001,1.0,179,9.7
94,2024-09-07 09:17:32,2024-09-07 09:59:32,Queens,Flushing,Bronx,Mott Haven,5,12.23,22.03,5.11,0,27.14,Venmo,1,VEND002,1.0,42,17.5
95,2024-08-24 01:23:20,2024-08-24 01:42:20,Manhattan,Greenwich Village,Bronx,Riverdale,3,7.15,18.66,2.94,0,21.6,Business Card,3,VEND003,1.0,19,22.6
96,2025-01-11 18:54:49,2025-01-11 20:43:49,Staten Island,Tompkinsville,Bronx,Pelham Bay,1,16.04,30.8,4.3,0,35.1,Venmo,1,VEND001,1.0,109,8.8
97,2024-09-14 22:02:11,2024-09-14 23:16:11,Brooklyn,Park Slope,Brooklyn,DUMBO,4,9.41,19.04,2.09,0,21.13,Apple Pay,2,VEND002,1.0,74,7.6
98,2024-06-20 05:46:14,2024-06-20 06:50:14,Queens,Sunnyside,Brooklyn,Bushwick,3,20.19,35.76,8.0,0,43.76,Apple Pay,1,VEND003,2.2,64,18.9
99,2024-03-02 01:33:46,2024-03-02 01:51:46,Manhattan,Lower East Side,Manhattan,Times Square,2,3.22,9.52,1.25,0,10.77,Venmo,5,VEND001,1.0,18,10.7
100,2024-08-07 09:59:50,2024-08-07 11:52:50,Queens,Flushing,Queens,Astoria,6,16.22,35.37,6.26,0,41.63,Apple Pay,1,VEND002,1.0,113,8.6
101,2024-10-05 13:56:39,2024-10-05 14:59:39,Manhattan,Upper West Side,Bronx,Pelham Bay,5,8.18,19.19,4.68,0,23.87,Credit Card,5,VEND003,1.0,63,7.8
102,2024-08-01 04:04:57,2024-08-01 05:02:57,Staten Island,St. George,Bronx,Riverdale,3,24.83,71.32,5.18,0,76.5,Apple Pay,3,VEND001,1.0,58,25.7
103,2025-04-26 11:30:08,2025-04-26 12:10:08,Queens,Astoria,Manhattan,Midtown,4,8.24,15.24,2.53,0,17.77,Cash,4,VEND002,1.0,40,12.4
104,2024-07-13 23:40:48,2024-07-14 01:02:48,Brooklyn,Bushwick,Manhattan,Lower East Side,2,16.0,46.84,10.9,0,57.74,Apple Pay,5,VEND003,1.0,82,11.7
105,2024-07-21 07:25:09,2024-07-21 09:39:09,Manhattan,Greenwich Village,Queens,Long Island City,2,19.0,38.83,3.81,0,42.64,Apple Pay,5,VEND001,1.0,134,8.5
106,2024-06-08 04:38:42,2024-06-08 07:41:42,Queens,Astoria,Brooklyn,Park Slope,3,25.32,50.63,9.88,0,60.51,Business Card,1,VEND002,1.0,183,8.3
107,2025-03-01 16:42:32,2025-03-01 17:47:32,Queens,Woodside,Queens,Astoria,2,14.6,40.86,6.79,0,47.65,Business Card,5,VEND003,1.0,65,13.5
108,2024-11-21 23:20:47,2024-11-21 23:59:47,Manhattan,Financial District,Brooklyn,Bedford-Stuyvesant,3,6.17,11.82,1.72,1.36,14.9,Business Card,4,VEND001,1.0,39,9.5
109,2025-02-05 15:09:39,2025-02-05 17:08:39,Manhattan,Times Square,Queens,Jamaica,3,23.57,59.05,13.37,10.84,83.26,Cash,5,VEND002,1.0,119,11.9
110,2024-11-09 07:07:54,2024-11-09 07:40:54,Queens,Astoria,Manhattan,Harlem,4,5.99,17.93,2.25,8.3,28.48,Apple Pay,1,VEND003,1.0,33,10.9
111,2024-04-13 02:17:36,2024-04-13 02:26:36,Bronx,Pelham Bay,Brooklyn,Bedford-Stuyvesant,6,1.62,7.26,1.32,0,8.58,Apple Pay,4,VEND001,1.0,9,10.8
112,2024-08-21 03:07:35,2024-08-21 04:36:35,Queens,Woodside,Queens,Jamaica,6,15.09,46.05,10.86,0,56.91,Cash,3,VEND002,1.0,89,10.2
113,2025-05-26 19:43:09,2025-05-26 20:46:09,Brooklyn,Bushwick,Bronx,Pelham Bay,1,27.83,80.27,12.6,0,92.87,Venmo,3,VEND003,1.0,63,26.5
114,2025-04-25 03:20:23,2025-04-25 03:25:23,Staten Island,St. George,Queens,Jamaica,3,0.91,5.0,0.58,0,5.58,Google Pay,1,VEND001,1.0,5,10.9
115,2024-07-04 17:08:49,2024-07-04 18:10:49,Brooklyn,Bushwick,Queens,Long Island City,6,9.79,28.91,3.66,0,32.57,Credit Card,1,VEND002,1.0,62,9.5
116,2024-02-27 09:18:08,2024-02-27 11:42:08,Manhattan,Upper West Side,Staten Island,Port Richmond,2,19.7,57.61,3.29,0,60.9,Cash,3,VEND003,1.0,144,8.2
117,2025-04-15 18:57:58,2025-04-15 20:04:58,Bronx,Fordham,Queens,Woodside,5,19.37,59.72,7.34,0,67.06,Apple Pay,5,VEND001,1.0,67,17.3
118,2025-01-18 14:15:38,2025-01-18 17:08:38,Staten Island,St. George,Manhattan,SoHo,4,26.77,64.16,3.68,0,67.84,Apple Pay,2,VEND002,1.0,173,9.3
119,2024-04-09 12:19:50,2024-04-09 12:32:50,Staten Island,Port Richmond,Staten Island,Port Richmond,6,5.95,17.4,4.15,0,21.55,Credit Card,5,VEND003,1.0,13,27.5
120,2025-06-10 17:49:47,2025-06-10 19:31:47,Manhattan,Upper West Side,Bronx,Riverdale,5,18.76,34.12,5.58,9.23,48.93,Credit Card,5,VEND001,1.0,102,11.0
121,2024-03-21 22:12:42,2024-03-22 00:35:42,Bronx,Mott Haven,Manhattan,Central Park,2,19.61,55.76,7.9,0,63.66,Google Pay,2,VEND002,1.0,143,8.2
122,2024-09-07 16:51:40,2024-09-07 17:36:40,Manhattan,Central Park,Queens,Woodside,5,11.83,34.03,4.33,0,38.36,Cash,2,VEND003,1.0,45,15.8
123,2024-09-06 00:06:23,2024-09-06 03:45:23,Manhattan,Financial District,Staten Island,Tompkinsville,2,27.84,82.98,6.04,4.39,93.41,Business Card,4,VEND001,1.0,219,7.6
124,2024-07-24 15:32:25,2024-07-24 16:20:25,Brooklyn,Crown Heights,Staten Island,St. George,4,7.51,18.43,2.34,10.97,31.74,Google Pay,4,VEND002,1.0,48,9.4
125,2024-11-23 14:27:56,2024-11-23 16:20:56,Bronx,Fordham,Queens,Jamaica,1,15.44,31.65,5.4,0,37.05,Apple Pay,4,VEND003,1.0,113,8.2
126,2024-05-03 03:55:49,2024-05-03 06:18:49,Staten Island,Tompkinsville,Queens,Astoria,1,21.98,48.76,11.08,0,59.84,Apple Pay,3,VEND001,1.0,143,9.2
127,2024-03-03 07:21:48,2024-03-03 08:46:48,Queens,Long Island City,Brooklyn,Brooklyn Heights,4,13.24,38.96,5.42,0,44.38,Google Pay,2,VEND002,1.0,85,9.3
128,2024-04-16 23:45:51,2024-04-17 01:02:51,Staten Island,Tompkinsville,Staten Island,Great Kills,6,23.07,70.74,10.49,0,81.23,Google Pay,5,VEND003,1.0,77,18.0
129,2024-07-21 07:49:14,2024-07-21 09:29:14,Brooklyn,Bedford-Stuyvesant,Manhattan,Lower East Side,5,24.2,65.39,4.58,0,69.97,Cash,3,VEND001,1.0,100,14.5
130,2025-03-16 19:56:57,2025-03-16 22:59:57,Brooklyn,Bedford-Stuyvesant,Queens,Flushing,5,25.99,63.98,3.48,0,67.46,Business Card,1,VEND002,2.8,183,8.5
131,2024-09-02 06:00:20,2024-09-02 07:25:20,Manhattan,Lower East Side,Brooklyn,Crown Heights,2,10.93,20.25,1.23,0,21.48,Apple Pay,2,VEND003,1.0,85,7.7
132,2025-03-24 16:22:35,2025-03-24 18:02:35,Brooklyn,Brooklyn Heights,Staten Island,Tompkinsville,6,23.24,69.74,14.18,0,83.92,Cash,5,VEND001,1.0,100,13.9
133,2025-06-05 09:05:33,2025-06-05 09:59:33,Bronx,Pelham Bay,Bronx,Pelham Bay,1,20.29,48.08,10.73,2.1,60.91,Apple Pay,2,VEND002,1.0,54,22.5
134,2024-02-25 03:04:46,2024-02-25 04:07:46,Brooklyn,Park Slope,Staten Island,Tompkinsville,5,8.3,17.77,3.58,0,21.35,Google Pay,4,VEND003,1.0,63,7.9
135,2024-03-12 05:24:40,2024-03-12 05:47:40,Manhattan,Chelsea,Queens,Jamaica,2,10.37,24.42,4.19,0,28.61,Google Pay,1,VEND001,1.0,23,27.1
136,2024-07-22 22:52:08,2024-07-23 01:23:08,Staten Island,St. George,Manhattan,Central Park,3,20.16,40.2,3.74,0,43.94,Apple Pay,2,VEND002,1.5,151,8.0
137,2025-03-25 12:34:11,2025-03-25 14:08:11,Brooklyn,Brooklyn Heights,Queens,Sunnyside,6,26.91,63.82,13.39,0,77.21,Business Card,4,VEND003,1.1,94,17.2
138,2025-06-29 05:02:11,2025-06-29 07:13:11,Manhattan,Greenwich Village,Bronx,Fordham,5,26.38,71.76,13.62,0,85.38,Venmo,5,VEND001,1.0,131,12.1
139,2024-04-30 10:13:32,2024-04-30 13:31:32,Bronx,Mott Haven,Bronx,Pelham Bay,6,24.77,57.25,10.85,0,68.1,Business Card,4,VEND002,1.0,198,7.5
140,2024-10-11 17:03:28,2024-10-11 18:19:28,Queens,Long Island City,Brooklyn,DUMBO,2,17.96,35.28,5.97,0,41.25,Business Card,4,VEND003,1.0,76,14.2
141,2025-01-02 10:44:27,2025-01-02 12:00:27,Staten Island,Tompkinsville,Staten Island,Port Richmond,4,10.96,27.13,2.42,0,29.55,Credit Card,2,VEND001,2.6,76,8.7
142,2024-06-01 08:06:23,2024-06-01 09:44:23,Brooklyn,Park Slope,Staten Island,Tompkinsville,3,26.61,43.33,2.23,0,45.56,Cash,3,VEND002,1.0,98,16.3
143,2024-07-23 09:55:08,2024-07-23 11:23:08,Queens,Jamaica,Manhattan,Financial District,4,14.6,29.14,4.23,0,33.37,Credit Card,1,VEND003,2.5,88,10.0
144,2025-03-01 14:21:01,2025-03-01 14:56:01,Bronx,Pelham Bay,Staten Island,Tompkinsville,2,9.15,26.55,2.99,0,29.54,Apple Pay,3,VEND001,1.0,35,15.7
