accident_id,accident_date,accident_time,day_of_week,weather_condition,road_type,speed_limit,road_surface,light_condition,number_of_vehicles,number_of_casualties,severity,latitude,longitude,location_district,location_city,accident_reason,police_region
18,2024-05-23,10:58,Wed,Snow,Dual Carriageway,24,Dry,Darkness - No Lighting,1,2,Slight,56.2914,-2.5579,East Brendafort District,Joshuaside,Weather Conditions,South Region
19,2025-03-31,04:17,Thu,Rain,Motorway,27,Dry,Darkness - Lights Lit,5,6,Slight,54.7374,-4.3208,Emmaland District,New Timothy,Pedestrian Error,North Region
20,2023-05-26,05:00,Fri,Snow,One Way Street,28,Wet,Darkness - Lights Lit,3,4,Slight,56.1861,-0.7435,Flemingtown District,New Haley,Weather Conditions,Metropolitan
21,2023-06-05,01:03,Tue,Fine,Dual Carriageway,45,Wet,Daylight,3,5,Serious,57.3987,-4.6167,Susanhaven District,Port Jason,Distracted Driving,East Region
22,2025-04-17,16:57,Thu,Fine,Junction,63,Flood,Darkness - Lighting Unknown,3,1,Slight,51.7244,1.5967,Fordchester District,West Danielle,Pedestrian Error,West Region
23,2023-04-27,04:09,Wed,Windy,Junction,64,Flood,Daylight,3,6,Slight,56.3954,-3.1473,Kristinhaven District,Brownport,Road Condition,East Region
24,2023-04-27,23:35,Mon,Fog,One Way Street,48,Flood,Daylight,5,2,Slight,51.1478,1.8377,Bradymouth District,Carolberg,Distracted Driving,North Region
25,2024-12-15,08:29,Sun,Hail,Roundabout,67,Wet,Darkness - Lighting Unknown,1,3,Slight,52.9148,-4.6308,Charlesstad District,Hunterville,Road Condition,North Region
26,2024-09-01,16:47,Sat,Fog,Motorway,66,Wet,Darkness - Lights Lit,4,1,Serious,51.1228,-3.6703,New Brandi District,South Davidside,Unknown,West Region
27,2024-01-05,17:30,Wed,Fog,Dual Carriageway,44,Mud,Twilight,3,2,Slight,57.5026,-1.9821,North Robertville District,Port Jonathan,Weather Conditions,Metropolitan
28,2023-06-19,20:28,Sat,Hail,B-Road,59,Mud,Twilight,4,3,Serious,56.399,-4.5743,Denisestad District,Sandovalport,Unknown,South Region
29,2024-10-20,22:33,Mon,Fog,Roundabout,52,Flood,Daylight,3,6,Slight,51.3994,-2.5084,Lake Bonnietown District,Jacksonland,Pedestrian Error,West Region
30,2025-01-10,20:17,Wed,Snow,Dual Carriageway,61,Flood,Darkness - No Lighting,2,0,Slight,52.2575,1.9093,Johnsontown District,Lauraberg,Vehicle Fault,North Region
31,2024-01-13,08:25,Wed,Fine,Motorway,21,Dry,Twilight,5,3,Slight,51.5989,1.3362,Port Melissa District,Westhaven,Speeding,East Region
32,2023-10-31,19:55,Wed,Fog,Dual Carriageway,24,Ice,Darkness - Lighting Unknown,3,0,Fatal,55.3408,-4.6759,Lake Tracy District,Parsonsport,Driver Error,North Region
33,2024-06-02,18:09,Fri,Windy,One Way Street,39,Ice,Darkness - Lighting Unknown,5,2,Serious,57.0327,-3.0745,Georgeside District,Port Taylormouth,Weather Conditions,Metropolitan
34,2023-08-08,17:03,Wed,Unknown,A-Road,39,Flood,Darkness - No Lighting,2,0,Slight,52.8501,1.5074,East Caitlinport District,Port Amandafort,Pedestrian Error,West Region
35,2024-01-23,12:34,Mon,Fog,B-Road,42,Mud,Twilight,2,2,Slight,50.0219,0.1833,New Mary District,Hernandezfort,Road Condition,West Region
36,2024-01-25,12:14,Tue,Snow,Dual Carriageway,37,Wet,Twilight,4,4,Slight,53.1982,-4.5889,Jessicaton District,Nealfort,Unknown,North Region
37,2023-06-03,07:29,Fri,Fog,A-Road,37,Ice,Darkness - No Lighting,3,5,Slight,56.5774,-4.261,Samanthaborough District,East Mikeburgh,Drunk Driving,West Region
38,2025-04-28,02:22,Sun,Rain,Dual Carriageway,49,Wet,Darkness - Lights Lit,3,4,Serious,56.3569,-3.3002,Whitneyberg District,Elizabethville,Unknown,Metropolitan
39,2024-09-30,15:21,Fri,Rain,A-Road,42,Wet,Darkness - Lighting Unknown,3,2,Serious,51.7392,-1.288,South Eric District,East Destiny,Distracted Driving,East Region
40,2025-03-19,15:25,Sat,Rain,Dual Carriageway,22,Mud,Daylight,1,4,Slight,51.6105,-2.2265,South Emily District,New Cynthia,Distracted Driving,East Region
41,2024-12-03,14:43,Sun,Unknown,A-Road,63,Wet,Daylight,1,0,Slight,56.5994,-4.3014,Gabrielleside District,Wrightstad,Driver Error,West Region
42,2024-03-06,00:48,Thu,Snow,B-Road,44,Mud,Darkness - No Lighting,4,1,Slight,51.116,-0.0977,Lake Darinport District,East Danielshire,Weather Conditions,East Region
43,2025-05-16,23:42,Wed,Snow,A-Road,49,Dry,Twilight,5,3,Serious,54.0677,-2.5131,Lake Teresaland District,Gonzalezshire,Distracted Driving,West Region
44,2023-10-22,22:33,Tue,Hail,B-Road,59,Mud,Darkness - No Lighting,4,0,Slight,52.8076,0.2425,West Meredith District,Stevensborough,Weather Conditions,East Region
45,2023-07-19,19:09,Tue,Hail,One Way Street,39,Snow,Darkness - Lights Lit,4,1,Slight,57.648,1.0049,Benjaminberg District,Vincentberg,Distracted Driving,West Region
46,2023-09-03,04:01,Wed,Fog,Motorway,55,Wet,Daylight,3,0,Slight,51.3965,-1.119,Jeffreymouth District,Huntchester,Distracted Driving,South Region
47,2023-06-23,22:22,Fri,Fine,Roundabout,55,Flood,Darkness - Lighting Unknown,2,0,Slight,56.3832,-1.0377,Lake Elizabeth District,Grantchester,Weather Conditions,West Region
48,2024-08-18,22:50,Thu,Snow,A-Road,28,Flood,Daylight,2,4,Slight,56.0018,-2.5215,Port Tony District,Harryberg,Vehicle Fault,West Region
49,2023-02-18,02:41,Fri,Windy,B-Road,24,Mud,Daylight,5,0,Serious,50.6025,1.2,West Jose District,Port Gloriaview,Distracted Driving,North Region
50,2025-05-12,01:24,Fri,Unknown,B-Road,23,Snow,Twilight,3,3,Serious,54.9095,0.4676,West Melanie District,Lake Erichaven,Vehicle Fault,South Region
51,2023-08-07,17:08,Tue,Rain,Junction,38,Dry,Darkness - Lights Lit,4,3,Slight,54.5266,-2.3505,West Michael District,Gregorybury,Vehicle Fault,West Region
52,2025-01-07,00:19,Tue,Windy,A-Road,42,Flood,Darkness - Lights Lit,3,6,Slight,52.1343,-4.1212,Davismouth District,Port Jared,Distracted Driving,North Region
53,2023-09-24,20:25,Wed,Hail,A-Road,68,Ice,Daylight,3,6,Serious,54.9755,-3.8031,East Paulaview District,West Alexville,Pedestrian Error,South Region
54,2023-03-17,11:26,Fri,Rain,Junction,27,Wet,Darkness - Lighting Unknown,2,2,Slight,55.6392,-1.4984,Brandonport District,Taylorbury,Vehicle Fault,South Region
55,2023-04-11,21:43,Tue,Rain,Motorway,49,Flood,Darkness - Lights Lit,4,1,Slight,53.144,1.2313,Schroederside District,New Waynefurt,Pedestrian Error,West Region
56,2025-01-17,15:23,Fri,Hail,One Way Street,21,Flood,Darkness - No Lighting,5,3,Slight,53.6572,-0.9131,South Carla District,East Sheri,Speeding,West Region
57,2024-03-10,14:50,Tue,Rain,One Way Street,54,Flood,Darkness - No Lighting,4,5,Serious,55.8783,-0.4983,East Walter District,South Teresa,Road Condition,South Region
58,2023-04-08,10:47,Wed,Snow,A-Road,21,Dry,Twilight,2,4,Slight,56.577,-0.9891,West Kelly District,Port John,Speeding,West Region
59,2024-11-30,10:57,Thu,Snow,Junction,21,Wet,Darkness - Lighting Unknown,2,4,Slight,51.5137,-0.8853,New Zachary District,New Miguelport,Driver Error,South Region
60,2023-10-11,12:19,Wed,Rain,B-Road,48,Ice,Twilight,5,6,Serious,54.4413,1.6958,Johnsonport District,Port Terry,Road Condition,West Region
61,2024-09-07,23:49,Sun,Windy,Roundabout,22,Dry,Darkness - No Lighting,2,3,Slight,56.9743,0.199,Port Grantbury District,Toddchester,Weather Conditions,Metropolitan
62,2024-04-28,01:33,Fri,Windy,Junction,41,Wet,Darkness - Lights Lit,5,2,Slight,50.219,1.8689,Melindaville District,Carrmouth,Distracted Driving,West Region
63,2023-01-01,02:55,Sat,Fog,One Way Street,28,Flood,Twilight,3,4,Slight,54.5928,1.5416,North Brandonmouth District,East Mark,Drunk Driving,South Region
64,2025-05-05,01:34,Sun,Fine,B-Road,29,Mud,Twilight,5,6,Slight,55.5697,-0.4708,New Ashley District,North Mathew,Speeding,Metropolitan
65,2023-10-21,16:17,Sun,Fog,Motorway,24,Mud,Darkness - No Lighting,3,6,Serious,54.798,-4.0821,Richardville District,North Joshuatown,Speeding,Metropolitan
66,2023-02-23,01:56,Mon,Rain,B-Road,25,Wet,Twilight,3,4,Slight,55.0985,0.9495,Port Christopher District,Johntown,Driver Error,South Region
67,2023-08-08,12:41,Mon,Snow,Junction,33,Dry,Twilight,4,2,Slight,55.1475,-3.2386,North Jasmine District,Lancestad,Speeding,South Region
68,2024-11-09,21:14,Thu,Windy,Dual Carriageway,50,Ice,Darkness - Lighting Unknown,5,2,Serious,53.8296,-4.3288,Brooksshire District,Port Ianfort,Driver Error,North Region
69,2025-02-13,07:56,Wed,Fog,Motorway,34,Dry,Twilight,3,5,Serious,52.0349,0.8732,Brittanyberg District,Tiffanyhaven,Road Condition,East Region
70,2025-02-21,18:59,Sun,Fog,A-Road,23,Snow,Darkness - Lighting Unknown,2,3,Serious,52.778,-0.7463,Danielbury District,South James,Weather Conditions,West Region
71,2024-08-22,03:13,Thu,Unknown,Motorway,32,Wet,Daylight,5,0,Slight,50.0745,0.1187,North Willie District,South Robin,Speeding,West Region
72,2023-06-25,14:19,Fri,Snow,One Way Street,46,Wet,Twilight,4,0,Slight,56.8514,-2.6464,North Randall District,Tranhaven,Drunk Driving,West Region
73,2024-08-26,11:34,Mon,Fine,Roundabout,29,Flood,Darkness - Lights Lit,4,5,Serious,53.8248,-1.6111,Andreastad District,Lake Christinashire,Road Condition,North Region
74,2024-05-18,07:36,Sat,Snow,One Way Street,27,Flood,Darkness - Lighting Unknown,2,5,Serious,57.0123,-3.8619,Lake Deanna District,East Kevin,Distracted Driving,West Region
75,2023-08-10,12:24,Sun,Fog,B-Road,44,Flood,Daylight,5,2,Fatal,50.7049,-1.1594,Colemanstad District,Mitchelltown,Weather Conditions,North Region
76,2024-03-15,13:20,Fri,Snow,Junction,22,Flood,Twilight,4,1,Slight,53.3148,-3.7027,Beanmouth District,North Justinchester,Distracted Driving,North Region
77,2023-04-11,10:04,Fri,Fog,Roundabout,67,Flood,Daylight,3,5,Slight,51.6523,-0.4104,New Kevinfurt District,Rickyfurt,Vehicle Fault,East Region
78,2025-01-31,10:13,Sun,Fog,Roundabout,53,Dry,Daylight,3,2,Serious,55.4089,-3.828,East Amandaburgh District,Whitakerhaven,Road Condition,West Region
79,2023-06-22,20:01,Wed,Fine,Motorway,58,Flood,Darkness - Lights Lit,2,1,Slight,57.5192,-2.9241,North Pamelafurt District,Pageborough,Unknown,West Region
80,2025-01-27,04:32,Mon,Hail,A-Road,44,Wet,Darkness - Lights Lit,4,5,Fatal,57.4906,-3.7982,Port Jamesfort District,Willieland,Distracted Driving,North Region
81,2025-05-17,15:37,Fri,Snow,B-Road,23,Flood,Darkness - Lights Lit,2,6,Slight,54.5419,1.8288,New Biancafort District,Kathymouth,Weather Conditions,West Region
82,2025-04-25,20:09,Sat,Windy,B-Road,27,Dry,Darkness - Lighting Unknown,1,3,Slight,56.49,-0.3785,Port Kathryn District,Lake Brittany,Unknown,North Region
83,2024-09-13,15:44,Fri,Hail,Roundabout,22,Mud,Twilight,5,6,Slight,50.7088,-4.5149,Lake Danielberg District,South Robert,Unknown,Metropolitan
84,2024-01-25,13:45,Fri,Snow,B-Road,29,Dry,Daylight,5,1,Slight,55.1868,-0.9306,East Christopher District,Port Derek,Driver Error,East Region
85,2025-05-25,02:21,Fri,Rain,Roundabout,32,Snow,Twilight,1,6,Slight,53.7748,-4.6425,Herrerahaven District,Lopezchester,Weather Conditions,East Region
86,2023-07-28,06:54,Mon,Unknown,Motorway,70,Flood,Darkness - Lights Lit,3,6,Slight,53.3866,-1.152,Ramireztown District,West Tara,Drunk Driving,North Region
87,2025-04-14,14:03,Thu,Fog,Dual Carriageway,22,Mud,Darkness - No Lighting,5,3,Serious,57.9364,0.74,Lake Stanleyburgh District,Bishopbury,Vehicle Fault,Metropolitan
88,2025-05-31,04:30,Sun,Windy,Roundabout,70,Flood,Darkness - Lights Lit,4,4,Serious,55.7231,0.6958,South Evanborough District,North Monicamouth,Speeding,East Region
89,2024-11-06,19:48,Fri,Hail,B-Road,27,Ice,Darkness - No Lighting,4,0,Serious,53.2778,-0.7199,North Jessicashire District,Lake Rachelport,Unknown,East Region
90,2024-02-03,01:53,Sat,Windy,Junction,33,Wet,Darkness - Lights Lit,5,6,Slight,51.5784,0.0751,New Mackenzie District,New Anthony,Drunk Driving,West Region
91,2025-05-08,16:05,Tue,Hail,Motorway,53,Wet,Daylight,3,1,Slight,53.4839,-0.7444,Williamville District,Alejandromouth,Vehicle Fault,Metropolitan
92,2024-11-16,05:09,Wed,Fine,Roundabout,22,Mud,Darkness - Lights Lit,1,2,Fatal,56.3173,-4.5695,Stevenbury District,South Larryville,Speeding,Metropolitan
93,2023-10-07,17:21,Mon,Unknown,Dual Carriageway,30,Wet,Darkness - No Lighting,5,1,Slight,50.6161,-0.8589,Chapmanton District,Theresaville,Driver Error,South Region
94,2023-07-21,18:07,Mon,Rain,Roundabout,30,Mud,Darkness - No Lighting,3,2,Slight,54.1575,-4.5327,East Jamesport District,Port Brittany,Drunk Driving,West Region
95,2024-05-21,22:19,Sun,Fog,Roundabout,55,Ice,Darkness - Lights Lit,4,4,Slight,54.96,1.7632,East Roystad District,South Sandraside,Driver Error,South Region
96,2023-12-21,15:26,Wed,Hail,Dual Carriageway,33,Flood,Twilight,5,3,Fatal,57.6217,-2.6411,West Daniel District,West Elizabeth,Distracted Driving,Metropolitan
97,2024-09-21,23:31,Tue,Fine,Roundabout,22,Wet,Darkness - Lights Lit,2,2,Slight,57.7169,-1.9513,North Joseph District,Fisherport,Vehicle Fault,West Region
98,2025-04-05,11:41,Thu,Snow,A-Road,66,Ice,Darkness - No Lighting,2,3,Slight,57.2028,-1.4587,Vazquezton District,Kirstenshire,Distracted Driving,North Region
99,2023-03-10,11:22,Sat,Fog,Junction,66,Ice,Darkness - Lights Lit,1,0,Slight,55.4956,-4.3553,East Sarah District,Glennview,Vehicle Fault,Metropolitan
100,2023-12-29,18:21,Wed,Snow,A-Road,50,Flood,Darkness - Lighting Unknown,2,0,Slight,55.8503,-2.7886,Osbornebury District,Hallshire,Road Condition,South Region
101,2023-05-29,09:04,Sun,Snow,A-Road,31,Mud,Twilight,4,5,Slight,55.296,-1.709,Andrewschester District,Ashleyhaven,Pedestrian Error,South Region
102,2023-01-02,12:49,Sat,Snow,B-Road,33,Wet,Daylight,3,3,Serious,50.204,-3.7736,Ashleyside District,Harrisfort,Road Condition,South Region
103,2025-01-02,02:33,Mon,Fog,One Way Street,66,Ice,Darkness - No Lighting,4,2,Slight,50.2854,-3.7024,Port Linda District,Lake Carrieburgh,Drunk Driving,West Region
104,2024-02-15,17:08,Sat,Hail,One Way Street,46,Flood,Daylight,3,4,Slight,51.4946,-4.6582,North Taramouth District,Nicholaschester,Vehicle Fault,North Region
105,2025-06-19,01:41,Tue,Windy,Dual Carriageway,55,Ice,Daylight,1,2,Fatal,57.6489,1.4053,Alvaradoville District,New Patrick,Speeding,East Region
106,2024-04-08,17:40,Thu,Unknown,Roundabout,54,Flood,Twilight,5,6,Slight,51.566,-0.2809,North Jason District,Jamesside,Distracted Driving,South Region
107,2024-04-06,13:09,Sat,Unknown,A-Road,57,Dry,Darkness - Lights Lit,2,4,Slight,54.8582,-2.1366,Robertside District,Paulside,Vehicle Fault,South Region
108,2023-12-05,09:45,Wed,Windy,Dual Carriageway,66,Flood,Darkness - Lights Lit,3,4,Slight,55.2802,-1.0324,South William District,Lake Carlaview,Unknown,South Region
109,2025-04-18,01:34,Sat,Snow,Roundabout,21,Dry,Daylight,1,0,Slight,55.1862,-2.1392,Kellymouth District,Mendozaside,Drunk Driving,West Region
110,2023-11-04,18:18,Thu,Fog,One Way Street,33,Wet,Darkness - No Lighting,4,1,Serious,55.8958,-3.1873,North Kelly District,North Craigmouth,Road Condition,Metropolitan
111,2023-03-26,08:27,Sun,Snow,Dual Carriageway,32,Snow,Daylight,5,4,Serious,53.3619,1.967,Michaelchester District,North Patricia,Unknown,West Region
112,2025-05-22,12:38,Sat,Rain,A-Road,34,Dry,Darkness - Lighting Unknown,3,6,Serious,51.1443,-0.1928,West Marychester District,North Joy,Road Condition,South Region
113,2023-08-13,07:45,Tue,Rain,Motorway,33,Mud,Darkness - Lights Lit,3,2,Slight,52.5616,-1.6354,Jordanstad District,Johnville,Unknown,East Region
114,2025-01-17,21:31,Sun,Fog,Junction,62,Snow,Darkness - No Lighting,3,1,Slight,57.6585,-1.5488,South Loriport District,South Amber,Weather Conditions,Metropolitan
115,2024-08-07,06:14,Mon,Snow,Dual Carriageway,65,Flood,Darkness - No Lighting,2,5,Slight,50.071,-3.2595,Harrismouth District,Lindseyside,Pedestrian Error,North Region
116,2024-09-15,10:28,Thu,Snow,Roundabout,59,Snow,Darkness - No Lighting,1,5,Slight,55.6133,-4.2724,Rossmouth District,Reyesstad,Road Condition,North Region
117,2024-05-09,17:47,Sat,Unknown,B-Road,57,Dry,Twilight,1,4,Slight,50.2344,-0.5126,New Jacktown District,Jacobmouth,Vehicle Fault,Metropolitan
118,2024-09-17,04:21,Sun,Fog,Roundabout,30,Dry,Darkness - Lighting Unknown,5,0,Serious,53.1748,-4.1493,Josephmouth District,East Edwin,Pedestrian Error,East Region
119,2025-03-14,06:48,Wed,Unknown,Motorway,67,Mud,Darkness - Lighting Unknown,3,0,Serious,51.7408,-3.385,North Edward District,Pattontown,Road Condition,Metropolitan
120,2023-12-25,09:27,Fri,Rain,Motorway,65,Mud,Darkness - No Lighting,4,6,Serious,56.3209,-2.8554,North Sara District,Port Erik,Pedestrian Error,East Region
121,2024-04-17,11:03,Fri,Rain,Roundabout,47,Snow,Twilight,4,3,Slight,56.3001,1.7375,Jeffreyborough District,Lake John,Speeding,Metropolitan
122,2023-03-10,02:11,Sat,Hail,Junction,43,Snow,Twilight,3,6,Slight,54.4531,-2.5385,Hunterberg District,Lake Amy,Pedestrian Error,East Region
123,2024-09-15,18:28,Sun,Hail,One Way Street,44,Wet,Darkness - Lighting Unknown,2,1,Slight,53.9831,-2.8239,Ashleyside District,Mathewshire,Speeding,South Region
124,2024-09-03,15:45,Sat,Windy,Motorway,35,Wet,Darkness - Lighting Unknown,4,3,Serious,55.633,-1.3723,Patriciamouth District,Marquezhaven,Weather Conditions,Metropolitan
125,2023-07-23,07:38,Fri,Windy,B-Road,28,Dry,Darkness - No Lighting,5,4,Serious,57.0438,1.23,South Robertview District,Katiechester,Pedestrian Error,West Region
126,2024-06-22,09:51,Fri,Snow,A-Road,42,Mud,Darkness - Lighting Unknown,4,6,Slight,54.0571,0.8152,New Benjamintown District,Theresaview,Distracted Driving,West Region
127,2024-10-11,04:56,Sun,Fine,Dual Carriageway,54,Wet,Darkness - Lighting Unknown,2,5,Serious,55.5133,1.2982,Mitchellfort District,Lake Jonland,Weather Conditions,Metropolitan
128,2025-02-28,02:20,Mon,Rain,Motorway,67,Ice,Darkness - No Lighting,5,2,Slight,55.0416,0.4894,North Lori District,Smallberg,Unknown,North Region
129,2024-04-06,06:00,Sun,Windy,Junction,28,Mud,Darkness - Lighting Unknown,3,6,Slight,57.1669,0.457,Morenoshire District,New Meghanview,Vehicle Fault,Metropolitan
130,2023-07-26,04:52,Mon,Fine,Dual Carriageway,65,Flood,Darkness - Lights Lit,4,5,Slight,56.6917,1.3685,West Gregory District,Pattersonchester,Speeding,West Region
131,2025-01-13,17:35,Tue,Unknown,Roundabout,60,Wet,Darkness - No Lighting,3,0,Slight,53.9282,0.0087,Laurenland District,Port Mirandaside,Road Condition,South Region
132,2025-04-11,01:35,Sun,Hail,A-Road,54,Snow,Darkness - No Lighting,4,3,Slight,52.0613,-0.1883,New Jennifer District,Smithchester,Driver Error,South Region
133,2024-05-31,02:25,Mon,Fine,Dual Carriageway,20,Flood,Twilight,2,3,Slight,55.2748,0.7054,Hernandezmouth District,Perezberg,Weather Conditions,East Region
134,2024-06-07,18:17,Fri,Fog,Roundabout,69,Mud,Darkness - Lighting Unknown,2,0,Serious,54.5057,-2.9165,Jonathanbury District,Lyonsview,Drunk Driving,North Region
135,2023-07-30,23:50,Fri,Fine,Motorway,34,Snow,Twilight,1,3,Slight,55.8757,1.7119,West Traci District,Ericamouth,Unknown,North Region
136,2024-07-27,09:44,Sun,Fog,Motorway,60,Flood,Daylight,5,3,Serious,56.0532,-1.5377,Angelicabury District,Thomasberg,Road Condition,South Region
137,2024-08-25,09:53,Sat,Unknown,Junction,59,Snow,Darkness - No Lighting,2,3,Slight,54.1605,0.2743,Port Carlos District,North Jamesberg,Pedestrian Error,Metropolitan
138,2025-05-08,13:39,Sat,Snow,Junction,40,Dry,Daylight,2,4,Serious,57.3111,-3.1231,Lake Ashleyfurt District,Lake Ashley,Driver Error,South Region
139,2024-05-17,10:54,Fri,Windy,A-Road,69,Snow,Twilight,3,4,Serious,55.6077,-4.9586,Port Dominique District,South Kristinefurt,Speeding,Metropolitan
140,2024-04-24,22:41,Wed,Unknown,Junction,32,Dry,Darkness - Lights Lit,4,1,Slight,50.9038,-2.6391,Marthahaven District,East Isabellamouth,Distracted Driving,Metropolitan
141,2024-12-06,03:32,Fri,Snow,One Way Street,58,Flood,Twilight,2,1,Slight,52.208,-3.7289,East Pennyburgh District,Cummingsberg,Pedestrian Error,West Region
142,2024-09-16,18:59,Mon,Fog,Dual Carriageway,44,Ice,Twilight,4,1,Slight,51.3183,-0.5531,Lake Lindsey District,West Eric,Speeding,East Region
143,2024-05-15,05:55,Sat,Rain,B-Road,47,Mud,Twilight,2,2,Serious,53.2874,-3.4621,Port Lori District,Nicholasmouth,Pedestrian Error,West Region
144,2024-09-20,02:47,Mon,Windy,Junction,29,Wet,Darkness - No Lighting,2,1,Slight,51.0712,-2.6394,East Zachary District,Phillipsshire,Vehicle Fault,South Region
145,2023-10-13,06:51,Fri,Hail,Junction,48,Snow,Twilight,3,5,Slight,52.9753,-0.5141,Penningtonview District,South Jessica,Drunk Driving,South Region
146,2024-12-07,16:33,Thu,Fog,Motorway,50,Snow,Twilight,4,1,Slight,53.5035,1.8963,Phillipville District,Cameronton,Drunk Driving,North Region
147,2025-04-20,05:12,Fri,Windy,A-Road,26,Flood,Twilight,3,4,Serious,57.4337,-0.7026,West Dianeside District,South Brooke,Vehicle Fault,Metropolitan
148,2024-10-29,10:49,Sun,Windy,A-Road,48,Wet,Darkness - No Lighting,3,5,Slight,53.8921,-0.5155,New Marissastad District,Lake Janicefort,Vehicle Fault,West Region
149,2023-09-04,10:33,Sun,Fog,Dual Carriageway,65,Flood,Daylight,1,5,Serious,51.5583,-3.5246,East Timothy District,New Stephaniefurt,Distracted Driving,East Region
150,2025-04-14,04:31,Fri,Hail,B-Road,70,Ice,Daylight,1,3,Serious,51.1739,0.4304,West Amanda District,Lake Jackville,Weather Conditions,West Region
151,2024-10-01,05:07,Thu,Windy,Roundabout,46,Mud,Darkness - Lights Lit,5,2,Slight,57.5454,-1.9747,Christinefort District,North Samantha,Drunk Driving,East Region
152,2025-03-08,15:37,Fri,Fine,Motorway,61,Ice,Darkness - Lights Lit,1,5,Slight,57.5829,-4.2273,Owensmouth District,Robertmouth,Weather Conditions,South Region
153,2024-11-27,09:33,Sat,Snow,Roundabout,37,Dry,Darkness - Lighting Unknown,1,4,Slight,50.2818,-1.5427,Williamchester District,Carlsontown,Distracted Driving,West Region
154,2024-12-19,19:19,Mon,Fine,Dual Carriageway,45,Flood,Darkness - Lights Lit,4,4,Slight,54.8668,-1.247,Port John District,Jonesport,Vehicle Fault,Metropolitan
155,2023-07-11,07:52,Fri,Hail,One Way Street,36,Flood,Twilight,1,2,Slight,53.7716,0.8342,Port George District,Collierchester,Drunk Driving,West Region
156,2024-05-06,14:15,Sun,Hail,Roundabout,65,Dry,Darkness - Lighting Unknown,1,3,Slight,55.8439,-0.5927,Williamsonhaven District,Lake Robinland,Road Condition,Metropolitan
157,2023-04-26,03:57,Fri,Rain,One Way Street,21,Mud,Darkness - No Lighting,1,6,Serious,57.4506,0.7825,South Timothy District,West Andrewmouth,Drunk Driving,North Region
158,2023-05-11,13:59,Mon,Fog,One Way Street,43,Flood,Twilight,4,3,Fatal,51.6097,-0.7132,Kellyhaven District,Cooktown,Drunk Driving,West Region
