sale_id,date,product_sku,product_name,category,gender,region,state,city,retailer,sales_channel,units_sold,unit_price,total_sales,operating_profit,margin_pct
45,2025-04-16,ADS8714,Superstar,Lifestyle,Unisex,West,Illinois,Brianchester,Foot Locker,Online,43,238.95,10274.85,4880.55,47.5
46,2024-03-15,ADS2698,NMD,Lifestyle,Women,Northeast,New York,Samanthaview,Dicks Sporting Goods,Online,34,220.76,7505.84,3505.23,46.7
47,2024-08-15,ADS6280,Superstar,Lifestyle,Unisex,Southeast,Georgia,East Danielleside,Foot Locker,Online,41,51.25,2101.25,1149.38,54.7
48,2025-03-23,ADS3404,Forum,Lifestyle,Women,Midwest,Arizona,New Megan,Macys,Retail,35,204.79,7167.65,3727.18,52.0
49,2025-06-04,ADS5470,Adicross,Golf,Men,Southwest,Ohio,Port Bryan,Finish Line,Online,17,132.07,2245.19,1210.16,53.9
50,2024-09-28,ADS2251,Terrex,Outdoor,Men,Northeast,Michigan,Abigailborough,Foot Locker,Outlet,21,182.58,3834.18,1664.03,43.4
51,2024-01-31,ADS4073,Adicross,Golf,Men,West,California,Mcdonaldside,Nordstrom,Online,25,53.35,1333.75,834.93,62.6
52,2025-01-24,ADS2642,Supernova,Running,Men,West,Florida,New Vicki,Eastbay,Outlet,42,79.31,3331.02,1808.74,54.3
53,2025-02-15,ADS5578,Cloudfoam,Casual,Unisex,Southwest,Texas,Johnstown,Macys,Retail,50,145.29,7264.5,2760.51,38.0
54,2024-05-20,ADS9556,Stan Smith,Lifestyle,Unisex,Southeast,Florida,Lawsonchester,Finish Line,Retail,5,70.65,353.25,151.19,42.8
55,2024-08-30,ADS8256,X Speedportal,Football,Men,Southeast,Michigan,New James,Finish Line,Retail,7,244.58,1712.06,655.72,38.3
56,2024-12-14,ADS7469,Ultraboost,Running,Men,Midwest,Pennsylvania,South Sherriview,Eastbay,Online,33,77.05,2542.65,1258.61,49.5
57,2024-09-04,ADS8135,Ultraboost,Running,Men,Northeast,Michigan,West Randall,Finish Line,Retail,43,248.15,10670.45,5868.75,55.0
58,2024-02-07,ADS8916,Training,Training,Unisex,Southwest,Pennsylvania,Port Johnbury,Foot Locker,Outlet,39,66.04,2575.56,1189.91,46.2
59,2024-05-14,ADS1684,Cloudfoam,Casual,Unisex,Midwest,Michigan,Brianport,Champs Sports,Outlet,7,74.89,524.23,262.12,50.0
60,2024-08-01,ADS4643,Supernova,Running,Men,Northeast,Florida,South Trevor,Dicks Sporting Goods,Retail,7,176.21,1233.47,616.74,50.0
61,2025-01-09,ADS8035,Copa,Football,Men,Southwest,Illinois,Maddoxborough,Foot Locker,Outlet,26,175.68,4567.68,1950.4,42.7
62,2024-10-25,ADS4779,Adizero,Running,Men,West,California,Youngside,Champs Sports,Retail,21,121.27,2546.67,1438.87,56.5
63,2025-04-24,ADS8971,Supernova,Running,Men,Northeast,Florida,Christinehaven,Macys,Online,47,242.53,11398.91,6417.59,56.3
64,2024-10-12,ADS8383,Adicross,Golf,Men,Northeast,Texas,South Brittanyhaven,Foot Locker,Outlet,8,210.09,1680.72,944.56,56.2
65,2024-11-26,ADS9926,Terrex,Outdoor,Men,Southeast,Arizona,Port Jeremiahbury,Champs Sports,Retail,7,155.11,1085.77,440.82,40.6
66,2025-04-06,ADS6441,Ultraboost,Running,Men,Southeast,Texas,Craigbury,Finish Line,Outlet,12,134.41,1612.92,620.97,38.5
67,2024-03-14,ADS3815,Training,Training,Unisex,Southwest,California,New Meganchester,Dicks Sporting Goods,Online,50,191.65,9582.5,5864.49,61.2
68,2024-10-26,ADS1410,Forum,Lifestyle,Men,West,Michigan,Wilsonfort,Eastbay,Retail,48,126.04,6049.92,3805.4,62.9
69,2025-06-23,ADS4799,X Speedportal,Football,Men,Southeast,Ohio,Floresstad,Finish Line,Outlet,10,145.6,1456.0,886.7,60.9
70,2024-02-18,ADS1069,Copa,Football,Men,Southwest,Ohio,Adrienneport,Eastbay,Online,40,76.31,3052.4,1654.4,54.2
71,2025-01-27,ADS5156,Adicross,Golf,Men,Southwest,Arizona,Port Brucestad,Finish Line,Outlet,31,218.03,6758.93,2994.21,44.3
72,2024-03-17,ADS5984,Terrex,Outdoor,Men,Northeast,Texas,East Aaronside,Dicks Sporting Goods,Outlet,11,61.26,673.86,384.1,57.0
73,2024-06-07,ADS9408,Predator,Football,Men,West,Pennsylvania,Lake Bridgetmouth,Adidas.com,Online,37,75.72,2801.64,1257.94,44.9
74,2024-12-18,ADS9073,Adicross,Golf,Men,Southwest,Texas,West Lindsayhaven,Eastbay,Outlet,39,208.73,8140.47,3956.27,48.6
75,2025-05-03,ADS8403,Ultraboost,Running,Men,Northeast,Arizona,East Benjamin,Macys,Online,23,76.33,1755.59,830.39,47.3
76,2024-11-24,ADS6406,Stan Smith,Lifestyle,Unisex,Northeast,Georgia,Lewisfort,Macys,Outlet,45,89.53,4028.85,1873.42,46.5
77,2024-08-24,ADS6255,Predator,Football,Men,Southeast,Florida,North Steven,Eastbay,Retail,41,198.56,8140.96,4208.88,51.7
78,2024-05-25,ADS7614,X Speedportal,Football,Men,Southwest,Pennsylvania,Lewiston,Champs Sports,Online,36,59.79,2152.44,1046.09,48.6
79,2025-06-11,ADS8455,Ultraboost,Running,Men,Southeast,Texas,Robertfort,Eastbay,Online,15,118.37,1775.55,786.57,44.3
80,2024-10-20,ADS7884,Supernova,Running,Men,Southwest,Ohio,Gordonburgh,Eastbay,Retail,12,83.94,1007.28,432.12,42.9
81,2024-05-10,ADS5602,Adicross,Golf,Men,West,California,Port Nicholasport,Macys,Outlet,1,60.01,60.01,26.46,44.1
82,2024-03-10,ADS9870,Ultraboost,Running,Women,Northeast,Ohio,Hernandezshire,Champs Sports,Online,14,190.95,2673.3,1612.0,60.3
83,2024-10-28,ADS8454,Adicross,Golf,Men,West,Arizona,Melanieshire,Nordstrom,Outlet,11,216.7,2383.7,1179.93,49.5
84,2024-07-20,ADS2723,Copa,Football,Men,Northeast,California,New Alisonside,Eastbay,Outlet,27,207.59,5604.93,3362.96,60.0
85,2025-04-09,ADS6752,Forum,Lifestyle,Women,Southwest,Ohio,North Elizabethhaven,Eastbay,Online,29,119.32,3460.28,1588.27,45.9
86,2024-11-17,ADS7347,NMD,Lifestyle,Women,West,Florida,Lake Daniel,Macys,Outlet,30,156.53,4695.9,1859.58,39.6
87,2025-01-13,ADS4329,Adicross,Golf,Men,West,California,Lake Robertstad,Macys,Outlet,44,92.7,4078.8,1456.13,35.7
88,2025-01-12,ADS1186,Training,Training,Unisex,Southwest,Georgia,New Josephview,Dicks Sporting Goods,Outlet,23,148.61,3418.03,1955.11,57.2
89,2024-11-15,ADS7713,Cloudfoam,Casual,Unisex,West,Pennsylvania,South Donnaborough,Adidas.com,Outlet,34,49.55,1684.7,657.03,39.0
90,2025-03-12,ADS7137,Ultraboost,Running,Women,Southwest,California,Lake Jesse,Finish Line,Outlet,30,224.88,6746.4,3251.76,48.2
91,2025-05-16,ADS4010,Cloudfoam,Casual,Unisex,Southwest,Texas,Johnside,Foot Locker,Online,15,66.03,990.45,494.23,49.9
92,2024-11-20,ADS7872,Ultraboost,Running,Women,Southeast,New York,Lake Crystal,Adidas.com,Retail,23,198.25,4559.75,1764.62,38.7
93,2025-04-09,ADS4962,Superstar,Lifestyle,Unisex,Northeast,New York,Chanhaven,Finish Line,Outlet,11,96.8,1064.8,447.22,42.0
94,2024-07-24,ADS7572,Predator,Football,Men,Northeast,Georgia,Port Joel,Macys,Outlet,25,89.23,2230.75,796.38,35.7
95,2025-04-06,ADS6632,Predator,Football,Men,Southeast,Florida,East Valerie,Nordstrom,Retail,1,181.21,181.21,85.17,47.0
96,2024-02-21,ADS2480,Training,Training,Unisex,Southeast,Michigan,Millerton,Nordstrom,Online,9,104.47,940.23,498.32,53.0
97,2024-11-26,ADS7267,Forum,Lifestyle,Women,Midwest,Illinois,West Michael,Nordstrom,Retail,4,188.81,755.24,271.89,36.0
98,2024-07-07,ADS2907,Forum,Lifestyle,Women,West,Michigan,Lauraton,Adidas.com,Retail,22,202.67,4458.74,1890.51,42.4
99,2024-06-16,ADS9673,Superstar,Lifestyle,Unisex,Northeast,Ohio,Rosschester,Finish Line,Retail,20,112.85,2257.0,1401.6,62.1
100,2025-04-30,ADS6982,Cloudfoam,Casual,Unisex,Midwest,California,Jonesberg,Eastbay,Outlet,20,198.43,3968.6,2543.87,64.1
101,2024-10-23,ADS9918,Cloudfoam,Casual,Unisex,Southwest,California,Mathewstown,Dicks Sporting Goods,Online,41,153.39,6288.99,4012.38,63.8
102,2024-04-21,ADS5081,Predator,Football,Men,Northeast,Pennsylvania,North Brianview,Adidas.com,Online,9,190.25,1712.25,686.61,40.1
103,2025-02-10,ADS3158,Adicross,Golf,Men,West,Pennsylvania,Tonyville,Eastbay,Online,27,155.44,4196.88,2631.44,62.7
104,2024-11-06,ADS3580,NMD,Lifestyle,Women,Midwest,Arizona,East Alyssachester,Nordstrom,Retail,45,141.87,6384.15,2381.29,37.3
105,2024-05-19,ADS7427,Superstar,Lifestyle,Unisex,Midwest,Illinois,Morenobury,Foot Locker,Retail,8,158.9,1271.2,625.43,49.2
106,2025-03-12,ADS9299,Ultraboost,Running,Men,Northeast,Pennsylvania,Port Thomaston,Adidas.com,Online,49,85.41,4185.09,1694.96,40.5
107,2024-07-27,ADS8989,Adicross,Golf,Men,Midwest,Ohio,Christinaland,Foot Locker,Online,3,51.89,155.67,62.89,40.4
108,2025-04-05,ADS1059,Ultraboost,Running,Men,Northeast,Pennsylvania,Floydland,Nordstrom,Retail,11,66.64,733.04,417.1,56.9
109,2024-12-12,ADS9680,Terrex,Outdoor,Men,Southwest,Arizona,Myersberg,Dicks Sporting Goods,Outlet,5,238.63,1193.15,560.78,47.0
110,2024-11-25,ADS3156,Adizero,Running,Men,Southwest,Ohio,Seanmouth,Adidas.com,Online,18,46.94,844.92,398.8,47.2
111,2025-05-12,ADS8328,Terrex,Outdoor,Men,Midwest,Illinois,Rodriguezborough,Dicks Sporting Goods,Online,44,71.79,3158.76,1749.95,55.4
112,2024-02-11,ADS9758,Predator,Football,Men,Midwest,Illinois,Larrymouth,Finish Line,Online,26,221.56,5760.56,2114.13,36.7
113,2025-06-13,ADS9084,Ultraboost,Running,Men,Southeast,Florida,Nicholasbury,Finish Line,Retail,24,158.17,3796.08,1905.63,50.2
114,2024-09-24,ADS6498,Ultraboost,Running,Men,Southwest,Arizona,East Matthew,Dicks Sporting Goods,Online,6,126.64,759.84,462.74,60.9
115,2024-03-23,ADS9708,Stan Smith,Lifestyle,Unisex,Midwest,Michigan,North Kristin,Foot Locker,Outlet,5,121.29,606.45,260.77,43.0
116,2024-02-02,ADS2750,Ultraboost,Running,Women,West,Georgia,East Valerie,Eastbay,Outlet,24,36.5,876.0,317.99,36.3
117,2024-06-17,ADS6740,Forum,Lifestyle,Women,Northeast,Arizona,New Teresa,Dicks Sporting Goods,Online,2,178.9,357.8,191.42,53.5
118,2024-08-19,ADS6780,Forum,Lifestyle,Men,Southeast,Florida,West Sarah,Finish Line,Outlet,10,217.4,2174.0,1119.61,51.5
119,2024-12-11,ADS5401,Stan Smith,Lifestyle,Unisex,West,Florida,Hernandezville,Eastbay,Outlet,29,243.45,7060.05,4257.21,60.3
120,2024-06-03,ADS6630,Adicross,Golf,Men,West,Ohio,East Benjamin,Nordstrom,Online,38,143.69,5460.22,3401.72,62.3
121,2024-03-16,ADS8268,Adizero,Running,Men,Northeast,Illinois,South Debramouth,Dicks Sporting Goods,Online,14,127.31,1782.34,1053.36,59.1
122,2024-04-27,ADS2813,Ultraboost,Running,Women,Midwest,New York,Vargasside,Macys,Outlet,30,106.86,3205.8,1413.76,44.1
123,2024-08-10,ADS7315,Ultraboost,Running,Women,Southeast,Ohio,Katherineton,Foot Locker,Outlet,38,212.75,8084.5,3832.05,47.4
124,2024-10-25,ADS8697,Predator,Football,Men,Southwest,Florida,New Allentown,Champs Sports,Outlet,12,184.02,2208.24,971.63,44.0
125,2024-01-15,ADS4133,Ultraboost,Running,Women,Midwest,Florida,East Morganfort,Nordstrom,Retail,49,138.2,6771.8,2891.56,42.7
126,2025-05-16,ADS7166,Ultraboost,Running,Women,Midwest,Pennsylvania,New Dorismouth,Foot Locker,Retail,11,146.56,1612.16,856.06,53.1
127,2024-01-04,ADS9495,Training,Training,Unisex,Northeast,New York,Dunntown,Adidas.com,Online,20,196.83,3936.6,1641.56,41.7
128,2024-09-22,ADS5863,X Speedportal,Football,Men,Southeast,Illinois,Copelandton,Eastbay,Outlet,42,234.54,9850.68,3506.84,35.6
129,2024-11-26,ADS1816,Cloudfoam,Casual,Unisex,West,Illinois,Kaitlyntown,Adidas.com,Outlet,41,241.62,9906.42,3556.4,35.9
130,2024-10-16,ADS8829,Adizero,Running,Men,Southwest,New York,Goldentown,Macys,Online,23,125.07,2876.61,1423.92,49.5
131,2024-01-17,ADS3267,Training,Training,Unisex,Southeast,Ohio,Lake Laura,Macys,Outlet,50,117.12,5856.0,3753.7,64.1
132,2024-02-04,ADS4783,Stan Smith,Lifestyle,Unisex,Northeast,Arizona,Parkerside,Foot Locker,Outlet,15,233.41,3501.15,1659.55,47.4
133,2024-11-22,ADS2642,X Speedportal,Football,Men,Midwest,New York,Adamfort,Eastbay,Online,41,233.43,9570.63,6144.34,64.2
134,2024-01-01,ADS4020,Forum,Lifestyle,Men,Southeast,Georgia,Boydmouth,Macys,Online,8,238.01,1904.08,1096.75,57.6
135,2024-01-04,ADS1208,X Speedportal,Football,Men,Northeast,Texas,New Christina,Macys,Online,22,140.64,3094.08,1472.78,47.6
136,2025-02-18,ADS5471,Predator,Football,Men,Southwest,Illinois,West Katherineborough,Dicks Sporting Goods,Online,22,81.75,1798.5,958.6,53.3
137,2024-02-16,ADS6292,Predator,Football,Men,West,Georgia,Lake Tiffanyfurt,Champs Sports,Outlet,49,214.32,10501.68,5712.91,54.4
138,2025-04-19,ADS5082,Forum,Lifestyle,Women,West,California,Port John,Dicks Sporting Goods,Online,6,204.32,1225.92,790.72,64.5
139,2025-06-04,ADS8618,Cloudfoam,Casual,Unisex,Southeast,Georgia,Mistyton,Nordstrom,Online,11,200.37,2204.07,1262.93,57.3
140,2024-03-20,ADS1260,Supernova,Running,Men,West,California,Leebury,Adidas.com,Retail,10,189.74,1897.4,1009.42,53.2
141,2025-02-16,ADS6107,Copa,Football,Men,Midwest,New York,North Mark,Eastbay,Outlet,27,216.12,5835.24,2159.04,37.0
142,2025-01-20,ADS6211,Forum,Lifestyle,Women,Midwest,California,Allenhaven,Macys,Online,48,88.63,4254.24,2390.88,56.2
143,2024-04-05,ADS3352,Predator,Football,Men,Northeast,Georgia,Danieltown,Eastbay,Retail,40,61.86,2474.4,1232.25,49.8
144,2024-12-26,ADS6009,X Speedportal,Football,Men,Southeast,Arizona,Port Amberbury,Champs Sports,Outlet,15,238.41,3576.15,1920.39,53.7
145,2025-01-19,ADS4001,Ultraboost,Running,Men,Midwest,New York,West Brandon,Eastbay,Outlet,14,94.59,1324.26,757.48,57.2
146,2024-05-13,ADS9371,Predator,Football,Men,Northeast,Florida,East Monique,Finish Line,Online,13,106.89,1389.57,589.18,42.4
147,2025-03-01,ADS4411,Forum,Lifestyle,Women,Northeast,New York,Batesmouth,Finish Line,Retail,22,84.98,1869.56,794.56,42.5
148,2025-05-09,ADS8793,Copa,Football,Men,Midwest,California,East Jennifer,Nordstrom,Online,12,56.82,681.84,270.01,39.6
149,2024-09-19,ADS1734,Ultraboost,Running,Women,Midwest,Texas,North Austin,Champs Sports,Online,16,68.82,1101.12,461.37,41.9
150,2024-06-03,ADS1464,Stan Smith,Lifestyle,Unisex,Southwest,Texas,Morenofurt,Nordstrom,Retail,9,88.44,795.96,356.59,44.8
151,2024-07-02,ADS5370,Adicross,Golf,Men,Northeast,Illinois,Lake Joseph,Dicks Sporting Goods,Online,32,149.88,4796.16,1755.39,36.6
152,2024-06-05,ADS2289,Copa,Football,Men,West,Arizona,Heatherstad,Dicks Sporting Goods,Retail,26,238.46,6199.96,2740.38,44.2
153,2025-04-30,ADS9367,Terrex,Outdoor,Men,Northeast,Pennsylvania,Brownside,Foot Locker,Outlet,9,219.01,1971.09,879.11,44.6
154,2025-04-03,ADS6656,Adizero,Running,Men,Northeast,Ohio,West Kathrynburgh,Finish Line,Outlet,47,216.56,10178.32,6534.48,64.2
155,2024-08-16,ADS2120,Copa,Football,Men,West,Pennsylvania,Lake David,Foot Locker,Retail,17,166.42,2829.14,1779.53,62.9
156,2024-02-09,ADS2986,Forum,Lifestyle,Women,Southwest,Georgia,Angelport,Finish Line,Online,21,219.54,4610.34,2106.93,45.7
157,2024-06-29,ADS7710,NMD,Lifestyle,Women,Southeast,California,New Pamelastad,Champs Sports,Online,9,170.84,1537.56,990.19,64.4
158,2025-02-08,ADS9789,Cloudfoam,Casual,Unisex,Midwest,Georgia,East Nicholasberg,Finish Line,Retail,5,63.84,319.2,175.88,55.1
159,2024-09-05,ADS8140,Stan Smith,Lifestyle,Unisex,Northeast,Ohio,Michellehaven,Adidas.com,Retail,50,36.99,1849.5,647.33,35.0
160,2024-09-11,ADS7314,Stan Smith,Lifestyle,Unisex,West,Ohio,West Seth,Champs Sports,Outlet,39,46.77,1824.03,946.67,51.9
161,2024-07-16,ADS4535,Ultraboost,Running,Women,Southwest,California,South Dana,Adidas.com,Outlet,5,134.02,670.1,296.18,44.2
162,2025-01-14,ADS7841,Supernova,Running,Men,Northeast,California,Lake Rebeccafort,Finish Line,Outlet,6,58.5,351.0,219.38,62.5
163,2024-02-28,ADS2608,Stan Smith,Lifestyle,Unisex,West,Arizona,New Jessica,Finish Line,Online,33,139.4,4600.2,2332.3,50.7
164,2024-09-15,ADS7322,X Speedportal,Football,Men,Southeast,Michigan,Port Holly,Foot Locker,Retail,26,206.84,5377.84,2941.68,54.7
165,2025-04-01,ADS2451,NMD,Lifestyle,Women,West,Ohio,Wernershire,Champs Sports,Outlet,35,136.72,4785.2,2727.56,57.0
166,2024-04-15,ADS7255,Supernova,Running,Men,Midwest,Georgia,North Cindy,Dicks Sporting Goods,Retail,41,248.5,10188.5,3678.05,36.1
167,2025-01-13,ADS3557,Forum,Lifestyle,Women,Southwest,New York,Port Stuartside,Adidas.com,Outlet,3,72.86,218.58,77.38,35.4
168,2024-06-21,ADS4164,Forum,Lifestyle,Men,Southwest,Florida,Lake Jamestown,Nordstrom,Retail,19,179.74,3415.06,1652.89,48.4
169,2024-01-30,ADS1471,Copa,Football,Men,West,Florida,Victoriahaven,Adidas.com,Retail,34,38.81,1319.54,550.25,41.7
170,2024-12-28,ADS7082,Ultraboost,Running,Women,Northeast,Illinois,Michaelville,Nordstrom,Retail,34,239.74,8151.16,4711.37,57.8
171,2024-07-31,ADS8877,NMD,Lifestyle,Men,Midwest,Arizona,Beckerside,Adidas.com,Retail,6,123.51,741.06,317.17,42.8
172,2024-09-23,ADS7104,Training,Training,Unisex,Northeast,Michigan,Martinezburgh,Nordstrom,Retail,47,148.27,6968.69,3310.13,47.5
173,2024-03-12,ADS1744,Forum,Lifestyle,Men,Midwest,Arizona,Natashatown,Nordstrom,Retail,20,53.06,1061.2,483.91,45.6
174,2025-03-15,ADS2464,NMD,Lifestyle,Men,West,California,North Antonio,Eastbay,Online,16,249.34,3989.44,2505.37,62.8
175,2025-02-01,ADS9671,Stan Smith,Lifestyle,Unisex,Midwest,Georgia,Dayshire,Nordstrom,Online,3,38.5,115.5,45.05,39.0
176,2024-11-13,ADS4964,Predator,Football,Men,Northeast,Florida,Wilcoxhaven,Foot Locker,Retail,46,200.66,9230.36,4550.57,49.3
177,2025-05-07,ADS3635,Forum,Lifestyle,Women,Southwest,Texas,Anthonymouth,Nordstrom,Retail,31,182.82,5667.42,2164.95,38.2
178,2024-10-18,ADS3352,Forum,Lifestyle,Women,Midwest,California,New Andrea,Dicks Sporting Goods,Retail,1,179.76,179.76,108.93,60.6
179,2024-11-30,ADS6604,Copa,Football,Men,Midwest,Arizona,West Kathleen,Adidas.com,Outlet,2,107.46,214.92,117.56,54.7
180,2025-03-10,ADS4420,Supernova,Running,Men,West,Pennsylvania,North Bryan,Champs Sports,Outlet,38,178.15,6769.7,4237.83,62.6
181,2024-11-16,ADS6076,Ultraboost,Running,Women,Southwest,Texas,East Coryburgh,Champs Sports,Online,33,85.93,2835.69,1398.0,49.3
182,2024-12-02,ADS9620,Ultraboost,Running,Men,Southeast,California,Torresside,Adidas.com,Online,50,78.47,3923.5,1706.72,43.5
183,2024-01-26,ADS6033,Adizero,Running,Men,West,Florida,Matthewview,Adidas.com,Retail,21,97.58,2049.18,813.52,39.7
184,2024-01-24,ADS7762,X Speedportal,Football,Men,Midwest,Illinois,Smithfurt,Champs Sports,Retail,37,57.87,2141.19,1113.42,52.0
185,2024-12-16,ADS6885,Stan Smith,Lifestyle,Unisex,Northeast,Michigan,South Edward,Champs Sports,Online,32,145.08,4642.56,2590.55,55.8
