session_id,date,customer_id,utm_source,utm_medium,landing_page,product_viewed,added_to_cart,reached_checkout,purchase_completed,revenue,device_type,browser,country,city,new_vs_returning,session_duration_sec,pages_visited,abandonment_reason
117,2024-12-03,CUST0117,Google Ads,referral,/about,No,No,No,No,0,Mobile,Firefox,US,West Michaelmouth,New Visitor,17,2,Bounced
118,2025-01-09,CUST0118,Twitter,referral,/collections,Yes,Yes,No,No,0,Desktop,Chrome,AU,Michaelmouth,New Visitor,315,5,Checkout Abandoned
119,2025-06-25,CUST0119,Instagram,referral,/products,No,No,No,No,0,Mobile,Edge,IN,Simmonsbury,Returning,23,2,Bounced
120,2024-11-17,CUST0120,Referral,organic,/products,No,No,No,No,0,Desktop,Edge,CA,Lewisfort,Returning,3,1,Bounced
121,2024-07-04,CUST0121,Email,referral,/about,Yes,No,No,No,0,Desktop,Safari,CA,North Timothy,Returning,60,5,Cart Not Initiated
122,2025-04-27,CUST0122,Pinterest,organic,/sale,Yes,Yes,No,No,0,Tablet,Safari,UK,Jonathanshire,Returning,11,9,Checkout Abandoned
123,2025-01-08,CUST0123,Instagram,email,/about,Yes,No,No,No,0,Mobile,Chrome,DE,Craigmouth,Returning,444,13,Cart Not Initiated
124,2024-10-01,CUST0124,Referral,social,/sale,Yes,Yes,Yes,Yes,134.74,Tablet,Opera,FR,Greenland,Returning,109,7,
125,2024-06-24,CUST0125,Twitter,organic,/collections,No,No,No,No,0,Tablet,Edge,IN,Georgestad,New Visitor,13,3,Bounced
126,2024-06-27,CUST0126,Facebook Ads,email,/about,Yes,No,No,No,0,Mobile,Chrome,AU,Craigbury,Returning,180,5,Cart Not Initiated
127,2024-09-20,CUST0127,Email,cpc,/about,Yes,No,No,No,0,Tablet,Opera,IN,Lake Samanthaland,New Visitor,273,6,Cart Not Initiated
128,2025-04-11,CUST0128,Pinterest,organic,/,Yes,Yes,No,No,0,Mobile,Safari,DE,Port Gloriaborough,Returning,11,6,Checkout Abandoned
129,2024-10-02,CUST0129,Organic Search,social,/about,Yes,Yes,Yes,No,0,Desktop,Chrome,UK,West Stephaniestad,Returning,430,7,Payment Failed
130,2024-07-30,CUST0130,Twitter,referral,/about,Yes,No,No,No,0,Mobile,Chrome,IN,Kurtport,Returning,306,11,Cart Not Initiated
131,2024-10-04,CUST0131,Google Ads,referral,/products,Yes,No,No,No,0,Mobile,Edge,DE,Jasonfort,Returning,219,13,Cart Not Initiated
132,2025-05-08,CUST0132,Email,referral,/about,Yes,No,No,No,0,Tablet,Firefox,IN,Susanland,Returning,499,14,Cart Not Initiated
133,2025-01-10,CUST0133,Organic Search,cpc,/products,Yes,Yes,Yes,Yes,60.77,Mobile,Opera,UK,Theresaberg,Returning,591,12,
134,2024-12-20,CUST0134,Email,social,/products,Yes,Yes,No,No,0,Mobile,Safari,JP,Sanchezmouth,Returning,416,10,Checkout Abandoned
135,2025-01-30,CUST0135,Google Ads,referral,/products,Yes,Yes,Yes,No,0,Tablet,Chrome,BR,Joshuaburgh,New Visitor,595,15,Payment Failed
136,2025-03-01,CUST0136,TikTok,cpc,/,Yes,Yes,No,No,0,Mobile,Firefox,AU,East Mathew,Returning,261,13,Checkout Abandoned
137,2024-11-29,CUST0137,Instagram,social,/collections,Yes,Yes,Yes,No,0,Mobile,Safari,AU,Weaverside,New Visitor,115,8,Payment Failed
138,2024-12-03,CUST0138,Google Ads,organic,/collections,Yes,No,No,No,0,Mobile,Chrome,DE,Rosetown,Returning,101,2,Cart Not Initiated
139,2025-04-29,CUST0139,Google Ads,organic,/,Yes,Yes,Yes,Yes,71.95,Mobile,Opera,CA,Lindseymouth,New Visitor,271,9,
140,2025-01-08,CUST0140,Direct,cpc,/products,Yes,No,No,No,0,Desktop,Safari,AU,Jonathanberg,Returning,584,11,Cart Not Initiated
141,2025-03-03,CUST0141,TikTok,organic,/,No,No,No,No,0,Tablet,Chrome,US,North Megan,New Visitor,21,1,Bounced
142,2024-06-12,CUST0142,Referral,email,/collections,Yes,No,No,No,0,Desktop,Chrome,JP,Lake Desireetown,Returning,194,13,Cart Not Initiated
143,2024-06-12,CUST0143,Instagram,organic,/sale,Yes,Yes,Yes,Yes,262.25,Desktop,Chrome,FR,West Jonathan,New Visitor,291,13,
144,2024-09-12,CUST0144,Google Ads,cpc,/sale,Yes,No,No,No,0,Mobile,Opera,US,North Briannaberg,Returning,321,12,Cart Not Initiated
145,2024-09-29,CUST0145,TikTok,referral,/collections,Yes,Yes,No,No,0,Tablet,Firefox,CA,Sandraborough,New Visitor,158,11,Checkout Abandoned
146,2024-07-19,CUST0146,Organic Search,social,/,No,No,No,No,0,Desktop,Chrome,AU,Morseville,New Visitor,20,1,Bounced
147,2025-05-18,CUST0147,Pinterest,cpc,/about,Yes,No,No,No,0,Tablet,Edge,MX,Heathershire,Returning,126,8,Cart Not Initiated
148,2024-12-09,CUST0148,Instagram,organic,/products,No,No,No,No,0,Mobile,Firefox,MX,New Dustinchester,New Visitor,7,1,Bounced
149,2024-12-07,CUST0149,Instagram,social,/,Yes,Yes,Yes,Yes,320.68,Desktop,Safari,UK,Irwinmouth,Returning,101,15,
150,2024-11-17,CUST0150,Pinterest,cpc,/about,Yes,Yes,No,No,0,Mobile,Opera,MX,South Alberthaven,Returning,150,6,Checkout Abandoned
151,2025-01-23,CUST0151,Email,organic,/products,No,No,No,No,0,Desktop,Edge,IN,East Lawrencemouth,New Visitor,12,2,Bounced
152,2024-09-23,CUST0152,Direct,email,/sale,Yes,No,No,No,0,Desktop,Edge,FR,New John,Returning,332,5,Cart Not Initiated
153,2025-02-10,CUST0153,Referral,cpc,/,Yes,No,No,No,0,Tablet,Chrome,JP,Lake Michele,Returning,523,5,Cart Not Initiated
154,2025-05-27,CUST0154,Google Ads,email,/products,Yes,Yes,Yes,No,0,Tablet,Chrome,MX,Glennview,New Visitor,93,7,Account Required
155,2025-03-29,CUST0155,Referral,email,/about,No,No,No,No,0,Tablet,Safari,BR,New Sara,Returning,13,2,Bounced
156,2024-06-30,CUST0156,Instagram,email,/,Yes,No,No,No,0,Desktop,Chrome,US,Hopkinsview,New Visitor,466,14,Cart Not Initiated
157,2024-12-16,CUST0157,Google Ads,cpc,/about,Yes,Yes,No,No,0,Tablet,Edge,UK,West Lauratown,Returning,236,7,Checkout Abandoned
158,2025-02-10,CUST0158,Direct,referral,/sale,No,No,No,No,0,Tablet,Safari,UK,North Julieland,Returning,26,3,Bounced
159,2024-11-09,CUST0159,Facebook Ads,cpc,/sale,Yes,Yes,No,No,0,Tablet,Edge,AU,West Kevinshire,Returning,31,3,Checkout Abandoned
160,2025-06-21,CUST0160,Instagram,organic,/sale,Yes,Yes,Yes,No,0,Tablet,Edge,FR,Kendrafort,Returning,43,14,High Shipping Cost
161,2024-10-16,CUST0161,Pinterest,cpc,/products,Yes,Yes,No,No,0,Tablet,Firefox,BR,Leetown,New Visitor,479,12,Checkout Abandoned
162,2025-03-04,CUST0162,Instagram,cpc,/collections,Yes,No,No,No,0,Mobile,Opera,IN,East Seth,Returning,517,4,Cart Not Initiated
163,2024-10-29,CUST0163,Direct,social,/about,Yes,No,No,No,0,Desktop,Chrome,FR,Clarkbury,New Visitor,128,5,Cart Not Initiated
164,2024-09-21,CUST0164,Organic Search,cpc,/products,Yes,No,No,No,0,Tablet,Opera,UK,South Meganburgh,Returning,44,7,Cart Not Initiated
165,2024-12-04,CUST0165,Referral,cpc,/products,No,No,No,No,0,Tablet,Safari,DE,East Lindsay,Returning,28,3,Bounced
166,2024-12-15,CUST0166,Direct,organic,/products,Yes,Yes,No,No,0,Mobile,Firefox,JP,Port Robert,Returning,223,9,Checkout Abandoned
167,2025-03-28,CUST0167,Twitter,cpc,/about,Yes,No,No,No,0,Mobile,Firefox,FR,Port Kimberlyton,New Visitor,581,8,Cart Not Initiated
168,2025-01-17,CUST0168,Organic Search,referral,/,No,No,No,No,0,Mobile,Opera,CA,Lake Elijah,New Visitor,13,1,Bounced
169,2024-09-05,CUST0169,Organic Search,social,/products,Yes,Yes,No,No,0,Desktop,Safari,IN,Port Nicholas,New Visitor,422,5,Checkout Abandoned
170,2025-01-13,CUST0170,Email,referral,/collections,Yes,Yes,No,No,0,Desktop,Edge,JP,Stevenland,Returning,191,8,Checkout Abandoned
171,2024-06-07,CUST0171,Organic Search,organic,/about,Yes,Yes,Yes,Yes,156.21,Mobile,Edge,DE,New Joshuafort,New Visitor,157,5,
172,2024-10-23,CUST0172,Twitter,social,/collections,Yes,Yes,No,No,0,Tablet,Firefox,UK,Diazberg,Returning,485,12,Checkout Abandoned
173,2025-06-01,CUST0173,Pinterest,social,/sale,Yes,Yes,Yes,Yes,281.21,Mobile,Edge,CA,Deanside,Returning,482,14,
174,2024-06-16,CUST0174,TikTok,social,/about,Yes,Yes,Yes,Yes,144.53,Desktop,Safari,BR,Pamelaport,New Visitor,42,11,
175,2024-09-13,CUST0175,Google Ads,social,/products,No,No,No,No,0,Mobile,Firefox,IN,Nancyside,Returning,17,1,Bounced
176,2024-11-14,CUST0176,Twitter,social,/about,No,No,No,No,0,Tablet,Opera,US,Lake Michaelfort,New Visitor,19,1,Bounced
177,2024-11-03,CUST0177,Twitter,social,/products,Yes,No,No,No,0,Mobile,Firefox,AU,Calvinside,Returning,301,13,Cart Not Initiated
178,2025-05-22,CUST0178,Referral,social,/products,Yes,No,No,No,0,Mobile,Safari,BR,Sharpview,New Visitor,391,4,Cart Not Initiated
179,2025-04-19,CUST0179,Facebook Ads,organic,/products,Yes,Yes,No,No,0,Mobile,Safari,JP,Marksfurt,New Visitor,437,14,Checkout Abandoned
180,2025-03-01,CUST0180,Direct,organic,/,Yes,Yes,Yes,No,0,Tablet,Opera,JP,Jonesmouth,Returning,63,15,No Reason
181,2025-06-01,CUST0181,Pinterest,email,/about,Yes,Yes,No,No,0,Tablet,Opera,JP,South John,Returning,110,2,Checkout Abandoned
182,2024-07-29,CUST0182,Instagram,referral,/,Yes,No,No,No,0,Tablet,Opera,DE,East Andre,Returning,231,10,Cart Not Initiated
183,2024-09-03,CUST0183,Direct,referral,/sale,No,No,No,No,0,Mobile,Edge,US,Markton,Returning,10,3,Bounced
