order_id,order_date,order_time,pizza_id,pizza_name,pizza_category,pizza_size,quantity,unit_price,total_price,ingredients,pizza_type
43,2024-12-09,21:39:17,PIZ0043,Spicy Italian,Supreme,Medium,1,12.02,12.02,"Cheese, Sauce, Toppings",Non-Veg
44,2025-01-06,17:10:48,PIZ0044,Cajun Chicken,Chicken,Large,2,18.32,36.64,"Cheese, Sauce, Toppings",Vegetarian
45,2024-08-04,22:53:39,PIZ0045,Spicy Italian,Supreme,Medium,4,12.72,50.88,"Cheese, Sauce, Toppings",Vegetarian
46,2024-11-21,12:08:11,PIZ0046,Mushroom & Olive,Vegetarian,Small,4,10.72,42.88,"Cheese, Sauce, Toppings",Vegetarian
47,2025-06-03,21:46:00,PIZ0047,Four Cheese,Cheese,Small,3,24.74,74.22,"Cheese, Sauce, Toppings",Vegetarian
48,2025-02-02,10:22:32,PIZ0048,Spicy Italian,Supreme,Medium,1,17.6,17.6,"Cheese, Sauce, Toppings",Vegetarian
49,2024-11-12,22:24:43,PIZ0049,The Meatlovers,Supreme,Large,2,15.08,30.16,"Cheese, Sauce, Toppings",Non-Veg
50,2024-03-21,16:40:49,PIZ0050,BBQ Chicken,Chicken,Large,5,14.6,73.0,"Cheese, Sauce, Toppings",Vegetarian
51,2025-05-07,19:35:08,PIZ0051,Mushroom & Olive,Vegetarian,Small,5,8.7,43.5,"Cheese, Sauce, Toppings",Vegetarian
52,2025-03-01,20:58:05,PIZ0052,The Meatlovers,Supreme,Large,3,10.62,31.86,"Cheese, Sauce, Toppings",Non-Veg
53,2025-06-17,18:20:26,PIZ0053,The Meatlovers,Supreme,Large,2,10.36,20.72,"Cheese, Sauce, Toppings",Non-Veg
54,2024-11-24,21:11:50,PIZ0054,The Meatlovers,Supreme,Large,4,17.79,71.16,"Cheese, Sauce, Toppings",Vegetarian
55,2024-10-05,17:29:24,PIZ0055,Spicy Italian,Supreme,Medium,1,21.68,21.68,"Cheese, Sauce, Toppings",Non-Veg
56,2024-09-21,18:31:22,PIZ0056,BBQ Chicken,Chicken,Large,1,24.45,24.45,"Cheese, Sauce, Toppings",Non-Veg
57,2025-03-05,22:05:23,PIZ0057,Spicy Italian,Supreme,Medium,1,24.39,24.39,"Cheese, Sauce, Toppings",Vegetarian
58,2024-01-17,15:22:59,PIZ0058,Truffle Mushroom,Supreme,Small,3,21.33,63.99,"Cheese, Sauce, Toppings",Vegetarian
59,2025-05-29,23:53:47,PIZ0059,Spicy Italian,Supreme,Medium,4,13.02,52.08,"Cheese, Sauce, Toppings",Vegetarian
60,2024-06-21,12:54:06,PIZ0060,Truffle Mushroom,Supreme,Small,4,8.85,35.4,"Cheese, Sauce, Toppings",Vegetarian
61,2024-02-07,15:04:03,PIZ0061,Mushroom & Olive,Vegetarian,Small,1,23.15,23.15,"Cheese, Sauce, Toppings",Non-Veg
62,2025-04-04,15:14:29,PIZ0062,Hawaiian,Classic,Large,5,22.3,111.5,"Cheese, Sauce, Toppings",Non-Veg
63,2024-01-21,18:06:26,PIZ0063,Vegetarian Supreme,Supreme,Medium,4,14.82,59.28,"Cheese, Sauce, Toppings",Non-Veg
64,2024-12-24,11:58:43,PIZ0064,Chicken Supreme,Chicken,Large,3,10.58,31.74,"Cheese, Sauce, Toppings",Vegetarian
65,2025-05-06,13:05:58,PIZ0065,Chicken Pesto,Chicken,Medium,3,11.95,35.85,"Cheese, Sauce, Toppings",Vegetarian
66,2025-02-06,23:45:43,PIZ0066,Margherita,Classic,Large,3,23.66,70.98,"Cheese, Sauce, Toppings",Non-Veg
67,2024-02-02,23:48:16,PIZ0067,Vegetarian Supreme,Supreme,Medium,1,20.61,20.61,"Cheese, Sauce, Toppings",Non-Veg
68,2024-06-27,22:07:59,PIZ0068,Margherita,Classic,Large,5,22.78,113.9,"Cheese, Sauce, Toppings",Vegetarian
69,2024-10-05,13:25:24,PIZ0069,BBQ Chicken,Chicken,Large,2,15.47,30.94,"Cheese, Sauce, Toppings",Vegetarian
70,2024-07-22,14:00:22,PIZ0070,Paneer Tikka,Veggie Special,Medium,4,9.77,39.08,"Cheese, Sauce, Toppings",Vegetarian
71,2024-07-31,15:37:08,PIZ0071,Spicy Italian,Supreme,Medium,3,21.57,64.71,"Cheese, Sauce, Toppings",Vegetarian
72,2024-06-29,11:53:46,PIZ0072,Mushroom & Olive,Vegetarian,Small,1,14.5,14.5,"Cheese, Sauce, Toppings",Vegetarian
73,2025-02-20,14:08:13,PIZ0073,Spicy Italian,Supreme,Medium,3,21.96,65.88,"Cheese, Sauce, Toppings",Non-Veg
74,2024-09-12,15:59:22,PIZ0074,Chicken Pesto,Chicken,Medium,3,17.31,51.93,"Cheese, Sauce, Toppings",Non-Veg
75,2024-06-03,16:30:26,PIZ0075,Hawaiian,Classic,Large,1,20.85,20.85,"Cheese, Sauce, Toppings",Non-Veg
76,2025-01-10,21:40:01,PIZ0076,Truffle Mushroom,Supreme,Small,4,15.33,61.32,"Cheese, Sauce, Toppings",Vegetarian
77,2024-05-08,13:36:37,PIZ0077,Vegetarian Supreme,Supreme,Medium,1,11.82,11.82,"Cheese, Sauce, Toppings",Vegetarian
78,2025-06-07,22:53:16,PIZ0078,Vegetarian Supreme,Supreme,Medium,5,23.22,116.1,"Cheese, Sauce, Toppings",Non-Veg
79,2025-05-26,15:23:12,PIZ0079,Cajun Chicken,Chicken,Large,5,12.12,60.6,"Cheese, Sauce, Toppings",Non-Veg
80,2024-12-19,15:26:56,PIZ0080,Four Cheese,Cheese,Small,2,10.27,20.54,"Cheese, Sauce, Toppings",Vegetarian
81,2024-11-30,22:50:32,PIZ0081,Spicy Italian,Supreme,Medium,5,16.54,82.7,"Cheese, Sauce, Toppings",Non-Veg
82,2024-05-09,22:16:07,PIZ0082,Hawaiian,Classic,Large,2,9.93,19.86,"Cheese, Sauce, Toppings",Vegetarian
83,2025-03-30,13:26:45,PIZ0083,Cajun Chicken,Chicken,Large,2,20.31,40.62,"Cheese, Sauce, Toppings",Vegetarian
84,2024-04-06,13:14:31,PIZ0084,Pepperoni Feast,Classic,Large,3,8.63,25.89,"Cheese, Sauce, Toppings",Non-Veg
85,2024-09-04,15:26:34,PIZ0085,The Meatlovers,Supreme,Large,1,23.81,23.81,"Cheese, Sauce, Toppings",Vegetarian
86,2025-06-17,22:57:01,PIZ0086,Chicken Supreme,Chicken,Large,3,11.13,33.39,"Cheese, Sauce, Toppings",Non-Veg
87,2025-06-28,22:48:23,PIZ0087,Mushroom & Olive,Vegetarian,Small,4,20.27,81.08,"Cheese, Sauce, Toppings",Vegetarian
88,2024-09-04,10:17:58,PIZ0088,Classic Pepperoni,Classic,Large,3,12.41,37.23,"Cheese, Sauce, Toppings",Non-Veg
89,2025-01-03,15:58:05,PIZ0089,Pepperoni Feast,Classic,Large,2,10.85,21.7,"Cheese, Sauce, Toppings",Non-Veg
90,2024-06-18,10:31:20,PIZ0090,Chicken Pesto,Chicken,Medium,2,12.7,25.4,"Cheese, Sauce, Toppings",Vegetarian
91,2024-02-16,16:32:08,PIZ0091,Mushroom & Olive,Vegetarian,Small,5,14.94,74.7,"Cheese, Sauce, Toppings",Vegetarian
92,2025-05-03,15:02:20,PIZ0092,Vegetarian Supreme,Supreme,Medium,1,20.61,20.61,"Cheese, Sauce, Toppings",Vegetarian
93,2025-04-15,11:27:33,PIZ0093,The Meatlovers,Supreme,Large,1,20.49,20.49,"Cheese, Sauce, Toppings",Vegetarian
94,2024-09-12,17:46:27,PIZ0094,Four Cheese,Cheese,Small,4,11.34,45.36,"Cheese, Sauce, Toppings",Vegetarian
95,2025-04-24,23:39:16,PIZ0095,Hawaiian,Classic,Large,5,17.65,88.25,"Cheese, Sauce, Toppings",Non-Veg
96,2024-09-16,19:30:17,PIZ0096,Margherita,Classic,Large,5,20.56,102.8,"Cheese, Sauce, Toppings",Vegetarian
97,2025-02-16,21:37:30,PIZ0097,Chicken Pesto,Chicken,Medium,5,23.57,117.85,"Cheese, Sauce, Toppings",Vegetarian
98,2024-06-21,10:21:54,PIZ0098,The Meatlovers,Supreme,Large,4,8.1,32.4,"Cheese, Sauce, Toppings",Non-Veg
99,2024-11-11,13:22:07,PIZ0099,Mushroom & Olive,Vegetarian,Small,5,19.83,99.15,"Cheese, Sauce, Toppings",Vegetarian
100,2025-04-27,22:06:43,PIZ0100,Chicken Supreme,Chicken,Large,5,8.95,44.75,"Cheese, Sauce, Toppings",Vegetarian
101,2025-06-15,21:23:37,PIZ0101,Chicken Pesto,Chicken,Medium,4,15.64,62.56,"Cheese, Sauce, Toppings",Vegetarian
102,2025-04-25,11:22:50,PIZ0102,Paneer Tikka,Veggie Special,Medium,2,19.44,38.88,"Cheese, Sauce, Toppings",Non-Veg
103,2024-04-12,22:24:46,PIZ0103,Vegetarian Supreme,Supreme,Medium,5,23.58,117.9,"Cheese, Sauce, Toppings",Vegetarian
104,2024-01-28,16:24:12,PIZ0104,Pepperoni Feast,Classic,Large,4,8.63,34.52,"Cheese, Sauce, Toppings",Vegetarian
105,2024-10-25,18:11:10,PIZ0105,Classic Pepperoni,Classic,Large,4,14.81,59.24,"Cheese, Sauce, Toppings",Non-Veg
106,2024-02-13,19:27:41,PIZ0106,Spicy Italian,Supreme,Medium,5,15.15,75.75,"Cheese, Sauce, Toppings",Vegetarian
107,2024-12-16,17:28:09,PIZ0107,Cajun Chicken,Chicken,Large,2,13.18,26.36,"Cheese, Sauce, Toppings",Vegetarian
108,2024-05-27,14:42:22,PIZ0108,Truffle Mushroom,Supreme,Small,1,10.06,10.06,"Cheese, Sauce, Toppings",Non-Veg
109,2025-06-19,10:24:01,PIZ0109,Mushroom & Olive,Vegetarian,Small,5,17.48,87.4,"Cheese, Sauce, Toppings",Vegetarian
110,2025-01-13,16:20:59,PIZ0110,Four Cheese,Cheese,Small,4,15.35,61.4,"Cheese, Sauce, Toppings",Non-Veg
111,2024-08-04,14:13:21,PIZ0111,The Meatlovers,Supreme,Large,1,17.48,17.48,"Cheese, Sauce, Toppings",Non-Veg
112,2024-07-23,23:57:12,PIZ0112,Spicy Italian,Supreme,Medium,1,12.48,12.48,"Cheese, Sauce, Toppings",Non-Veg
113,2024-03-18,20:58:49,PIZ0113,Four Cheese,Cheese,Small,5,17.27,86.35,"Cheese, Sauce, Toppings",Non-Veg
114,2025-03-17,10:20:39,PIZ0114,Pepperoni Feast,Classic,Large,3,21.07,63.21,"Cheese, Sauce, Toppings",Non-Veg
115,2024-09-13,16:59:06,PIZ0115,Chicken Supreme,Chicken,Large,4,9.4,37.6,"Cheese, Sauce, Toppings",Vegetarian
116,2024-12-07,21:11:18,PIZ0116,BBQ Chicken,Chicken,Large,4,9.71,38.84,"Cheese, Sauce, Toppings",Non-Veg
117,2024-10-27,16:38:18,PIZ0117,The Meatlovers,Supreme,Large,4,13.33,53.32,"Cheese, Sauce, Toppings",Vegetarian
118,2024-06-15,21:26:02,PIZ0118,Four Cheese,Cheese,Small,1,20.18,20.18,"Cheese, Sauce, Toppings",Non-Veg
119,2024-12-03,22:33:49,PIZ0119,Paneer Tikka,Veggie Special,Medium,3,23.91,71.73,"Cheese, Sauce, Toppings",Vegetarian
120,2024-04-24,17:44:12,PIZ0120,Spicy Italian,Supreme,Medium,1,21.31,21.31,"Cheese, Sauce, Toppings",Non-Veg
121,2024-06-03,20:58:14,PIZ0121,Vegetarian Supreme,Supreme,Medium,5,12.45,62.25,"Cheese, Sauce, Toppings",Non-Veg
122,2025-01-27,20:53:52,PIZ0122,Spicy Italian,Supreme,Medium,1,22.82,22.82,"Cheese, Sauce, Toppings",Non-Veg
123,2024-07-30,19:47:23,PIZ0123,Hawaiian,Classic,Large,1,24.19,24.19,"Cheese, Sauce, Toppings",Vegetarian
124,2024-07-16,22:37:03,PIZ0124,Pepperoni Feast,Classic,Large,2,11.61,23.22,"Cheese, Sauce, Toppings",Vegetarian
125,2025-02-05,12:41:10,PIZ0125,Hawaiian,Classic,Large,2,15.03,30.06,"Cheese, Sauce, Toppings",Vegetarian
126,2024-02-24,15:58:11,PIZ0126,Margherita,Classic,Large,1,22.51,22.51,"Cheese, Sauce, Toppings",Vegetarian
127,2025-02-07,21:42:58,PIZ0127,Vegetarian Supreme,Supreme,Medium,5,14.58,72.9,"Cheese, Sauce, Toppings",Non-Veg
128,2024-09-22,22:42:06,PIZ0128,Classic Pepperoni,Classic,Large,1,22.73,22.73,"Cheese, Sauce, Toppings",Vegetarian
129,2024-10-26,12:44:51,PIZ0129,Pepperoni Feast,Classic,Large,5,11.3,56.5,"Cheese, Sauce, Toppings",Vegetarian
130,2024-04-07,11:30:18,PIZ0130,Pepperoni Feast,Classic,Large,2,13.47,26.94,"Cheese, Sauce, Toppings",Non-Veg
131,2025-03-26,15:52:40,PIZ0131,Cajun Chicken,Chicken,Large,5,9.4,47.0,"Cheese, Sauce, Toppings",Non-Veg
132,2024-08-01,10:16:32,PIZ0132,Paneer Tikka,Veggie Special,Medium,4,24.93,99.72,"Cheese, Sauce, Toppings",Non-Veg
133,2025-01-13,18:32:23,PIZ0133,The Meatlovers,Supreme,Large,4,19.11,76.44,"Cheese, Sauce, Toppings",Vegetarian
134,2025-04-10,11:25:02,PIZ0134,Classic Pepperoni,Classic,Large,4,12.16,48.64,"Cheese, Sauce, Toppings",Vegetarian
135,2025-04-21,10:20:02,PIZ0135,Truffle Mushroom,Supreme,Small,4,19.14,76.56,"Cheese, Sauce, Toppings",Non-Veg
136,2024-03-14,20:58:05,PIZ0136,Four Cheese,Cheese,Small,4,10.09,40.36,"Cheese, Sauce, Toppings",Vegetarian
137,2025-04-15,10:41:39,PIZ0137,Margherita,Classic,Large,3,11.2,33.6,"Cheese, Sauce, Toppings",Vegetarian
138,2024-02-08,15:26:04,PIZ0138,Mushroom & Olive,Vegetarian,Small,2,16.52,33.04,"Cheese, Sauce, Toppings",Vegetarian
139,2025-05-18,19:33:26,PIZ0139,BBQ Chicken,Chicken,Large,3,13.73,41.19,"Cheese, Sauce, Toppings",Vegetarian
140,2024-02-04,19:28:37,PIZ0140,The Meatlovers,Supreme,Large,1,9.55,9.55,"Cheese, Sauce, Toppings",Vegetarian
141,2024-07-03,10:30:32,PIZ0141,Mushroom & Olive,Vegetarian,Small,1,14.56,14.56,"Cheese, Sauce, Toppings",Non-Veg
142,2024-11-14,23:28:48,PIZ0142,Chicken Pesto,Chicken,Medium,5,19.35,96.75,"Cheese, Sauce, Toppings",Non-Veg
143,2025-01-09,18:41:11,PIZ0143,Truffle Mushroom,Supreme,Small,2,17.42,34.84,"Cheese, Sauce, Toppings",Vegetarian
144,2024-07-24,16:34:40,PIZ0144,Classic Pepperoni,Classic,Large,3,18.81,56.43,"Cheese, Sauce, Toppings",Non-Veg
145,2024-05-29,12:27:38,PIZ0145,Truffle Mushroom,Supreme,Small,5,20.53,102.65,"Cheese, Sauce, Toppings",Vegetarian
146,2025-04-18,17:05:35,PIZ0146,BBQ Chicken,Chicken,Large,2,10.59,21.18,"Cheese, Sauce, Toppings",Vegetarian
147,2025-06-21,17:52:22,PIZ0147,Truffle Mushroom,Supreme,Small,5,21.23,106.15,"Cheese, Sauce, Toppings",Non-Veg
148,2024-02-05,17:13:58,PIZ0148,Chicken Pesto,Chicken,Medium,4,17.47,69.88,"Cheese, Sauce, Toppings",Vegetarian
149,2025-06-06,15:49:18,PIZ0149,Truffle Mushroom,Supreme,Small,5,15.13,75.65,"Cheese, Sauce, Toppings",Non-Veg
150,2024-02-09,10:04:08,PIZ0150,BBQ Chicken,Chicken,Large,3,14.62,43.86,"Cheese, Sauce, Toppings",Non-Veg
151,2024-05-24,23:16:14,PIZ0151,Chicken Pesto,Chicken,Medium,4,22.75,91.0,"Cheese, Sauce, Toppings",Non-Veg
152,2024-09-18,22:09:44,PIZ0152,Four Cheese,Cheese,Small,5,10.34,51.7,"Cheese, Sauce, Toppings",Non-Veg
153,2024-02-29,10:40:23,PIZ0153,Pepperoni Feast,Classic,Large,5,16.7,83.5,"Cheese, Sauce, Toppings",Non-Veg
154,2024-01-07,22:41:14,PIZ0154,Truffle Mushroom,Supreme,Small,1,18.53,18.53,"Cheese, Sauce, Toppings",Non-Veg
155,2025-03-21,22:33:02,PIZ0155,Margherita,Classic,Large,4,18.6,74.4,"Cheese, Sauce, Toppings",Non-Veg
156,2024-05-10,11:19:26,PIZ0156,Chicken Pesto,Chicken,Medium,1,19.07,19.07,"Cheese, Sauce, Toppings",Non-Veg
157,2024-12-12,16:57:57,PIZ0157,Four Cheese,Cheese,Small,4,12.2,48.8,"Cheese, Sauce, Toppings",Vegetarian
158,2024-02-12,15:19:07,PIZ0158,Vegetarian Supreme,Supreme,Medium,5,9.83,49.15,"Cheese, Sauce, Toppings",Non-Veg
159,2024-07-20,11:36:42,PIZ0159,Chicken Supreme,Chicken,Large,1,15.52,15.52,"Cheese, Sauce, Toppings",Vegetarian
160,2024-01-14,12:06:01,PIZ0160,Cajun Chicken,Chicken,Large,5,10.35,51.75,"Cheese, Sauce, Toppings",Non-Veg
161,2024-05-15,16:51:06,PIZ0161,Chicken Pesto,Chicken,Medium,2,9.25,18.5,"Cheese, Sauce, Toppings",Vegetarian
162,2024-04-06,20:31:50,PIZ0162,BBQ Chicken,Chicken,Large,4,24.08,96.32,"Cheese, Sauce, Toppings",Vegetarian
163,2024-10-28,21:20:22,PIZ0163,Chicken Pesto,Chicken,Medium,1,10.4,10.4,"Cheese, Sauce, Toppings",Vegetarian
164,2024-09-22,12:37:17,PIZ0164,Cajun Chicken,Chicken,Large,1,12.75,12.75,"Cheese, Sauce, Toppings",Non-Veg
165,2024-04-13,22:52:08,PIZ0165,The Meatlovers,Supreme,Large,5,11.92,59.6,"Cheese, Sauce, Toppings",Vegetarian
166,2024-09-17,19:41:00,PIZ0166,Chicken Supreme,Chicken,Large,4,20.13,80.52,"Cheese, Sauce, Toppings",Vegetarian
167,2025-02-27,14:55:55,PIZ0167,Truffle Mushroom,Supreme,Small,1,18.41,18.41,"Cheese, Sauce, Toppings",Non-Veg
168,2024-08-16,23:25:57,PIZ0168,Spicy Italian,Supreme,Medium,1,11.1,11.1,"Cheese, Sauce, Toppings",Non-Veg
169,2024-09-20,13:59:09,PIZ0169,Truffle Mushroom,Supreme,Small,2,24.85,49.7,"Cheese, Sauce, Toppings",Non-Veg
170,2024-10-17,23:57:19,PIZ0170,Vegetarian Supreme,Supreme,Medium,5,9.62,48.1,"Cheese, Sauce, Toppings",Non-Veg
171,2024-06-26,11:23:21,PIZ0171,Vegetarian Supreme,Supreme,Medium,4,21.08,84.32,"Cheese, Sauce, Toppings",Vegetarian
172,2025-03-02,22:13:48,PIZ0172,The Meatlovers,Supreme,Large,1,22.95,22.95,"Cheese, Sauce, Toppings",Vegetarian
173,2025-01-22,13:37:14,PIZ0173,Classic Pepperoni,Classic,Large,5,10.44,52.2,"Cheese, Sauce, Toppings",Vegetarian
174,2024-01-03,22:33:56,PIZ0174,BBQ Chicken,Chicken,Large,2,20.53,41.06,"Cheese, Sauce, Toppings",Vegetarian
175,2024-09-20,21:21:06,PIZ0175,The Meatlovers,Supreme,Large,4,8.08,32.32,"Cheese, Sauce, Toppings",Vegetarian
176,2025-05-29,14:01:51,PIZ0176,Vegetarian Supreme,Supreme,Medium,3,17.41,52.23,"Cheese, Sauce, Toppings",Vegetarian
177,2024-03-05,21:34:41,PIZ0177,Truffle Mushroom,Supreme,Small,3,13.28,39.84,"Cheese, Sauce, Toppings",Vegetarian
178,2025-03-14,14:18:37,PIZ0178,Hawaiian,Classic,Large,5,9.8,49.0,"Cheese, Sauce, Toppings",Non-Veg
179,2024-01-29,10:54:44,PIZ0179,Mushroom & Olive,Vegetarian,Small,5,22.0,110.0,"Cheese, Sauce, Toppings",Non-Veg
180,2024-07-09,16:24:57,PIZ0180,Four Cheese,Cheese,Small,1,11.51,11.51,"Cheese, Sauce, Toppings",Vegetarian
181,2024-01-22,22:46:46,PIZ0181,Four Cheese,Cheese,Small,1,13.68,13.68,"Cheese, Sauce, Toppings",Vegetarian
182,2024-04-10,14:57:41,PIZ0182,Chicken Supreme,Chicken,Large,5,17.28,86.4,"Cheese, Sauce, Toppings",Non-Veg
183,2024-09-13,13:27:47,PIZ0183,BBQ Chicken,Chicken,Large,4,24.58,98.32,"Cheese, Sauce, Toppings",Vegetarian
184,2025-04-02,20:53:02,PIZ0184,Paneer Tikka,Veggie Special,Medium,1,9.61,9.61,"Cheese, Sauce, Toppings",Non-Veg
185,2024-04-07,19:57:59,PIZ0185,Margherita,Classic,Large,3,8.09,24.27,"Cheese, Sauce, Toppings",Vegetarian
186,2024-03-26,22:18:13,PIZ0186,Chicken Pesto,Chicken,Medium,5,11.88,59.4,"Cheese, Sauce, Toppings",Vegetarian
187,2024-05-30,20:21:38,PIZ0187,Cajun Chicken,Chicken,Large,3,15.75,47.25,"Cheese, Sauce, Toppings",Vegetarian
188,2024-11-19,10:50:25,PIZ0188,The Meatlovers,Supreme,Large,4,20.43,81.72,"Cheese, Sauce, Toppings",Vegetarian
189,2024-05-25,18:59:48,PIZ0189,Cajun Chicken,Chicken,Large,4,24.12,96.48,"Cheese, Sauce, Toppings",Non-Veg
190,2025-01-03,10:25:19,PIZ0190,Vegetarian Supreme,Supreme,Medium,1,21.39,21.39,"Cheese, Sauce, Toppings",Non-Veg
191,2025-03-07,12:32:36,PIZ0191,Mushroom & Olive,Vegetarian,Small,3,21.98,65.94,"Cheese, Sauce, Toppings",Vegetarian
192,2024-01-01,23:07:47,PIZ0192,Cajun Chicken,Chicken,Large,2,24.96,49.92,"Cheese, Sauce, Toppings",Non-Veg
