employee_id,age,gender,marital_status,department,job_role,education,education_field,distance_from_km,business_travel,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating,overtime,num_companies_worked,years_at_company,years_in_current_role,years_since_last_promotion,total_working_years,monthly_income,salary_slab,attrition,attrition_label,over_time_bin
24,36,Male,Married,R&D,Junior Associate,Bachelors,Life Sciences,26,Non-Travel,1,3,1,4,4,Yes,7,19,3,0,2,44826.2,Very High,No,Staying,Yes
25,44,Female,Divorced,Finance,Executive,Bachelors,Medical,67,Travel Frequently,3,2,3,4,1,No,1,2,2,2,12,115638.66,Very High,No,Staying,No
26,31,Male,Married,Sales,Specialist,Bachelors,Other,6,Non-Travel,4,4,4,2,4,Yes,7,15,3,8,12,96876.59,Low,No,Staying,Yes
27,43,Female,Divorced,Finance,Manager,Masters,Technical Degree,53,Travel Frequently,3,3,4,1,2,No,8,27,3,4,9,146841.3,High,No,Staying,No
28,40,Other,Married,Technology,Analyst,Bachelors,Life Sciences,75,Travel Frequently,1,2,1,3,3,No,3,5,2,5,31,33398.01,Very High,Yes,Leaving,No
29,22,Male,Married,Human Resources,Executive,Masters,Business Management,22,Travel Rarely,3,2,1,2,4,No,4,1,1,1,16,63749.25,Low,No,Staying,No
30,58,Female,Married,Finance,Director,High School,Medical,44,Travel Rarely,2,1,4,2,1,No,7,9,9,1,4,64390.27,High,Yes,Leaving,No
31,41,Female,Single,Human Resources,Lead,Masters,Marketing,5,Travel Frequently,1,3,1,4,3,Yes,7,9,9,1,34,142193.56,High,No,Staying,No
32,36,Male,Single,R&D,Director,Bachelors,Technical Degree,2,Travel Frequently,4,2,2,1,3,Yes,5,3,1,1,11,42983.21,Low,No,Staying,No
33,51,Male,Married,Marketing,VP,PhD,Business Management,54,Non-Travel,4,4,3,2,3,Yes,0,26,5,8,31,68768.45,High,No,Staying,No
34,47,Other,Single,R&D,Executive,Masters,Marketing,80,Non-Travel,4,4,3,1,1,Yes,5,19,14,8,40,96934.65,Low,No,Staying,No
35,59,Male,Divorced,Finance,Analyst,Bachelors,Other,22,Travel Frequently,4,4,4,1,3,Yes,7,2,2,2,8,33940.05,High,No,Staying,Yes
36,35,Male,Single,Human Resources,Lead,High School,Other,25,Travel Frequently,3,2,3,4,1,Yes,8,22,6,3,18,82671.81,Low,No,Staying,No
37,47,Male,Divorced,Operations,VP,Bachelors,Human Resources,47,Travel Frequently,1,2,2,2,3,No,0,5,5,5,7,147206.95,High,Yes,Leaving,No
38,37,Other,Married,Marketing,Director,High School,Other,79,Non-Travel,3,3,2,1,4,Yes,1,20,2,8,7,117244.11,High,Yes,Leaving,No
39,39,Female,Married,Operations,Lead,Associate,Business Management,63,Travel Frequently,3,1,4,4,3,No,0,13,4,3,8,117344.24,Medium,No,Staying,No
40,42,Male,Divorced,R&D,Director,PhD,Human Resources,4,Travel Rarely,2,1,4,2,2,Yes,2,19,12,4,18,137495.17,Low,No,Staying,No
41,55,Female,Single,Human Resources,Manager,Masters,Marketing,37,Non-Travel,4,2,2,1,3,No,5,22,0,4,19,94128.96,Very High,No,Staying,No
42,39,Other,Divorced,Marketing,Senior Analyst,Masters,Life Sciences,16,Travel Frequently,1,4,3,4,3,Yes,0,1,1,1,24,99159.57,Low,No,Staying,Yes
43,57,Female,Married,Legal,Lead,Masters,Medical,5,Travel Rarely,4,4,4,3,3,No,0,14,2,1,19,143802.12,Low,No,Staying,No
44,35,Female,Married,Marketing,Specialist,Bachelors,Other,4,Travel Frequently,4,3,3,1,2,Yes,2,30,8,3,5,144449.75,Very High,No,Staying,Yes
45,44,Male,Divorced,Sales,Senior Analyst,Masters,Business Management,45,Travel Frequently,3,4,3,2,4,No,6,0,0,0,21,132038.3,High,Yes,Leaving,Yes
46,58,Female,Married,R&D,Senior Analyst,PhD,Marketing,18,Travel Frequently,1,3,4,2,1,No,0,30,0,6,28,123818.1,High,No,Staying,No
47,44,Other,Married,Marketing,Specialist,Bachelors,Technical Degree,28,Non-Travel,4,2,4,2,4,No,0,4,4,4,15,64110.2,Medium,No,Staying,No
48,47,Other,Single,Technology,Manager,Bachelors,Technical Degree,33,Non-Travel,1,3,1,3,4,Yes,5,26,3,6,36,136796.07,Low,No,Staying,No
49,33,Male,Married,Operations,Director,High School,Technical Degree,30,Non-Travel,1,3,1,1,2,Yes,6,20,14,2,19,102611.33,Low,No,Staying,No
50,46,Other,Married,Finance,Analyst,Masters,Marketing,4,Travel Frequently,1,4,4,2,4,No,6,7,7,4,15,49860.13,High,No,Staying,No
51,54,Other,Single,Sales,Manager,Associate,Business Management,67,Travel Rarely,1,1,2,3,1,Yes,6,9,9,8,22,50361.69,High,No,Staying,No
52,52,Other,Single,Sales,Analyst,Bachelors,Business Management,67,Travel Rarely,1,4,4,4,4,Yes,6,7,7,0,29,134199.86,Medium,No,Staying,No
53,26,Other,Divorced,Legal,Manager,PhD,Other,11,Travel Frequently,2,4,2,1,1,Yes,7,5,5,5,20,89600.72,Very High,No,Staying,No
54,33,Other,Divorced,Marketing,Specialist,Bachelors,Business Management,57,Non-Travel,2,1,2,4,2,No,8,25,14,7,2,123514.51,Medium,Yes,Leaving,Yes
55,28,Other,Divorced,Legal,Analyst,Masters,Marketing,15,Non-Travel,1,4,2,4,3,Yes,3,29,9,4,12,42806.87,High,No,Staying,Yes
56,35,Female,Married,Marketing,VP,PhD,Human Resources,13,Non-Travel,1,1,3,1,4,Yes,3,30,5,7,12,80457.01,High,No,Staying,No
57,25,Female,Single,Technology,Executive,PhD,Technical Degree,58,Non-Travel,1,3,1,2,2,Yes,4,28,7,8,29,135025.24,Very High,No,Staying,No
58,56,Female,Divorced,R&D,Executive,Bachelors,Medical,80,Travel Rarely,3,2,3,1,3,No,7,27,13,5,31,90910.05,Medium,No,Staying,Yes
59,46,Male,Married,R&D,Manager,High School,Life Sciences,45,Non-Travel,2,2,3,1,4,No,5,19,14,4,9,122897.05,Low,No,Staying,No
60,34,Female,Divorced,Human Resources,Analyst,Masters,Other,73,Travel Rarely,2,3,2,1,1,No,8,7,7,6,33,88995.85,High,No,Staying,No
61,59,Other,Married,Legal,VP,Associate,Other,42,Travel Frequently,3,2,3,2,4,Yes,5,8,8,3,3,33911.64,Medium,No,Staying,Yes
62,39,Other,Divorced,R&D,VP,Bachelors,Other,19,Travel Frequently,1,4,2,2,2,Yes,8,1,1,0,19,108005.71,Low,Yes,Leaving,Yes
63,44,Male,Married,Legal,Executive,High School,Medical,15,Non-Travel,2,2,1,3,2,No,1,19,9,2,6,69237.21,High,No,Staying,No
64,45,Other,Married,Human Resources,Specialist,Bachelors,Other,65,Travel Frequently,2,1,2,1,1,No,1,3,3,3,17,119922.07,Low,No,Staying,No
65,54,Male,Married,R&D,Director,Masters,Life Sciences,58,Travel Frequently,2,2,2,2,2,Yes,6,6,0,6,4,118687.5,Low,No,Staying,No
66,36,Female,Divorced,R&D,VP,Associate,Marketing,56,Travel Frequently,1,3,1,2,2,Yes,1,5,5,0,27,81454.54,Low,No,Staying,Yes
67,53,Female,Married,Marketing,Executive,Associate,Technical Degree,22,Travel Frequently,3,1,1,4,1,Yes,8,9,0,5,23,137299.38,Low,No,Staying,No
68,56,Male,Married,Human Resources,Associate,Bachelors,Life Sciences,53,Non-Travel,1,3,4,1,4,Yes,1,7,1,5,17,79103.06,High,No,Staying,No
69,23,Male,Married,Legal,Specialist,High School,Marketing,30,Non-Travel,3,1,2,1,3,No,1,9,6,1,27,141695.51,High,No,Staying,No
70,53,Male,Single,Marketing,Lead,PhD,Technical Degree,9,Travel Frequently,3,3,4,2,2,No,3,11,4,3,33,141199.27,Medium,No,Staying,Yes
71,26,Female,Single,Sales,Director,High School,Marketing,43,Non-Travel,2,4,2,3,1,Yes,3,15,11,1,2,56836.09,High,No,Staying,No
72,45,Female,Divorced,Operations,Specialist,Associate,Medical,76,Non-Travel,3,4,2,3,4,Yes,4,4,2,4,27,137063.24,Very High,No,Staying,No
73,47,Female,Married,Sales,Associate,Masters,Human Resources,58,Non-Travel,2,4,1,1,1,No,4,3,1,3,12,113875.22,High,No,Staying,No
74,55,Male,Divorced,R&D,Specialist,PhD,Business Management,6,Non-Travel,1,4,1,3,4,Yes,2,17,5,6,40,124844.56,Very High,No,Staying,Yes
75,46,Other,Single,Marketing,Senior Analyst,Bachelors,Business Management,35,Travel Frequently,2,2,1,4,1,Yes,8,19,13,6,10,33113.37,Medium,No,Staying,No
76,27,Female,Married,Finance,Manager,High School,Other,14,Travel Rarely,3,1,2,4,2,No,8,28,12,1,37,100028.77,Medium,No,Staying,Yes
77,41,Female,Divorced,Human Resources,Lead,Bachelors,Human Resources,27,Travel Frequently,3,4,2,1,4,Yes,7,20,8,7,11,107351.87,Very High,No,Staying,No
78,35,Male,Divorced,Legal,Specialist,High School,Marketing,74,Travel Rarely,2,3,2,2,3,No,6,10,0,2,20,110893.77,High,Yes,Leaving,No
79,22,Other,Married,Marketing,Associate,Associate,Other,42,Non-Travel,2,3,1,3,3,No,7,10,2,8,40,64397.99,Low,No,Staying,Yes
80,59,Female,Single,Human Resources,Specialist,Associate,Life Sciences,43,Travel Rarely,3,3,3,1,1,Yes,5,13,12,5,7,79710.63,Low,No,Staying,Yes
81,48,Female,Divorced,Technology,Associate,PhD,Medical,10,Travel Frequently,2,1,2,2,2,No,8,30,4,6,14,143907.62,Very High,No,Staying,No
82,42,Female,Single,Human Resources,Executive,Associate,Other,10,Travel Rarely,4,3,3,2,3,Yes,0,13,8,5,0,77177.23,Low,No,Staying,Yes
83,22,Male,Married,R&D,Executive,PhD,Medical,70,Travel Frequently,3,3,2,3,2,Yes,3,10,8,2,40,50833.94,Medium,No,Staying,No
84,49,Other,Divorced,Technology,Specialist,Bachelors,Medical,21,Travel Frequently,4,1,2,3,4,No,0,9,1,7,33,58064.65,Very High,No,Staying,Yes
85,22,Male,Married,Technology,Specialist,High School,Technical Degree,71,Non-Travel,4,3,4,2,4,No,4,1,1,1,22,40651.89,Medium,No,Staying,Yes
86,50,Male,Married,Operations,Executive,Associate,Life Sciences,1,Travel Frequently,3,3,3,2,2,No,3,1,1,1,16,103762.16,High,No,Staying,No
87,31,Male,Single,Finance,Senior Analyst,Masters,Other,3,Travel Rarely,3,4,4,4,4,Yes,8,25,3,1,24,143107.75,Medium,No,Staying,Yes
88,42,Female,Divorced,Legal,Director,High School,Technical Degree,1,Non-Travel,2,1,3,2,2,Yes,0,3,3,1,37,47951.87,High,No,Staying,No
89,32,Female,Divorced,Operations,Analyst,PhD,Other,80,Travel Rarely,4,1,1,2,2,Yes,8,1,1,1,14,44569.17,Very High,No,Staying,No
90,35,Male,Divorced,Sales,Junior Associate,Associate,Technical Degree,53,Travel Rarely,1,2,1,2,2,Yes,3,6,6,3,5,140993.11,Low,No,Staying,Yes
91,48,Male,Married,R&D,Specialist,Bachelors,Human Resources,15,Travel Frequently,1,3,3,3,4,Yes,8,12,9,1,4,45062.19,Low,No,Staying,Yes
92,47,Male,Divorced,Operations,Manager,PhD,Medical,50,Travel Rarely,2,4,3,1,3,Yes,0,11,2,0,23,31803.81,High,No,Staying,No
93,52,Male,Single,R&D,Director,Bachelors,Marketing,17,Travel Rarely,3,3,4,3,3,Yes,3,22,0,4,17,115882.43,Very High,No,Staying,Yes
94,28,Male,Single,Sales,Director,Associate,Medical,52,Travel Frequently,4,3,4,1,4,No,6,30,0,4,6,98367.2,Very High,No,Staying,No
95,42,Other,Divorced,Human Resources,Senior Analyst,High School,Marketing,54,Non-Travel,3,3,3,4,4,No,6,16,1,1,28,136357.49,Very High,No,Staying,No
96,22,Other,Single,Sales,Executive,Associate,Other,15,Travel Frequently,4,4,1,1,1,No,3,19,5,7,19,42010.1,Low,Yes,Leaving,Yes
97,54,Female,Divorced,Sales,Specialist,Bachelors,Human Resources,57,Travel Frequently,2,2,2,1,1,No,3,17,1,4,13,127771.46,Low,No,Staying,No
98,28,Female,Single,Human Resources,Analyst,Associate,Life Sciences,45,Travel Frequently,3,4,3,1,4,No,3,14,7,6,9,103775.05,High,No,Staying,No
99,37,Male,Married,Finance,Director,Masters,Technical Degree,56,Non-Travel,4,3,4,3,3,No,7,27,13,1,10,63874.47,High,No,Staying,No
100,51,Male,Divorced,Marketing,Executive,Bachelors,Medical,2,Non-Travel,3,3,1,4,1,Yes,1,22,2,5,36,45697.89,Medium,Yes,Leaving,No
101,44,Female,Single,Finance,Specialist,High School,Other,39,Travel Rarely,3,2,2,3,2,Yes,5,8,8,2,27,148767.3,Medium,Yes,Leaving,Yes
102,39,Other,Divorced,Sales,Specialist,High School,Business Management,32,Non-Travel,1,1,3,1,1,No,6,30,2,8,32,74472.96,High,No,Staying,No
103,28,Male,Divorced,Finance,Executive,PhD,Other,44,Non-Travel,2,1,3,2,3,No,1,26,13,5,17,39810.77,High,Yes,Leaving,No
104,35,Female,Married,Technology,Executive,PhD,Medical,55,Travel Rarely,4,3,3,4,1,Yes,8,29,1,8,29,126670.47,Low,No,Staying,No
105,52,Male,Single,Operations,Specialist,PhD,Medical,66,Travel Frequently,4,4,2,4,1,No,1,20,1,0,37,56064.71,Medium,Yes,Leaving,No
106,54,Other,Married,Legal,Lead,PhD,Medical,75,Travel Rarely,4,2,4,4,1,Yes,6,13,1,5,8,120999.42,Medium,Yes,Leaving,Yes
107,47,Male,Divorced,Operations,Analyst,Associate,Marketing,21,Travel Rarely,3,3,1,1,1,Yes,5,23,12,7,2,50886.91,High,No,Staying,No
108,50,Male,Married,Sales,Analyst,Masters,Medical,10,Travel Frequently,4,2,4,4,2,No,8,24,5,7,26,144563.65,Medium,No,Staying,No
109,35,Female,Divorced,Sales,Lead,High School,Technical Degree,79,Travel Frequently,2,1,2,4,4,No,5,6,6,6,37,129303.09,Very High,No,Staying,No
110,40,Other,Married,Marketing,Analyst,Masters,Technical Degree,43,Travel Frequently,2,2,1,4,2,No,7,20,2,1,33,148387.61,Low,No,Staying,No
111,52,Other,Married,Operations,Manager,Masters,Marketing,53,Non-Travel,4,4,3,2,2,Yes,8,27,12,6,39,34004.6,Low,No,Staying,No
112,50,Female,Divorced,Technology,Director,Bachelors,Business Management,2,Non-Travel,3,3,4,1,2,No,1,14,8,1,18,66953.77,Very High,No,Staying,No
113,41,Other,Married,Marketing,Specialist,PhD,Business Management,35,Non-Travel,4,4,4,3,3,Yes,8,14,12,5,21,137104.92,Medium,Yes,Leaving,No
114,59,Female,Divorced,Marketing,Executive,PhD,Life Sciences,56,Travel Rarely,2,3,2,1,2,No,6,9,9,3,26,59140.32,Very High,Yes,Leaving,Yes
115,60,Other,Married,Operations,Analyst,PhD,Business Management,68,Travel Frequently,2,4,1,1,1,Yes,5,11,1,4,21,62598.5,Low,No,Staying,No
116,30,Male,Single,Legal,Lead,Associate,Other,74,Travel Frequently,1,3,4,3,1,Yes,6,12,6,4,7,43077.01,Low,No,Staying,No
117,60,Male,Divorced,Technology,Analyst,Masters,Other,67,Travel Rarely,1,2,2,4,4,Yes,5,25,12,7,7,106540.83,Very High,No,Staying,Yes
118,42,Female,Divorced,R&D,Lead,Bachelors,Human Resources,12,Travel Frequently,3,1,2,3,2,Yes,4,26,1,5,12,147696.38,Very High,No,Staying,No
119,22,Other,Single,Operations,Specialist,PhD,Medical,60,Travel Frequently,2,1,4,4,2,No,0,14,6,1,12,42996.53,Low,No,Staying,No
120,26,Male,Divorced,R&D,Executive,PhD,Marketing,64,Travel Frequently,4,4,2,4,2,No,6,2,2,2,23,38208.15,Medium,No,Staying,No
121,50,Other,Married,Sales,Senior Analyst,High School,Other,38,Non-Travel,1,1,1,3,3,Yes,5,29,15,6,20,82309.89,Low,No,Staying,Yes
122,49,Male,Divorced,Human Resources,Analyst,Masters,Business Management,4,Non-Travel,4,3,1,2,3,Yes,7,23,0,3,1,101081.18,Low,No,Staying,No
123,48,Male,Divorced,Marketing,Specialist,Associate,Other,21,Travel Rarely,4,1,2,1,2,Yes,5,21,14,6,36,147115.94,Very High,No,Staying,No
124,24,Other,Married,Sales,Specialist,Bachelors,Business Management,54,Non-Travel,1,3,4,3,3,No,7,24,2,2,19,116931.47,High,No,Staying,No
125,37,Other,Single,Technology,Specialist,Associate,Business Management,70,Non-Travel,1,1,4,3,2,Yes,4,21,9,8,5,113035.24,High,No,Staying,No
126,42,Female,Married,Operations,Senior Analyst,Masters,Medical,36,Travel Frequently,2,3,1,3,3,Yes,7,18,7,1,6,102041.26,Very High,No,Staying,No
127,45,Female,Married,R&D,Lead,Masters,Human Resources,17,Travel Rarely,2,4,1,1,1,Yes,3,18,9,3,23,108084.93,Very High,No,Staying,No
128,32,Female,Married,Human Resources,Specialist,Bachelors,Medical,15,Travel Frequently,1,1,3,4,4,No,5,28,0,6,18,110740.47,High,No,Staying,No
129,48,Female,Married,Technology,Associate,High School,Marketing,72,Travel Rarely,1,1,4,1,2,No,7,9,9,8,27,58231.54,Medium,No,Staying,No
130,37,Male,Divorced,Operations,Analyst,PhD,Business Management,15,Travel Rarely,1,3,1,3,1,No,8,19,6,4,8,130434.04,High,No,Staying,No
131,29,Other,Single,Legal,Junior Associate,Masters,Human Resources,28,Travel Frequently,4,2,1,1,1,No,2,14,1,2,23,81375.98,Very High,No,Staying,Yes
132,43,Male,Divorced,Marketing,Lead,PhD,Life Sciences,3,Travel Rarely,4,2,3,4,4,Yes,8,15,13,1,21,53888.52,Very High,No,Staying,No
133,36,Other,Married,Technology,VP,PhD,Human Resources,61,Travel Frequently,3,1,1,3,2,Yes,4,5,5,2,30,98010.37,High,No,Staying,No
134,55,Other,Divorced,Finance,Specialist,Masters,Human Resources,10,Travel Frequently,1,1,4,3,1,No,1,11,2,7,12,98288.82,Very High,No,Staying,No
135,30,Male,Divorced,Sales,Manager,Bachelors,Life Sciences,79,Travel Rarely,2,3,3,4,4,Yes,0,11,6,8,34,137380.76,Medium,No,Staying,No
136,58,Female,Divorced,Marketing,Senior Analyst,Associate,Human Resources,43,Non-Travel,4,1,3,4,1,Yes,5,15,2,4,5,94361.76,Very High,No,Staying,Yes
137,37,Male,Married,Sales,Junior Associate,Associate,Business Management,42,Non-Travel,1,1,1,3,3,No,3,2,2,2,26,97239.91,Medium,No,Staying,Yes
138,42,Male,Divorced,Operations,Specialist,PhD,Business Management,43,Non-Travel,2,3,3,1,2,No,4,16,5,0,37,129863.78,Very High,No,Staying,No
139,43,Other,Married,Operations,Analyst,Masters,Medical,30,Travel Frequently,4,2,1,2,2,Yes,0,4,4,1,34,91925.09,Low,No,Staying,No
140,39,Female,Divorced,Legal,Analyst,High School,Technical Degree,51,Non-Travel,2,1,4,4,2,Yes,0,26,9,7,35,58700.77,Very High,No,Staying,No
141,40,Other,Single,Sales,Senior Analyst,Associate,Medical,31,Non-Travel,2,4,1,3,4,No,3,26,15,0,35,59978.61,High,No,Staying,Yes
142,60,Male,Divorced,Finance,VP,Masters,Technical Degree,24,Travel Frequently,4,1,3,2,1,No,1,7,7,6,21,30962.84,High,No,Staying,Yes
143,48,Male,Divorced,Human Resources,Executive,Associate,Business Management,67,Non-Travel,2,4,2,1,4,Yes,6,11,3,1,3,57578.77,Low,No,Staying,No
144,57,Female,Single,Human Resources,Analyst,High School,Medical,54,Travel Frequently,1,1,4,4,4,Yes,3,18,10,3,21,72944.46,High,Yes,Leaving,No
145,29,Other,Married,Legal,Senior Analyst,High School,Marketing,73,Travel Frequently,3,3,2,1,4,Yes,5,2,2,2,3,102994.4,Very High,Yes,Leaving,No
146,51,Other,Divorced,R&D,Director,Associate,Medical,77,Travel Frequently,3,2,1,1,3,No,3,27,12,0,8,144094.19,Low,No,Staying,Yes
147,60,Other,Married,Legal,Analyst,Masters,Technical Degree,57,Travel Rarely,1,2,4,4,4,No,8,17,1,8,6,146931.43,High,Yes,Leaving,No
148,40,Other,Married,R&D,Executive,Associate,Marketing,30,Non-Travel,1,1,4,1,4,Yes,1,30,3,5,35,102914.01,Low,Yes,Leaving,No
149,40,Male,Single,Finance,Senior Analyst,High School,Technical Degree,43,Travel Rarely,2,3,1,3,3,No,4,16,5,4,24,54092.95,High,No,Staying,Yes
150,44,Male,Divorced,Marketing,Executive,Masters,Medical,39,Travel Frequently,1,1,2,3,3,No,2,30,7,3,10,84772.53,Medium,No,Staying,Yes
151,45,Female,Divorced,Legal,Manager,Associate,Marketing,70,Travel Rarely,2,4,2,3,3,No,5,28,3,7,18,54978.48,High,No,Staying,No
152,35,Male,Single,Human Resources,Executive,Associate,Business Management,36,Travel Frequently,3,3,1,2,4,Yes,7,10,10,6,15,108099.2,High,No,Staying,No
153,56,Female,Divorced,Human Resources,Associate,Associate,Business Management,19,Non-Travel,2,4,3,3,1,Yes,8,29,14,7,22,63520.17,Low,No,Staying,Yes
154,45,Other,Married,Finance,Junior Associate,Associate,Life Sciences,32,Travel Frequently,4,4,2,4,3,Yes,4,0,0,0,13,144673.02,Medium,No,Staying,Yes
155,49,Female,Divorced,Technology,Lead,Masters,Technical Degree,26,Travel Frequently,3,3,2,4,2,No,7,7,7,2,6,62814.54,Medium,No,Staying,No
156,56,Other,Divorced,Operations,Executive,PhD,Technical Degree,20,Travel Rarely,4,2,1,4,4,No,1,26,3,4,4,139488.87,Very High,No,Staying,No
157,53,Female,Divorced,R&D,Senior Analyst,Bachelors,Technical Degree,50,Non-Travel,3,3,2,2,1,No,6,12,2,8,10,76339.59,Very High,No,Staying,No
158,52,Female,Married,Marketing,Manager,PhD,Business Management,79,Travel Frequently,2,3,2,1,1,Yes,3,20,2,3,26,53834.07,High,No,Staying,No
159,30,Male,Divorced,Marketing,Analyst,Associate,Marketing,49,Travel Rarely,3,4,4,2,4,No,4,20,0,7,14,120684.8,Low,No,Staying,No
160,50,Other,Married,Technology,Executive,High School,Life Sciences,2,Travel Frequently,2,3,4,4,3,No,5,1,1,1,11,109558.85,Low,No,Staying,Yes
161,49,Female,Married,Legal,Associate,PhD,Life Sciences,73,Travel Frequently,1,3,3,1,4,Yes,2,9,5,8,14,60406.07,Very High,No,Staying,Yes
162,51,Other,Married,Operations,Director,Masters,Life Sciences,53,Travel Frequently,4,4,3,2,2,No,4,19,7,1,18,94687.95,High,No,Staying,No
163,43,Male,Single,Legal,Manager,Masters,Marketing,34,Non-Travel,4,3,2,2,2,Yes,1,8,8,2,31,51041.18,Medium,No,Staying,No
164,58,Male,Single,Technology,Specialist,PhD,Technical Degree,22,Travel Frequently,2,3,1,3,2,Yes,2,4,4,4,9,130984.37,Very High,No,Staying,No
165,32,Female,Married,R&D,Analyst,Bachelors,Life Sciences,27,Travel Rarely,3,3,4,1,4,No,8,5,5,5,13,141628.88,Very High,No,Staying,No
166,30,Male,Single,Finance,Director,Masters,Marketing,30,Travel Rarely,2,2,3,4,1,Yes,6,7,6,0,24,147172.03,Very High,No,Staying,Yes
167,49,Female,Married,Sales,Specialist,PhD,Medical,1,Travel Rarely,2,1,4,1,1,Yes,8,5,0,5,40,52339.92,Medium,No,Staying,No
168,29,Female,Married,Sales,Director,Associate,Technical Degree,70,Non-Travel,2,2,1,3,2,Yes,1,8,4,0,40,142745.71,Very High,No,Staying,No
169,59,Female,Divorced,R&D,VP,High School,Other,28,Travel Rarely,4,4,1,4,4,No,0,11,4,4,14,118465.18,Medium,No,Staying,No
170,60,Other,Divorced,Technology,Associate,Bachelors,Business Management,8,Travel Frequently,4,4,1,4,1,Yes,5,8,5,6,12,93706.06,Medium,No,Staying,No
171,39,Other,Divorced,Technology,Senior Analyst,Associate,Business Management,48,Non-Travel,1,2,3,3,4,No,4,16,15,5,4,139895.82,High,No,Staying,Yes
172,46,Male,Single,Marketing,Executive,Bachelors,Other,68,Travel Frequently,4,2,4,4,3,Yes,6,25,4,0,9,116144.81,High,No,Staying,No
173,41,Male,Divorced,Technology,Associate,PhD,Human Resources,28,Travel Rarely,4,1,1,1,3,Yes,5,26,11,7,18,79549.08,High,No,Staying,No
