order_id,customer_id,order_datetime,zone,category,product_name,sku,order_qty,unit_price,total_amount,delivery_fee,discount,payment_method,estimated_delivery_min,actual_delivery_min,delivery_status,order_source,store_name
18,CUST0018,2025-05-13 16:08:05,Zone-B,Household,Option,SKU00018,2,14.5,29.0,2.44,0.16,Debit Card,26,30,Delivered,Web,Blinkit Store #3
19,CUST0019,2025-06-23 05:53:46,Zone-C,Personal Care,Thousand,SKU00019,13,350.45,4555.85,4.59,0.21,Debit Card,14,25,Delivered,Web,Blinkit Store #1
20,CUST0020,2025-05-08 10:09:26,Zone-B,Household,Religious,SKU00020,10,793.1,7931.0,8.16,0.14,Debit Card,20,23,Delivered,App,Blinkit Store #4
21,CUST0021,2025-02-24 07:54:00,Zone-C,Beverages,Source,SKU00021,15,387.54,5813.1,5.17,0.2,COD,7,19,Delivered,App,Blinkit Store #4
22,CUST0022,2025-03-09 09:20:06,Zone-A,Beverages,Serve,SKU00022,2,587.42,1174.84,24.05,0.15,COD,8,21,Delivered,WhatsApp,Blinkit Store #4
23,CUST0023,2025-03-27 09:59:59,Zone-D,Pet Supplies,Begin,SKU00023,5,522.25,2611.25,1.11,0.02,Credit Card,7,25,Delivered,App,Blinkit Store #3
24,CUST0024,2025-01-16 14:45:38,Zone-D,Beverages,Heart,SKU00024,4,404.45,1617.8,32.71,0.01,UPI,5,15,Delivered,App,Blinkit Store #1
25,CUST0025,2025-02-20 19:00:39,Zone-D,Household,Church,SKU00025,7,85.71,599.97,10.68,0.09,Blinkit Wallet,15,27,Delivered,App,Blinkit Store #4
26,CUST0026,2025-02-21 02:01:00,Zone-B,Dairy,Prevent,SKU00026,9,581.61,5234.49,33.66,0.15,Net Banking,15,18,Delivered,WhatsApp,Blinkit Store #4
27,CUST0027,2025-05-18 17:01:10,Zone-C,Personal Care,However,SKU00027,8,555.77,4446.16,46.65,0.24,COD,18,33,Delayed,Web,Blinkit Store #5
28,CUST0028,2025-03-31 09:50:57,Zone-D,Personal Care,Growth,SKU00028,9,63.03,567.27,25.12,0.15,Blinkit Wallet,20,28,Delivered,WhatsApp,Blinkit Store #1
29,CUST0029,2025-01-11 04:09:53,Zone-A,Snacks,Lay,SKU00029,4,391.98,1567.92,2.99,0.08,Net Banking,29,33,Delivered,WhatsApp,Blinkit Store #3
30,CUST0030,2025-04-23 01:55:23,Zone-A,Personal Care,Candidate,SKU00030,10,143.7,1437.0,46.66,0.23,Blinkit Wallet,10,20,Delivered,Web,Blinkit Store #1
31,CUST0031,2025-05-29 02:56:45,Zone-E,Pet Supplies,Detail,SKU00031,3,285.96,857.88,22.3,0.11,COD,22,23,Delivered,App,Blinkit Store #5
32,CUST0032,2025-02-12 06:56:39,Zone-B,Snacks,Game,SKU00032,11,134.13,1475.43,6.76,0.04,Blinkit Wallet,21,26,Delivered,App,Blinkit Store #5
33,CUST0033,2025-04-13 22:20:46,Zone-A,Personal Care,Return,SKU00033,6,240.93,1445.58,5.54,0.06,Blinkit Wallet,20,27,Delivered,WhatsApp,Blinkit Store #2
34,CUST0034,2025-05-18 18:33:19,Zone-E,Household,Resource,SKU00034,10,270.79,2707.9,45.35,0.15,COD,5,25,Delivered,App,Blinkit Store #6
35,CUST0035,2025-03-28 14:43:16,Zone-A,Household,Cut,SKU00035,15,49.94,749.1,10.08,0.23,Credit Card,19,25,Delivered,Web,Blinkit Store #5
36,CUST0036,2025-01-15 06:02:40,Zone-C,Pet Supplies,Republican,SKU00036,9,310.03,2790.27,48.25,0.02,Blinkit Wallet,11,31,Cancelled,Web,Blinkit Store #3
37,CUST0037,2025-01-01 05:37:35,Zone-B,Groceries,Explain,SKU00037,15,434.96,6524.4,26.17,0.17,Credit Card,5,9,Delivered,WhatsApp,Blinkit Store #2
38,CUST0038,2025-01-24 13:41:04,Zone-B,Beverages,Large,SKU00038,11,178.28,1961.08,10.2,0.02,COD,22,21,Delivered,Web,Blinkit Store #6
39,CUST0039,2025-01-23 16:27:47,Zone-D,Household,Accept,SKU00039,12,605.87,7270.44,16.3,0.12,Debit Card,20,40,Cancelled,Web,Blinkit Store #6
40,CUST0040,2025-04-27 02:27:52,Zone-A,Household,Painting,SKU00040,11,227.75,2505.25,21.61,0.05,UPI,30,26,Delivered,Web,Blinkit Store #1
41,CUST0041,2025-03-10 12:59:55,Zone-D,Groceries,Our,SKU00041,7,768.29,5378.03,16.04,0.01,Net Banking,21,19,Delivered,Web,Blinkit Store #5
42,CUST0042,2025-05-11 00:58:16,Zone-B,Snacks,Significant,SKU00042,5,468.46,2342.3,29.43,0.2,Debit Card,5,19,Delivered,Web,Blinkit Store #1
43,CUST0043,2025-06-14 17:09:15,Zone-D,Beverages,Medical,SKU00043,9,508.69,4578.21,33.83,0.01,COD,10,21,Delivered,WhatsApp,Blinkit Store #1
44,CUST0044,2025-03-30 08:47:54,Zone-E,Dairy,Benefit,SKU00044,5,489.89,2449.45,19.87,0.04,UPI,26,45,Cancelled,App,Blinkit Store #5
45,CUST0045,2025-03-02 01:45:43,Zone-D,Household,Anything,SKU00045,12,666.06,7992.72,26.55,0.07,Credit Card,8,3,Delivered,WhatsApp,Blinkit Store #1
46,CUST0046,2025-06-20 16:15:19,Zone-D,Baby Care,Nice,SKU00046,1,420.53,420.53,31.38,0.01,Credit Card,16,33,Delayed,App,Blinkit Store #1
47,CUST0047,2025-04-15 23:30:48,Zone-D,Snacks,Risk,SKU00047,6,374.84,2249.04,45.24,0.07,Blinkit Wallet,22,17,Delivered,WhatsApp,Blinkit Store #5
48,CUST0048,2025-01-17 23:59:11,Zone-C,Groceries,Employee,SKU00048,7,556.97,3898.79,6.61,0.03,COD,9,28,Delivered,WhatsApp,Blinkit Store #3
49,CUST0049,2025-02-05 08:36:49,Zone-D,Groceries,City,SKU00049,11,517.03,5687.33,26.54,0.05,COD,27,24,Delivered,WhatsApp,Blinkit Store #3
50,CUST0050,2025-03-13 19:50:44,Zone-D,Personal Care,Almost,SKU00050,14,773.7,10831.8,21.4,0.02,Credit Card,27,37,Delayed,App,Blinkit Store #5
51,CUST0051,2025-04-30 04:53:47,Zone-B,Baby Care,Hair,SKU00051,8,516.03,4128.24,5.29,0.05,Net Banking,10,22,Delivered,WhatsApp,Blinkit Store #2
52,CUST0052,2025-06-09 07:52:40,Zone-C,Personal Care,Government,SKU00052,10,763.46,7634.6,28.87,0.05,COD,23,41,Cancelled,App,Blinkit Store #3
53,CUST0053,2025-05-26 17:58:21,Zone-E,Snacks,Open,SKU00053,11,568.33,6251.63,26.57,0.01,Net Banking,16,25,Delivered,Web,Blinkit Store #5
54,CUST0054,2025-04-04 19:51:37,Zone-E,Groceries,Authority,SKU00054,11,309.5,3404.5,42.56,0.07,Debit Card,14,33,Delayed,Web,Blinkit Store #2
55,CUST0055,2025-05-24 10:46:28,Zone-B,Baby Care,Better,SKU00055,8,451.91,3615.28,45.88,0.05,Credit Card,5,25,Delivered,Web,Blinkit Store #2
56,CUST0056,2025-03-02 08:45:05,Zone-B,Beverages,Guess,SKU00056,12,535.42,6425.04,9.8,0.1,Debit Card,16,31,Delayed,WhatsApp,Blinkit Store #4
57,CUST0057,2025-05-26 04:57:11,Zone-A,Groceries,Evening,SKU00057,3,279.55,838.65,18.43,0.07,Blinkit Wallet,25,42,Delayed,Web,Blinkit Store #3
58,CUST0058,2025-06-12 16:48:39,Zone-E,Groceries,Wife,SKU00058,10,271.96,2719.6,15.58,0.09,UPI,9,20,Delivered,App,Blinkit Store #6
59,CUST0059,2025-03-23 01:00:29,Zone-D,Snacks,Instead,SKU00059,3,758.78,2276.34,17.48,0.14,Blinkit Wallet,5,11,Delivered,Web,Blinkit Store #3
60,CUST0060,2025-04-07 22:36:15,Zone-A,Household,Offer,SKU00060,4,518.12,2072.48,12.32,0.2,UPI,22,26,Delivered,App,Blinkit Store #3
61,CUST0061,2025-06-14 22:06:44,Zone-A,Baby Care,Else,SKU00061,15,278.68,4180.2,39.08,0.04,Net Banking,25,36,Cancelled,WhatsApp,Blinkit Store #6
62,CUST0062,2025-06-26 18:39:00,Zone-B,Household,Human,SKU00062,3,297.2,891.6,39.35,0.07,COD,10,16,Delivered,WhatsApp,Blinkit Store #3
63,CUST0063,2025-01-30 12:40:02,Zone-C,Pet Supplies,Case,SKU00063,13,446.07,5798.91,42.35,0.04,Debit Card,6,7,Delivered,App,Blinkit Store #6
64,CUST0064,2025-06-28 21:18:49,Zone-C,Baby Care,Life,SKU00064,15,702.4,10536.0,26.16,0.1,UPI,21,33,Delayed,WhatsApp,Blinkit Store #3
65,CUST0065,2025-02-11 14:30:12,Zone-B,Groceries,Early,SKU00065,15,642.54,9638.1,12.85,0.08,Net Banking,5,19,Delivered,App,Blinkit Store #6
66,CUST0066,2025-01-21 19:45:14,Zone-A,Groceries,Every,SKU00066,15,19.33,289.95,27.57,0.05,COD,15,27,Delivered,App,Blinkit Store #5
67,CUST0067,2025-03-14 15:23:45,Zone-A,Snacks,Think,SKU00067,14,358.83,5023.62,24.37,0.08,Net Banking,20,21,Delivered,App,Blinkit Store #3
68,CUST0068,2025-05-21 23:44:44,Zone-D,Beverages,Soldier,SKU00068,6,588.2,3529.2,11.63,0.06,Net Banking,12,15,Delivered,App,Blinkit Store #3
69,CUST0069,2025-05-24 22:08:20,Zone-B,Beverages,Behind,SKU00069,2,97.35,194.7,1.65,0.17,Net Banking,10,6,Delivered,WhatsApp,Blinkit Store #6
70,CUST0070,2025-02-24 11:43:24,Zone-C,Baby Care,Street,SKU00070,7,29.85,208.95,26.64,0.17,Debit Card,6,5,Delivered,Web,Blinkit Store #6
71,CUST0071,2025-02-18 09:42:43,Zone-E,Household,Difference,SKU00071,2,158.0,316.0,40.65,0.06,Blinkit Wallet,30,40,Delivered,App,Blinkit Store #1
72,CUST0072,2025-04-24 21:00:05,Zone-C,Baby Care,Wear,SKU00072,10,334.17,3341.7,35.27,0.02,COD,30,33,Delayed,App,Blinkit Store #2
73,CUST0073,2025-01-17 23:15:01,Zone-D,Baby Care,Here,SKU00073,14,44.16,618.24,2.15,0.22,Credit Card,12,23,Delivered,App,Blinkit Store #2
74,CUST0074,2025-01-24 01:47:03,Zone-D,Pet Supplies,Party,SKU00074,2,674.49,1348.98,48.13,0.18,UPI,22,31,Cancelled,Web,Blinkit Store #5
75,CUST0075,2025-04-25 14:45:30,Zone-B,Baby Care,Pattern,SKU00075,8,538.21,4305.68,3.39,0.18,Debit Card,5,1,Delivered,WhatsApp,Blinkit Store #2
76,CUST0076,2025-02-14 04:12:07,Zone-A,Beverages,Cut,SKU00076,7,514.14,3598.98,41.08,0.01,UPI,11,13,Delivered,Web,Blinkit Store #1
77,CUST0077,2025-05-29 15:23:14,Zone-D,Groceries,Owner,SKU00077,2,327.34,654.68,14.81,0.25,Credit Card,12,8,Delivered,WhatsApp,Blinkit Store #6
78,CUST0078,2025-03-11 23:40:58,Zone-C,Beverages,Raise,SKU00078,12,345.66,4147.92,2.07,0.24,UPI,25,43,Delayed,WhatsApp,Blinkit Store #4
79,CUST0079,2025-01-15 02:59:53,Zone-A,Snacks,She,SKU00079,12,14.9,178.8,15.82,0.25,COD,20,23,Delivered,App,Blinkit Store #6
80,CUST0080,2025-01-09 11:52:24,Zone-E,Dairy,Source,SKU00080,4,735.78,2943.12,12.09,0.12,Credit Card,12,28,Delivered,Web,Blinkit Store #4
81,CUST0081,2025-06-24 21:15:03,Zone-A,Beverages,Like,SKU00081,9,451.72,4065.48,8.45,0.04,Blinkit Wallet,26,28,Delivered,App,Blinkit Store #2
82,CUST0082,2025-06-04 05:19:51,Zone-E,Baby Care,Kind,SKU00082,11,73.1,804.1,32.59,0.16,Credit Card,14,33,Delayed,App,Blinkit Store #4
83,CUST0083,2025-02-16 20:37:42,Zone-A,Pet Supplies,Art,SKU00083,2,691.83,1383.66,25.98,0.18,COD,15,27,Delivered,App,Blinkit Store #1
84,CUST0084,2025-02-22 18:49:04,Zone-D,Snacks,Too,SKU00084,1,425.54,425.54,32.03,0.15,COD,27,33,Cancelled,App,Blinkit Store #3
85,CUST0085,2025-05-05 03:22:11,Zone-D,Pet Supplies,Film,SKU00085,8,772.91,6183.28,6.48,0.01,Credit Card,15,34,Delivered,WhatsApp,Blinkit Store #4
86,CUST0086,2025-03-18 17:54:13,Zone-C,Beverages,Would,SKU00086,5,339.56,1697.8,29.09,0.09,COD,10,15,Delivered,WhatsApp,Blinkit Store #5
87,CUST0087,2025-05-09 23:40:58,Zone-A,Household,Society,SKU00087,12,108.04,1296.48,14.71,0.24,Blinkit Wallet,13,17,Delivered,WhatsApp,Blinkit Store #5
88,CUST0088,2025-06-26 05:48:37,Zone-E,Beverages,Add,SKU00088,6,76.55,459.3,44.98,0.07,Debit Card,9,22,Delivered,Web,Blinkit Store #1
89,CUST0089,2025-05-09 14:58:24,Zone-B,Groceries,Technology,SKU00089,13,479.54,6234.02,41.03,0.2,UPI,9,28,Delivered,App,Blinkit Store #6
90,CUST0090,2025-04-10 00:45:18,Zone-B,Baby Care,Represent,SKU00090,1,90.54,90.54,0.1,0.16,Debit Card,14,33,Delayed,App,Blinkit Store #6
91,CUST0091,2025-01-16 17:27:52,Zone-E,Beverages,Picture,SKU00091,5,756.86,3784.3,19.66,0.17,COD,27,26,Delivered,Web,Blinkit Store #6
92,CUST0092,2025-05-02 19:53:53,Zone-D,Dairy,Career,SKU00092,8,799.06,6392.48,8.79,0.21,Blinkit Wallet,6,18,Delivered,App,Blinkit Store #1
93,CUST0093,2025-04-20 20:29:16,Zone-C,Pet Supplies,Store,SKU00093,4,636.6,2546.4,4.52,0.04,COD,12,24,Delivered,App,Blinkit Store #3
94,CUST0094,2025-03-10 20:33:53,Zone-A,Snacks,Join,SKU00094,11,734.88,8083.68,44.99,0.11,Net Banking,26,46,Cancelled,WhatsApp,Blinkit Store #4
95,CUST0095,2025-02-11 18:26:06,Zone-E,Household,Admit,SKU00095,7,753.19,5272.33,26.6,0.17,COD,12,13,Delivered,WhatsApp,Blinkit Store #2
96,CUST0096,2025-04-04 08:28:23,Zone-D,Beverages,Already,SKU00096,1,688.77,688.77,5.32,0.04,UPI,24,42,Delivered,App,Blinkit Store #5
97,CUST0097,2025-04-05 00:28:53,Zone-D,Groceries,Particular,SKU00097,6,172.26,1033.56,27.31,0.1,COD,21,38,Delivered,App,Blinkit Store #1
98,CUST0098,2025-02-04 08:13:26,Zone-C,Baby Care,Paper,SKU00098,3,285.87,857.61,41.97,0.25,Blinkit Wallet,30,26,Delivered,WhatsApp,Blinkit Store #3
99,CUST0099,2025-01-29 15:23:36,Zone-D,Pet Supplies,Window,SKU00099,15,747.3,11209.5,38.45,0.24,COD,26,29,Delivered,App,Blinkit Store #1
100,CUST0100,2025-02-25 15:39:59,Zone-A,Personal Care,Professor,SKU00100,15,17.76,266.4,0.77,0.24,UPI,20,32,Delivered,Web,Blinkit Store #5
101,CUST0101,2025-03-27 05:33:13,Zone-D,Dairy,Upon,SKU00101,12,506.81,6081.72,32.96,0.16,COD,17,36,Delivered,Web,Blinkit Store #4
102,CUST0102,2025-03-25 04:02:01,Zone-D,Dairy,Speak,SKU00102,10,105.95,1059.5,21.02,0.15,UPI,15,25,Delivered,App,Blinkit Store #1
103,CUST0103,2025-01-11 07:35:31,Zone-C,Snacks,Add,SKU00103,10,78.03,780.3,29.72,0.18,UPI,16,13,Delivered,App,Blinkit Store #1
104,CUST0104,2025-06-16 03:11:27,Zone-C,Groceries,Accept,SKU00104,3,279.96,839.88,4.0,0.18,Credit Card,7,10,Delivered,App,Blinkit Store #5
105,CUST0105,2025-03-22 23:15:04,Zone-E,Personal Care,Star,SKU00105,12,391.74,4700.88,30.91,0.09,COD,21,37,Cancelled,App,Blinkit Store #2
106,CUST0106,2025-01-30 15:17:24,Zone-A,Pet Supplies,New,SKU00106,8,138.16,1105.28,20.9,0.16,Debit Card,14,15,Delivered,Web,Blinkit Store #1
107,CUST0107,2025-06-12 01:20:17,Zone-E,Snacks,Environmental,SKU00107,5,446.47,2232.35,18.97,0.01,UPI,29,28,Delivered,WhatsApp,Blinkit Store #2
108,CUST0108,2025-03-25 13:03:32,Zone-C,Baby Care,World,SKU00108,6,533.55,3201.3,43.71,0.09,UPI,13,24,Delivered,App,Blinkit Store #3
109,CUST0109,2025-06-16 05:13:07,Zone-C,Household,Four,SKU00109,1,633.25,633.25,28.63,0.05,Blinkit Wallet,18,31,Delivered,App,Blinkit Store #4
110,CUST0110,2025-03-23 17:13:10,Zone-D,Beverages,Name,SKU00110,5,334.63,1673.15,28.3,0.11,Debit Card,26,24,Delivered,App,Blinkit Store #4
111,CUST0111,2025-03-04 03:01:46,Zone-C,Snacks,Who,SKU00111,5,231.32,1156.6,41.86,0.18,COD,16,27,Delivered,WhatsApp,Blinkit Store #4
112,CUST0112,2025-03-09 19:47:50,Zone-B,Baby Care,Wish,SKU00112,10,739.3,7393.0,31.07,0.03,UPI,24,42,Delivered,WhatsApp,Blinkit Store #4
113,CUST0113,2025-04-19 19:44:40,Zone-B,Pet Supplies,Reflect,SKU00113,11,168.72,1855.92,16.63,0.11,Net Banking,18,26,Delivered,WhatsApp,Blinkit Store #5
114,CUST0114,2025-06-20 04:10:57,Zone-B,Dairy,Consider,SKU00114,15,654.2,9813.0,38.61,0.24,UPI,28,34,Delayed,WhatsApp,Blinkit Store #2
115,CUST0115,2025-05-15 15:04:27,Zone-A,Personal Care,We,SKU00115,12,159.9,1918.8,21.13,0.23,COD,19,31,Delivered,WhatsApp,Blinkit Store #3
116,CUST0116,2025-02-18 09:48:12,Zone-C,Dairy,Blue,SKU00116,12,676.11,8113.32,5.52,0.05,Blinkit Wallet,27,45,Delayed,App,Blinkit Store #5
117,CUST0117,2025-01-20 16:05:18,Zone-D,Groceries,Goal,SKU00117,14,470.36,6585.04,24.99,0.22,Debit Card,16,13,Delivered,Web,Blinkit Store #2
118,CUST0118,2025-03-19 00:32:46,Zone-E,Personal Care,Arm,SKU00118,3,295.66,886.98,17.61,0.04,UPI,6,20,Delivered,WhatsApp,Blinkit Store #1
119,CUST0119,2025-04-26 14:18:16,Zone-B,Groceries,Learn,SKU00119,1,583.63,583.63,22.99,0.11,Debit Card,22,35,Delayed,App,Blinkit Store #6
120,CUST0120,2025-03-07 20:32:30,Zone-E,Snacks,In,SKU00120,14,309.6,4334.4,16.66,0.07,UPI,12,21,Delivered,Web,Blinkit Store #1
121,CUST0121,2025-04-19 02:15:24,Zone-D,Snacks,Off,SKU00121,11,111.36,1224.96,21.03,0.08,COD,22,19,Delivered,App,Blinkit Store #2
122,CUST0122,2025-02-09 00:22:45,Zone-D,Snacks,Board,SKU00122,5,724.78,3623.9,34.36,0.21,Net Banking,11,9,Delivered,App,Blinkit Store #5
123,CUST0123,2025-04-24 18:30:59,Zone-D,Pet Supplies,Today,SKU00123,5,626.14,3130.7,19.02,0.18,UPI,21,31,Delayed,App,Blinkit Store #1
124,CUST0124,2025-01-14 08:43:32,Zone-D,Snacks,Blood,SKU00124,13,760.23,9882.99,25.11,0.0,Debit Card,9,21,Delivered,App,Blinkit Store #1
125,CUST0125,2025-02-06 06:05:24,Zone-E,Beverages,Common,SKU00125,13,36.85,479.05,1.75,0.06,Credit Card,27,43,Delivered,Web,Blinkit Store #4
126,CUST0126,2025-02-11 18:36:13,Zone-B,Groceries,Design,SKU00126,14,16.09,225.26,17.2,0.14,UPI,29,40,Cancelled,App,Blinkit Store #4
127,CUST0127,2025-05-10 08:50:53,Zone-A,Personal Care,Either,SKU00127,1,389.5,389.5,4.12,0.03,Debit Card,13,30,Delivered,WhatsApp,Blinkit Store #3
128,CUST0128,2025-03-28 15:02:07,Zone-A,Dairy,Consumer,SKU00128,7,630.94,4416.58,19.27,0.18,UPI,27,35,Delayed,Web,Blinkit Store #1
129,CUST0129,2025-03-15 01:42:48,Zone-A,Baby Care,Thousand,SKU00129,11,440.86,4849.46,22.5,0.13,Debit Card,28,43,Cancelled,App,Blinkit Store #1
130,CUST0130,2025-02-16 03:03:40,Zone-C,Household,Painting,SKU00130,9,788.09,7092.81,34.77,0.22,Credit Card,25,35,Delayed,WhatsApp,Blinkit Store #4
131,CUST0131,2025-01-10 18:49:05,Zone-E,Household,Indicate,SKU00131,13,796.03,10348.39,40.21,0.11,Credit Card,19,38,Delivered,WhatsApp,Blinkit Store #2
132,CUST0132,2025-02-26 13:47:30,Zone-D,Baby Care,Office,SKU00132,7,283.58,1985.06,24.54,0.19,UPI,5,8,Delivered,WhatsApp,Blinkit Store #5
133,CUST0133,2025-01-31 21:15:23,Zone-A,Groceries,Prevent,SKU00133,14,613.69,8591.66,19.19,0.14,COD,20,36,Delayed,App,Blinkit Store #3
134,CUST0134,2025-03-10 19:17:30,Zone-D,Pet Supplies,Purpose,SKU00134,13,696.96,9060.48,40.24,0.12,Net Banking,9,21,Delivered,WhatsApp,Blinkit Store #6
135,CUST0135,2025-03-23 21:50:40,Zone-D,Household,Able,SKU00135,2,38.23,76.46,31.19,0.03,Credit Card,15,31,Delayed,WhatsApp,Blinkit Store #3
136,CUST0136,2025-02-01 16:30:42,Zone-A,Baby Care,Present,SKU00136,15,409.26,6138.9,32.73,0.19,Credit Card,23,20,Delivered,App,Blinkit Store #5
137,CUST0137,2025-05-07 00:35:14,Zone-D,Personal Care,Safe,SKU00137,6,290.42,1742.52,41.17,0.19,COD,22,24,Delivered,WhatsApp,Blinkit Store #6
138,CUST0138,2025-05-24 22:45:59,Zone-D,Pet Supplies,Author,SKU00138,8,509.24,4073.92,18.04,0.2,Net Banking,12,23,Delivered,WhatsApp,Blinkit Store #3
139,CUST0139,2025-04-13 10:34:01,Zone-E,Groceries,Significant,SKU00139,9,334.64,3011.76,28.46,0.08,Blinkit Wallet,22,25,Delivered,App,Blinkit Store #3
140,CUST0140,2025-02-15 18:54:55,Zone-C,Groceries,Race,SKU00140,3,57.88,173.64,3.53,0.23,COD,5,19,Delivered,Web,Blinkit Store #5
141,CUST0141,2025-03-30 16:33:34,Zone-A,Groceries,Understand,SKU00141,7,673.41,4713.87,4.76,0.12,Debit Card,18,22,Delivered,App,Blinkit Store #4
142,CUST0142,2025-02-20 07:29:37,Zone-C,Household,Floor,SKU00142,10,701.98,7019.8,30.03,0.14,Net Banking,28,39,Delayed,Web,Blinkit Store #3
143,CUST0143,2025-02-25 11:25:44,Zone-E,Beverages,Federal,SKU00143,3,76.69,230.07,28.39,0.2,Credit Card,30,30,Delivered,Web,Blinkit Store #3
144,CUST0144,2025-04-12 11:55:33,Zone-D,Pet Supplies,Too,SKU00144,14,230.03,3220.42,41.97,0.08,COD,17,23,Delivered,App,Blinkit Store #4
145,CUST0145,2025-05-09 10:07:33,Zone-C,Household,Trial,SKU00145,15,488.07,7321.05,18.51,0.01,Credit Card,9,8,Delivered,App,Blinkit Store #3
146,CUST0146,2025-04-12 21:34:55,Zone-B,Snacks,Rate,SKU00146,14,98.96,1385.44,43.11,0.1,Net Banking,7,19,Delivered,WhatsApp,Blinkit Store #4
147,CUST0147,2025-02-20 18:44:04,Zone-A,Baby Care,Company,SKU00147,9,310.35,2793.15,2.37,0.24,COD,15,24,Delivered,Web,Blinkit Store #4
148,CUST0148,2025-01-10 11:36:06,Zone-D,Pet Supplies,Fact,SKU00148,6,734.57,4407.42,14.47,0.25,UPI,14,17,Delivered,Web,Blinkit Store #6
149,CUST0149,2025-04-15 08:17:39,Zone-E,Snacks,About,SKU00149,5,273.89,1369.45,37.31,0.11,UPI,23,32,Cancelled,Web,Blinkit Store #1
150,CUST0150,2025-04-23 17:35:46,Zone-E,Household,Require,SKU00150,4,750.19,3000.76,43.71,0.2,COD,23,28,Delivered,App,Blinkit Store #5
151,CUST0151,2025-01-06 01:33:08,Zone-D,Beverages,Author,SKU00151,11,267.9,2946.9,3.8,0.09,COD,7,26,Delivered,Web,Blinkit Store #1
152,CUST0152,2025-04-15 20:35:43,Zone-A,Dairy,Color,SKU00152,1,562.81,562.81,6.88,0.18,Blinkit Wallet,5,7,Delivered,App,Blinkit Store #4
153,CUST0153,2025-05-22 21:23:24,Zone-B,Household,Continue,SKU00153,4,139.71,558.84,2.52,0.03,Debit Card,9,15,Delivered,WhatsApp,Blinkit Store #4
154,CUST0154,2025-04-07 20:23:46,Zone-B,Snacks,Nation,SKU00154,11,82.25,904.75,21.85,0.2,COD,11,19,Delivered,WhatsApp,Blinkit Store #2
155,CUST0155,2025-05-09 06:34:24,Zone-D,Personal Care,While,SKU00155,2,220.1,440.2,44.42,0.13,Blinkit Wallet,11,18,Delivered,WhatsApp,Blinkit Store #3
