track_id,track_name,artist_name,artist_popularity,album_name,genre,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_number,release_date
111,Track 111,Taylor Swift,95,Album 10,Blues,66,0.887,0.479,9,-3.9,Minor,0.348,0.153,0.114,0.46,0.361,68.74,162553,11,2020-01-28
112,Track 112,BTS,89,Album 3,Latin,95,0.411,0.264,5,-16.2,Major,0.151,0.859,0.224,0.043,0.672,144.21,329257,9,2022-11-05
113,Track 113,Kendrick Lamar,83,Album 8,Folk,85,0.875,0.292,7,-16.5,Minor,0.58,0.323,0.213,0.297,0.703,133.07,188467,2,2018-12-04
114,Track 114,Post Malone,79,Album 1,Latin,61,0.653,0.144,2,-17.2,Minor,0.261,0.918,0.675,0.305,0.434,175.73,320223,8,2024-06-20
115,Track 115,Dua Lipa,85,Album 7,Country,58,0.205,0.718,6,-6.5,Major,0.588,0.211,0.222,0.217,0.576,98.83,185401,10,2015-03-11
116,Track 116,Post Malone,79,Album 10,Classical,65,0.224,0.146,8,-16.6,Minor,0.553,0.353,0.695,0.451,0.523,112.69,143733,9,2015-12-12
117,Track 117,Adele,74,Album 1,Indie,51,0.632,0.351,3,-11.7,Major,0.491,0.24,0.178,0.12,0.542,179.93,306432,12,2015-12-15
118,Track 118,Taylor Swift,95,Album 1,Rock,95,0.826,0.139,10,-8.7,Major,0.366,0.54,0.494,0.095,0.172,92.75,122436,15,2021-12-17
119,Track 119,The Weeknd,91,Album 10,Latin,61,0.34,0.904,3,-5.6,Major,0.561,0.123,0.037,0.284,0.158,169.24,276416,11,2024-06-28
120,Track 120,Billie Eilish,87,Album 6,Blues,60,0.305,0.921,10,-16.9,Minor,0.513,0.479,0.433,0.47,0.19,154.61,238408,12,2017-04-02
121,Track 121,Rihanna,75,Album 7,Folk,46,0.821,0.433,3,-16.6,Minor,0.447,0.451,0.543,0.03,0.583,141.21,123685,15,2017-10-15
122,Track 122,Bad Bunny,90,Album 1,R&B,73,0.486,0.354,1,-7.6,Major,0.497,0.246,0.536,0.438,0.541,82.49,189861,4,2018-10-04
123,Track 123,Kendrick Lamar,83,Album 7,Country,60,0.579,0.309,0,-7.7,Major,0.305,0.493,0.655,0.483,0.739,88.61,133084,13,2017-07-25
124,Track 124,Doja Cat,80,Album 9,Metal,64,0.731,0.653,2,-12.4,Minor,0.229,0.08,0.161,0.136,0.298,131.85,206455,2,2020-12-12
125,Track 125,Drake,92,Album 10,Reggae,100,0.615,0.861,11,-15.0,Major,0.327,0.352,0.423,0.262,0.428,155.12,301350,18,2022-08-21
126,Track 126,Adele,74,Album 5,Classical,86,0.215,0.226,5,-4.6,Minor,0.431,0.799,0.352,0.345,0.477,167.79,159358,16,2023-08-12
127,Track 127,Doja Cat,80,Album 4,Pop,83,0.266,0.654,4,-16.3,Minor,0.224,0.579,0.138,0.401,0.306,81.65,326212,3,2020-09-06
128,Track 128,Ariana Grande,86,Album 6,R&B,59,0.244,0.339,10,-13.6,Major,0.139,0.044,0.528,0.378,0.799,103.44,178442,17,2024-05-25
129,Track 129,Taylor Swift,95,Album 10,Electronic,91,0.861,0.471,5,-16.0,Minor,0.067,0.137,0.647,0.353,0.833,73.88,179580,9,2018-03-23
130,Track 130,Harry Styles,82,Album 4,Classical,81,0.394,0.627,7,-12.6,Minor,0.025,0.26,0.347,0.038,0.624,106.64,144345,16,2022-09-02
131,Track 131,Taylor Swift,95,Album 3,Classical,87,0.201,0.852,1,-14.6,Minor,0.382,0.005,0.441,0.099,0.291,165.08,142605,5,2018-02-02
132,Track 132,Harry Styles,82,Album 5,Jazz,90,0.891,0.163,6,-5.2,Minor,0.078,0.629,0.686,0.248,0.326,113.04,355247,1,2022-10-11
133,Track 133,Dua Lipa,85,Album 9,Folk,77,0.54,0.706,2,-19.2,Major,0.162,0.864,0.41,0.111,0.216,152.98,169543,3,2023-02-08
134,Track 134,Adele,74,Album 10,Latin,79,0.575,0.45,10,-14.3,Minor,0.407,0.758,0.349,0.267,0.549,107.19,130762,7,2020-08-22
135,Track 135,Ariana Grande,86,Album 7,Latin,91,0.798,0.804,8,-19.0,Minor,0.359,0.707,0.266,0.17,0.801,194.71,324660,19,2019-12-09
136,Track 136,Ariana Grande,86,Album 6,Pop,65,0.868,0.775,2,-3.7,Minor,0.506,0.79,0.322,0.395,0.544,86.24,253608,19,2019-02-28
137,Track 137,Dua Lipa,85,Album 10,Blues,60,0.775,0.54,9,-8.1,Major,0.529,0.317,0.466,0.199,0.698,136.33,301018,4,2023-06-17
138,Track 138,Bruno Mars,76,Album 5,Indie,91,0.8,0.131,8,-19.2,Minor,0.541,0.608,0.41,0.15,0.138,141.12,224896,10,2020-05-07
139,Track 139,Rihanna,75,Album 6,Latin,47,0.414,0.117,10,-9.2,Minor,0.522,0.432,0.786,0.277,0.839,126.87,289243,14,2018-06-03
140,Track 140,Dua Lipa,85,Album 4,Metal,59,0.257,0.904,2,-18.8,Minor,0.413,0.464,0.794,0.113,0.411,104.32,357545,13,2016-09-03
141,Track 141,Bruno Mars,76,Album 10,Folk,91,0.55,0.8,2,-10.3,Minor,0.197,0.893,0.753,0.453,0.206,62.49,212745,6,2017-11-28
142,Track 142,Bruno Mars,76,Album 5,Jazz,93,0.944,0.282,5,-16.0,Minor,0.034,0.863,0.218,0.06,0.535,161.58,169347,17,2021-02-21
143,Track 143,Beyonce,77,Album 9,Jazz,82,0.903,0.911,5,-4.3,Major,0.224,0.359,0.104,0.118,0.894,139.2,343732,20,2015-10-16
144,Track 144,Kendrick Lamar,83,Album 5,K-Pop,100,0.845,0.577,4,-18.4,Minor,0.466,0.131,0.007,0.365,0.855,179.15,180082,20,2023-10-20
145,Track 145,Bad Bunny,90,Album 10,R&B,100,0.565,0.434,3,-7.7,Minor,0.041,0.667,0.37,0.431,0.385,114.31,125043,19,2023-01-06
146,Track 146,Doja Cat,80,Album 9,Jazz,94,0.543,0.664,7,-18.5,Major,0.529,0.342,0.651,0.311,0.122,104.93,320736,16,2016-04-06
147,Track 147,Dua Lipa,85,Album 9,Reggae,59,0.274,0.525,5,-18.4,Minor,0.138,0.453,0.709,0.239,0.606,120.82,263960,7,2023-10-06
148,Track 148,Doja Cat,80,Album 4,Country,87,0.264,0.708,1,-19.7,Minor,0.468,0.783,0.308,0.44,0.325,193.71,339003,10,2023-04-24
149,Track 149,Travis Scott,84,Album 2,Electronic,83,0.241,0.314,3,-18.9,Minor,0.116,0.78,0.298,0.139,0.559,108.72,270017,3,2024-08-02
150,Track 150,Doja Cat,80,Album 4,Electronic,60,0.635,0.671,6,-8.4,Major,0.544,0.901,0.654,0.063,0.416,121.57,321417,11,2017-11-01
151,Track 151,BTS,89,Album 5,Blues,100,0.896,0.697,1,-18.7,Major,0.391,0.618,0.574,0.44,0.162,88.14,350585,5,2017-10-03
152,Track 152,Ariana Grande,86,Album 3,Classical,87,0.825,0.322,11,-5.7,Major,0.544,0.598,0.623,0.157,0.562,161.51,287447,16,2018-01-02
153,Track 153,Billie Eilish,87,Album 10,Folk,67,0.594,0.658,2,-17.2,Minor,0.428,0.587,0.437,0.48,0.596,153.02,268460,4,2017-10-14
154,Track 154,Rihanna,75,Album 8,Rock,88,0.79,0.439,2,-3.2,Major,0.198,0.406,0.114,0.136,0.159,168.53,207505,15,2021-03-20
155,Track 155,Doja Cat,80,Album 10,Indie,100,0.271,0.635,2,-16.2,Minor,0.475,0.763,0.407,0.173,0.697,96.7,192825,4,2018-10-14
156,Track 156,Beyonce,77,Album 2,Folk,55,0.429,0.433,7,-19.3,Minor,0.379,0.433,0.253,0.318,0.562,188.18,279305,19,2015-03-29
157,Track 157,Drake,92,Album 3,Pop,72,0.317,0.713,4,-16.1,Major,0.086,0.035,0.218,0.412,0.769,65.71,221339,3,2024-09-09
158,Track 158,Dua Lipa,85,Album 9,K-Pop,99,0.943,0.535,9,-17.2,Minor,0.504,0.14,0.469,0.039,0.126,104.93,169258,6,2019-11-08
159,Track 159,Bad Bunny,90,Album 8,Jazz,100,0.512,0.545,0,-6.7,Major,0.36,0.791,0.449,0.062,0.593,128.89,161788,5,2020-06-13
160,Track 160,The Weeknd,91,Album 5,Electronic,89,0.503,0.33,10,-16.6,Major,0.21,0.842,0.044,0.337,0.361,151.73,335308,11,2021-02-05
161,Track 161,Adele,74,Album 6,Metal,76,0.419,0.193,3,-17.9,Major,0.274,0.074,0.423,0.422,0.466,176.55,183706,10,2024-06-08
162,Track 162,The Weeknd,91,Album 5,Latin,85,0.272,0.418,11,-18.1,Major,0.05,0.656,0.354,0.171,0.394,90.73,189557,5,2017-08-23
163,Track 163,Beyonce,77,Album 5,Metal,53,0.745,0.274,3,-7.4,Minor,0.219,0.688,0.197,0.105,0.505,154.98,148169,5,2024-10-27
164,Track 164,Bad Bunny,90,Album 7,Reggae,67,0.25,0.639,8,-8.2,Minor,0.408,0.031,0.02,0.037,0.313,93.23,187355,12,2020-06-11
165,Track 165,BTS,89,Album 5,Indie,67,0.245,0.281,4,-4.6,Minor,0.072,0.525,0.074,0.12,0.274,198.67,241705,8,2021-12-31
166,Track 166,Kendrick Lamar,83,Album 8,Indie,93,0.244,0.484,7,-18.6,Major,0.418,0.742,0.759,0.307,0.126,197.25,216210,14,2019-08-10
167,Track 167,Travis Scott,84,Album 10,Rock,96,0.681,0.308,2,-9.1,Minor,0.296,0.602,0.225,0.359,0.137,68.69,215985,20,2015-10-22
168,Track 168,Taylor Swift,95,Album 7,Classical,83,0.435,0.676,10,-17.9,Minor,0.543,0.315,0.179,0.146,0.79,159.82,149565,5,2020-09-15
